gene,MF: UCEC,METH: UCEC,GE: UCEC,CNA: UCEC,hsa04010,hsa04012,hsa04060,hsa04110,hsa04115,hsa04151,hsa04310,hsa04520
XRCC5,0.0075848087721075,0.3246353685567096,0.0212439325261367,0.0,0,0,0,0,0,0,0,0
XRCC4,0.0114469448861133,0.0299441942524355,0.0529009353573971,0.0,0,0,0,0,0,0,0,0
LIG4,0.003577734289738,0.0110717110102207,0.0260609314620429,0.0,0,0,0,0,0,0,0,0
HEXB,0.0038452621285664,0.0142674655685292,0.0041040104972659,0.0,0,0,0,0,0,0,0,0
HEXA,0.0190495828811069,0.0276922758519362,0.0161528263357117,0.0,0,0,0,0,0,0,0,0
EXT2,0.0,0.0039214208630125,0.0559251391545165,0.0,0,0,0,0,0,0,0,0
EXT1,0.0113028696415845,0.0213939049958792,0.0109313461382433,0.0,0,0,0,0,0,0,0,0
SOS1,0.0297093993618339,0.0044810854937066,0.0473045139350748,0.0,1,0,0,0,0,1,0,0
CDK1,0.0038651682371387,0.0031763533426858,0.3201401273268072,0.1953125,0,0,0,1,1,0,0,0
CCNB1,0.0115937160628565,0.0217160124261869,0.3597521023497633,0.0,0,0,0,1,1,0,0,0
PCF11,0.0,0.0039109816530489,0.0825933003949068,0.0,0,0,0,0,0,0,0,0
CLP1,0.0038432524102985,0.0964574064169761,0.0014320001196445,0.0,0,0,0,0,0,0,0,0
TEAD1,0.0330529731721243,0.0008798900368471,0.1132488566559218,0.0,0,0,0,0,0,0,0,0
YAP1,0.0035265640729257,0.0147113468812431,0.0842916211460269,0.0,0,0,0,0,0,0,0,0
TEAD2,0.0410107896093909,0.0019943229140966,0.02626123690963,0.0,0,0,0,0,0,0,0,0
TEAD3,0.0,0.0014224689977299,0.0843844252616153,0.0,0,0,0,0,0,0,0,0
TEAD4,0.0115325637036846,0.0037634974325481,0.0634544568637312,0.0,0,0,0,0,0,0,0,0
CDK8,0.0153918121763172,0.0075160880596704,0.0380083550720585,0.0,0,0,0,0,0,0,0,0
CCNC,0.0075098776042834,0.0081284992840289,0.0515453599569463,0.0,0,0,0,0,0,0,0,0
SMAD7,0.0420618491772939,0.0086701180864738,0.076533853335992,0.3515625,0,0,0,0,0,0,0,0
RNF111,0.0222734235412823,0.041867523858556,0.0585055710543269,0.0,0,0,0,0,0,0,0,0
PTEN,1.0,0.0018626952012014,0.0438225843641271,0.3046875,0,0,0,0,1,1,0,0
TP53,0.0667420927485061,0.0054069270698966,0.053616572614846,0.0,1,0,0,1,1,1,1,0
TSC1,0.0376339900330568,0.0,0.0475378772174598,0.515625,0,0,0,0,0,1,0,0
TSC2,0.0189808767181891,0.0005761554664922,0.0031398810281076,0.0,0,0,0,0,1,1,0,0
SCO2,0.0038496557448821,0.0065124661740524,0.0687599045029382,0.546875,0,0,0,0,0,0,0,0
RRM2B,0.0037366660350422,0.0046451298242171,0.0074237838203991,0.0,0,0,0,0,1,0,0,0
GLS2,0.0076069955158527,0.0049842992591056,0.0017831411017455,0.0,0,0,0,0,0,0,0,0
IGFBP3,0.0037811078358321,0.0255224198456626,0.1551144613834315,0.0,0,0,0,0,1,0,0,0
PMAIP1,0.0038379730702089,0.0276506480128204,0.0609457838342083,0.3515625,0,0,0,0,1,0,0,0
BID,0.0,0.0012143345209306,0.1021700237363781,0.0,0,0,0,0,1,0,0,0
TP53AIP1,0.0,0.5133861786715829,0.0825356638351205,0.3671874999999999,0,0,0,0,1,0,0,0
ZNF420,0.0038310073437005,0.0038183800130303,0.061050254498883,0.0,0,0,0,0,0,0,0,0
STEAP3,0.0262497537472989,0.0762351650588697,0.135327437683156,0.0,0,0,0,0,1,0,0,0
BNIP3L,0.0115051358921724,0.2380177844050513,0.0548865493923577,0.45703125,0,0,0,0,0,0,0,0
TRIAP1,0.0,0.0053136498212978,0.0566027711637575,0.0,0,0,0,0,0,0,0,0
AIFM2,0.0114198030151303,0.0223830826988685,0.054142937869664,0.0,0,0,0,0,1,0,0,0
TP53INP1,0.0074999253888949,0.002581534928101,0.0076854515600916,0.0,0,0,0,0,0,0,0,0
APAF1,0.0101921534255057,0.0093158447476691,0.003033675931696,0.0,0,0,0,0,1,0,0,0
PIDD1,0.0,0.0110095747991185,0.0,0.0,0,0,0,0,1,0,0,0
CRADD,0.0038278988755277,0.0097627833042915,0.0899797418456812,0.0,0,0,0,0,0,0,0,0
NLRC4,0.0225337454085863,0.0998313435328231,0.0236888336633401,0.0,0,0,0,0,0,0,0,0
CASP6,0.0038811362614883,0.0071844702182419,0.1072587088352667,0.0,0,0,0,0,0,0,0,0
CASP10,0.0145505809679177,0.0952034325717677,0.0780042107214148,0.0,0,0,0,0,0,0,0,0
NDRG1,0.0075161912390026,0.1011560291736914,0.01719081329328,0.0,0,0,0,0,0,0,0,0
BCL2L14,0.003775483322358,0.0,0.1650554018312664,0.0,0,0,0,0,0,0,0,0
BIRC5,0.0,0.0043377928071228,0.5096079037864955,0.0,0,0,0,0,0,0,0,0
BCL6,0.0260803156262784,0.006341060180405,0.0885164074113766,0.0,0,0,0,0,0,0,0,0
ZNF385A,0.0075642109792879,0.2343392628925004,0.07260872344117,0.0,0,0,0,0,1,0,0,0
ARID3A,0.007647949654272,0.0122470249947276,0.1349502915557507,0.0,0,0,0,0,0,0,0,0
E2F7,0.0303463289434678,0.0133930096968294,0.352260621085089,0.0,0,0,0,0,0,0,0,0
E2F8,0.0111656308605935,0.020685470369272,0.4157271776889417,0.0,0,0,0,0,0,0,0,0
GADD45A,0.003879923629198,0.0298130137837154,0.0609968074919018,0.0,1,0,0,1,1,0,0,0
AURKA,0.0036218923449295,0.0048672937595541,0.3766756487025764,0.0,0,0,0,0,0,0,0,0
PCNA,0.0,0.0072108807041679,0.1398278310981768,0.0,0,0,0,1,0,0,0,0
BAX,0.0038340473810015,0.0056586373405852,0.0607754889334072,0.0,0,0,0,0,1,0,0,0
SFN,0.0038603682876417,0.7723603891391572,0.4154885134474936,0.32421875,0,0,0,1,1,0,0,0
PLK2,0.0267517365476216,0.0041157617731668,0.0773190828261595,0.0,0,0,0,0,0,0,0,0
PLK3,0.007737693159654,0.0086074582638875,0.064509546807962,0.0,0,0,0,0,0,0,0,0
RGCC,0.0,0.0726936456722224,0.0752938379863488,0.0,0,0,0,0,0,0,0,0
PLAGL1,0.0070892313472813,0.0158634977961105,0.1358551058359907,0.0,0,0,0,0,0,0,0,0
ATF2,0.0036565117149687,0.0031601815056201,0.0530799498332676,0.0,1,0,0,0,0,1,0,0
JUN,0.0077198424610697,0.0041391872336095,0.188618343734925,0.0,1,1,0,0,0,0,1,0
FOS,0.0076075705988839,0.0016519991530085,0.2839182334690313,0.0,1,0,0,0,0,0,0,0
PMS2,0.0222748862125602,0.0055042038031626,0.0244026591896662,0.0,0,0,0,0,0,0,0,0
MLH1,0.0111928692531486,0.2687743233098145,0.0368955325825471,0.0,0,0,0,0,0,0,0,0
FANCC,0.0,0.0174817062792977,0.0728301335181331,0.5039062500000001,0,0,0,0,0,0,0,0
DDB2,0.0038373029289193,0.0242753736528509,0.0704238816825262,0.0,0,0,0,0,1,0,0,0
PRDM1,0.0186805095999178,0.0164634968432868,0.1669584827492845,0.0,0,0,0,0,0,0,0,0
MDM2,0.0073743887005106,0.0047461692891394,0.042449237400888,0.0,0,0,0,1,1,1,0,0
MDM4,0.0032091905172032,8.858389627763657e-05,0.0032863782987708,0.0,0,0,0,0,1,0,0,0
CCNG1,0.0038524368442312,0.0042838935289658,0.0781341915997581,0.0,0,0,0,0,1,0,0,0
HIPK2,0.0253582545281175,0.011893975420087,0.0395903131760984,0.24609375,0,0,0,0,0,0,0,0
PIN1,0.0,0.0189504117227044,0.0183354808772712,0.0,0,0,0,0,0,0,0,0
HIPK1,0.024378224830702,0.0159878418664977,0.0338482511401644,0.0,0,0,0,0,0,0,0,0
SSRP1,0.0038785778126977,0.0151980513451734,0.0080464702245959,0.0,0,0,0,0,0,0,0,0
SUPT16H,0.0496197701687409,0.0215993072994226,9.55607428183e-05,0.0,0,0,0,0,0,0,0,0
CSNK2A1,0.0060824903814472,0.0,0.0292500491816657,0.0,0,0,0,0,0,0,1,1
CSNK2A2,0.0154757328594869,0.0002833088199834,0.0519041705070636,0.6015625,0,0,0,0,0,0,1,1
TPX2,0.003790762553619,0.0051870116674574,0.501607646383462,0.0,0,0,0,0,0,0,0,0
NOC2L,0.0038571922360051,0.0239961332504437,0.0333621844314546,0.0,0,0,0,0,0,0,0,0
CDK5R1,0.0114358290850547,0.0174562558697744,0.0301268226479091,0.0,0,0,0,0,0,0,0,0
CDK5,0.0192545174384068,0.039400563284762,0.1112024367369064,0.24609375,0,0,0,0,0,0,0,0
POU4F1,0.0115248277696025,0.1334368321556694,0.0363324822779663,0.0,0,0,0,0,0,0,0,0
POU4F2,0.0231118648163874,0.7683718104248206,0.0,0.0,0,0,0,0,0,0,0,0
BANP,0.0073874881335081,0.001022493082744,0.0096335658786856,0.0,0,0,0,0,0,0,0,0
PHF20,0.0038169151733155,0.0026778478539122,0.0320443441302856,0.0,0,0,0,0,0,0,0,0
L3MBTL1,0.0076123572331915,0.1282048557397181,0.0225806070582306,0.0,0,0,0,0,0,0,0,0
EHMT2,0.022064154074564,0.0139320372371023,0.0272888867796055,0.0,0,0,0,0,0,0,0,0
EHMT1,0.0327099550032278,0.0154762039737599,0.0012283166034271,0.0,0,0,0,0,0,0,0,0
TFAP2A,0.0075501937716679,0.1992180945901503,0.5196389933859985,0.0,0,0,0,0,0,0,0,0
DEK,0.0076642058231086,0.0096790609591718,0.0049737086861886,0.0,0,0,0,0,0,0,0,0
TFAP2C,0.0077472378681598,0.0247621714966235,0.0367356753083286,0.0,0,0,0,0,0,0,0,0
WWOX,0.0075559882240335,0.0081627582965325,0.0818423070760542,0.6484375,0,0,0,0,0,0,0,0
TFAP2B,0.0382576216419156,0.4167143265961602,0.1063893675656163,0.0,0,0,0,0,0,0,0,0
YEATS4,0.0,0.0035891764494684,0.0483498856993527,0.0,0,0,0,0,0,0,0,0
ESR1,0.033010101406164,0.1370621510882812,0.170465549555547,0.3437499999999999,0,0,0,0,0,0,0,0
ATAD2,0.0414979358187445,0.0092800735124462,0.1778260771140435,0.0,0,0,0,0,0,0,0,0
VEGFA,0.0178170760928425,0.1560566224268836,0.0039913829204039,0.0,1,0,0,0,0,1,0,0
TGFA,0.0075618424243307,0.0178923353789839,0.2239202422636591,0.0,1,0,0,0,0,1,0,0
CDKN1A,0.0112375283927485,0.0523390028433623,0.0153075481679806,0.0,0,1,0,1,1,1,0,0
RUNX1,0.0180475533100189,0.0825883452087836,0.1869461287471923,0.0,0,0,0,0,0,0,0,0
TP73,0.0415978849223025,0.206949617321161,0.1847450025208836,0.0,0,0,0,0,1,0,0,0
ZFPM1,0.0,0.0415270790673923,0.1184808802008293,0.0,0,0,0,0,0,0,0,0
GATA1,0.0077194677687601,0.1197802001315297,0.2830716906107083,0.0,0,0,0,0,0,0,0,0
CTSK,0.0038671607897124,0.6802906746220299,0.2840783176524895,0.94921875,0,0,0,0,0,0,0,0
SERPINB13,0.007715329620328,0.5401654610762027,0.0,0.3515625,0,0,0,0,0,0,0,0
CCND1,0.053689486679285,0.0687780048995809,0.1133894732280005,0.0,0,0,0,1,1,1,1,0
CDK4,0.0038376978704418,0.0260206340971931,0.0161900451769285,0.0,0,0,0,1,1,1,0,0
ESRRA,0.0038178401515753,0.0003204314666747,0.0859238431138616,0.0,0,0,0,0,0,0,0,0
PPARGC1A,0.0415012868925752,0.053167853789682,0.1657968999212204,0.0,0,0,0,0,0,0,0,0
TWIST1,0.0,0.1021344517598085,0.2591050817672771,0.0,0,0,0,0,0,0,0,0
RUNX2,0.0073731399670574,0.0552609252884344,0.0442249760681583,0.0,0,0,0,0,0,0,0,0
NKX3-2,0.0,0.0494898598077261,0.0273026943507028,0.0,0,0,0,0,0,0,0,0
MSX2,0.0,0.0055661470883904,0.2101863247641149,0.0,0,0,0,0,0,0,0,0
SMAD4,0.0036001311318891,0.0118835332675344,0.0712304405981372,0.3515625,0,0,0,1,0,0,1,1
SMAD1,0.0152707594103582,0.0051747490510537,0.1059221581377197,0.0,0,0,0,0,0,0,0,0
RUNX3,0.0187216387100331,0.0873247925322946,0.1160278518548502,0.0,0,0,0,0,0,0,0,0
SMAD3,0.0187642206212184,0.008334315411213,0.1263214065000526,0.0,0,0,0,1,0,0,1,1
TFDP1,0.023193130952361,0.0028025892910304,0.0454975197520549,0.2265625,0,0,0,1,0,0,0,0
E2F6,0.0,0.1382037605375584,0.0044970312745411,0.1015625,0,0,0,0,0,0,0,0
TFDP2,0.0036809193319199,0.0231955471773019,0.0778338206930811,0.0,0,0,0,1,0,0,0,0
MGA,0.0548976046219441,0.1692545933534633,0.0276011463836685,0.546875,0,0,0,0,0,0,0,0
MAX,0.026471066840218,0.0088718826438749,0.0670391935702097,0.0,1,0,0,0,0,0,0,0
SUPT4H1,0.0,0.0028780635465588,0.032504969654069,0.0,0,0,0,0,0,0,0,0
SUPT5H,0.0183992927360368,0.2870088655846332,0.0151506540312619,0.0,0,0,0,0,0,0,0,0
ELOB,0.0,0.0024717469572304,0.0,0.0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0102672610266301,0.0,0.0,0,0,0,0,0,0,0,0
GTF2F1,0.0038568752887073,0.0056924897873972,0.0609243912423768,0.0,0,0,0,0,0,0,0,0
GTF2F2,0.0077309697231505,0.0040760889355902,0.0038417539372434,0.0,0,0,0,0,0,0,0,0
NCBP2,0.0114307224725388,0.0085945036954563,0.0272738852521897,0.0,0,0,0,0,0,0,0,0
NCBP1,0.0191492717251213,0.0212280410856116,0.0330743496528641,0.5039062500000001,0,0,0,0,0,0,0,0
TAP1,0.0076731431227842,0.0015922691563776,0.0739080115559859,0.0,0,0,0,0,0,0,0,0
TAP2,0.0147758389652287,0.0343226185328006,0.0819263279938254,0.0,0,0,0,0,0,0,0,0
AMN,0.0038735703020811,0.085496218045797,0.1341762943788922,0.0,0,0,0,0,0,0,0,0
CUBN,0.0753322637616969,0.0594170614751244,0.1555138323664476,0.0,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
MMAA,0.0076907195790382,0.0010174302875932,0.0984329129358244,0.0,0,0,0,0,0,0,0,0
FASLG,0.0038569284199601,0.0573952056168912,0.058395655667982,0.0,1,0,1,0,0,1,0,0
FAS,0.0038560673289548,0.0052999843879652,0.1010840724263495,0.0,1,0,1,0,1,0,0,0
BAG4,0.0114292640632684,0.003196787933493,0.0063081021238939,0.4921875,0,0,0,0,0,0,0,0
TNFRSF1A,0.0114873186091526,0.0069034944037924,0.0578479244248127,0.0,1,0,1,0,0,0,0,0
TNF,0.0038520173238055,0.3106622462046999,0.1456550518799444,0.0,1,0,1,0,0,0,0,0
TAX1BP1,0.003868207861718,0.0170383212407156,0.0092173517459621,0.0,0,0,0,0,0,0,0,0
TNFAIP3,0.0036455050316247,0.0043962881529526,0.025838744868298,0.0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0076626831153015,0.0125889829012776,0.0635841311628522,0.45703125,0,0,1,0,1,0,0,0
TNFRSF10D,0.0038497995342885,0.047511492562926,0.0872615744357153,0.45703125,0,0,1,0,0,0,0,0
TNFRSF10B,0.0037812377129071,0.0273799987309225,0.0616096032826243,0.45703125,0,0,1,0,1,0,0,0
NGF,0.0,0.0287326218521819,0.3683408556920208,0.0,1,0,1,0,0,1,0,0
NGFR,0.0152978921911655,0.0840105630376953,0.3766049519038694,0.0,1,0,1,0,0,1,0,0
IRAK1,0.0111253640017613,0.0494485269668499,0.1063345163070386,0.36328125,1,0,0,0,0,0,0,0
MYD88,0.0,0.0121574474321048,0.0453826858940615,0.0,1,0,0,0,0,0,0,0
NFKB1,0.0112118592125904,0.0013315893066807,0.0866089329142045,0.0,1,0,0,0,0,1,0,0
RELA,0.0112786107062429,0.0026311127997011,0.026455463450231,0.0,1,0,0,0,0,1,0,0
UBE2B,0.0192910797353243,0.0066492107064799,0.0608856586229215,0.0,0,0,0,0,0,0,0,0
RAD18,0.0152896769863966,0.0101751745403486,0.0585975349418624,0.0,0,0,0,0,0,0,0,0
WDR48,0.0038245789644714,0.0279579234023889,0.0459358198390958,0.0,0,0,0,0,0,0,0,0
USP1,0.0037935172279864,0.0051472149611952,0.014918017994525,0.0,0,0,0,0,0,0,0,0
REV3L,0.0625579803278861,0.005462371707492,0.1098597357141347,0.0,0,0,0,0,0,0,0,0
MAD2L2,0.0076109864461957,0.0116014956516119,0.0738840036012088,0.0,0,0,0,1,0,0,0,0
RCHY1,0.0,0.0051598132131209,0.024681837376441,0.0,0,0,0,0,1,0,0,0
POLH,0.0153724289442607,0.00658650690305,0.0170535913738979,0.0,0,0,0,0,0,0,0,0
TRIM25,0.0,0.0174773905433514,0.013669892382616,0.0,0,0,0,0,0,0,0,0
UBE2L6,0.0115384837756823,0.0030515564409831,0.0181752673989004,0.0,0,0,0,0,0,0,0,0
UBA7,0.0038596879006299,0.281658108466457,0.0347124974837203,0.0,0,0,0,0,0,0,0,0
ISG15,0.0038713861712541,0.0006777113423871,0.2564169087729807,0.0,0,0,0,0,0,0,0,0
SUMO3,0.0115024324015186,0.0886106379421353,0.0132624313621372,0.0,0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
FANCM,0.0301423445071149,0.0062718625680338,0.0317800243185089,0.0,0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CENPS,0.0,0.0084961517285564,0.0,0.0,0,0,0,0,0,0,0,0
FANCI,0.0112342470964937,0.0013513829453013,0.2418651423747928,0.0,0,0,0,0,0,0,0,0
FANCD2,0.0146993605224646,0.0024738508556501,0.2459229197822713,0.0,0,0,0,0,0,0,0,0
PCCA,0.0075830513003158,0.0048877440379565,0.0053069373060847,0.0,0,0,0,0,0,0,0,0
PCCB,0.0074894335496466,0.0011729805424361,0.1377150241663657,0.0,0,0,0,0,0,0,0,0
MCCC2,0.0115527483982542,0.0121346669635824,0.1052614651277704,0.0,0,0,0,0,0,0,0,0
MCCC1,0.0113266878345814,0.0271780068833648,0.0484341512671388,0.0,0,0,0,0,0,0,0,0
CLCF1,0.00776237420833,0.1357611439047902,0.0522708372310195,0.0,0,0,1,0,0,0,0,0
CRLF1,0.0038676278157782,0.0445099136312358,0.0210672119146589,0.0,0,0,0,0,0,0,0,0
PRKCSH,0.0038170865703364,0.0419567249087307,0.0222784967637082,0.0,0,0,0,0,0,0,0,0
GANAB,0.0263757265032013,0.0420262959061356,0.0324039971229998,0.0,0,0,0,0,0,0,0,0
CALR,0.0154621243069881,0.0086442539669548,0.1165569524736951,0.0,0,0,0,0,0,0,0,0
CANX,0.0301422028252499,0.0350032671982436,0.0091511876541928,0.0,0,0,0,0,0,0,0,0
RAD51B,0.0076657169994898,0.0074901277584123,0.0576854779455204,0.0,0,0,0,0,0,0,0,0
NME2,0.0038500710978029,0.0946613346403358,0.0927375783150223,0.0,0,0,0,0,0,0,0,0
NME1,0.0038541260945493,0.0075625009396076,0.1540357240129239,0.0,0,0,0,0,0,0,0,0
APPL1,0.0037772676213533,0.0019710816949728,0.0441056727470545,0.0,0,0,0,0,0,0,0,0
DCC,0.0406091399562852,0.4422067933710129,0.0,0.3515625,0,0,0,0,0,0,0,0
MAGED1,0.0262500794909788,0.0499105978434008,0.020220605355816,0.0,0,0,0,0,0,0,0,0
UNC5A,0.0227375719121785,0.027295687700349,0.1610160089103276,0.0,0,0,0,0,0,0,0,0
PPP3R1,0.0038800461637453,0.3689227532519433,0.0194602441745441,0.0,1,0,0,0,0,0,1,0
PPP3CC,0.0,0.0190030388167848,0.0839571248415906,0.45703125,1,0,0,0,0,0,1,0
BCL2,0.0110437571265551,0.0391005940427693,0.238098182425988,0.3515625,0,0,0,0,1,1,0,0
BAD,0.0077475180015704,0.0022409880316085,0.0284544835830857,0.0,0,0,0,0,0,1,0,0
BAK1,0.003811280308225,0.0058601730213519,0.1285917481600295,0.0,0,0,0,0,0,0,0,0
CYCS,0.0,0.0100469425290305,0.0708824853081454,0.0,0,0,0,0,1,0,0,0
XIAP,0.0144206171963274,0.0494990178190749,0.0125686013293924,0.0,0,0,0,0,0,0,0,0
CASP3,0.003813879297251,0.0058178244781148,0.0889161838774807,0.0,1,0,0,0,1,0,0,0
CASP7,0.0147005363863286,0.009066225732437,0.0189838078646761,0.0,0,0,0,0,0,0,0,0
CASP9,0.0075657203720153,0.004824348408222,0.0156094189702784,0.0,0,0,0,0,1,1,0,0
DIABLO,0.0,0.0354590744827411,0.0272815760115173,0.2578125,0,0,0,0,0,0,0,0
