gene,MF: LUAD,METH: LUAD,GE: LUAD,CNA: LUAD,hsa04010,hsa04012,hsa04014,hsa04020,hsa04110,hsa04115,hsa04151
BAZ1B,0.099449009510572,0.0019044545451653,0.0156562138964834,0.0,0,0,0,0,0,0,0
SMARCA5,0.0204497307529865,0.0073977238209835,0.0720378637630148,0.0,0,0,0,0,0,0,0
UBE2I,0.0184676318927427,0.0065708087179256,0.0522627007970899,0.2944297082228117,0,0,0,0,0,0,0
SUMO1,0.0407236659951045,0.007816509112775,0.0249676094551313,0.0,0,0,0,0,0,0,0
UBE2V2,0.0,0.0762691796969973,0.0499056158724495,0.0,0,0,0,0,0,0,0
UBE2N,0.0,0.0096525816091273,0.0147309075344337,0.3527851458885941,0,0,0,0,0,0,0
BARD1,0.0192458374549409,0.0019192888278584,0.1016773720134897,0.0,0,0,0,0,0,0,0
BRCA1,0.0757572463843028,0.0027094369942713,0.1226321431896141,0.0,0,0,0,0,0,0,1
SUMO2,0.0,0.0025641799105799,0.0272764301126616,0.0,0,0,0,0,0,0,0
MDC1,0.019753563397916,0.0235288615442244,0.0428620552085376,0.0,0,0,0,0,0,0,0
HERC2,0.1395223609280653,0.1293694131209086,0.0116657326825634,0.7612732095490716,0,0,0,0,0,0,0
ATRIP,0.040344908381214,0.0001416256999993,0.00439137611803,0.6578249336870028,0,0,0,0,0,0,0
ATR,0.1620377780127138,0.0159082306897085,0.0542725183890443,0.0,0,0,0,0,1,1,0
TIMELESS,0.0,0.0163753558220979,0.1587981942104178,0.0,0,0,0,0,0,0,0
TIPIN,0.0205593619501569,0.1063408953291491,0.0262257691715295,0.0,0,0,0,0,0,0,0
PPP4R2,0.0397476366836082,0.0042623522561954,0.0065060424218304,0.0,0,0,0,0,0,0,0
PPP4C,0.0,0.0059582272993639,0.0568228058980102,0.4429708222811672,0,0,0,0,0,0,0
RAD51C,0.0410217937213922,0.0629874734477164,0.0417224428034519,0.0,0,0,0,0,0,0,0
XRCC3,0.0,0.0170369116903305,0.104867086052732,0.3978779840848808,0,0,0,0,0,0,0
EME2,0.0,0.0082268286784552,0.0762204702802047,0.2944297082228117,0,0,0,0,0,0,0
MUS81,0.0,0.010083097766708,0.0464547650244345,0.0,0,0,0,0,0,0,0
EME1,0.0,0.0080455916611148,0.2523747023289411,0.0,0,0,0,0,0,0,0
BRCA2,0.1172268729009868,0.007100125401273,0.0786333436084763,0.0,0,0,0,0,0,0,0
RAD51,0.0204621657087836,0.0043810893421614,0.2092344153422643,0.7294429708222812,0,0,0,0,0,0,0
ERCC4,0.019482486873053,0.0251905118356403,0.0057396792678866,0.0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0135289148543464,0.0,0,0,0,0,0,0,0
XRCC1,0.0204971365140404,0.0020853761594693,0.004272779689756,0.0,0,0,0,0,0,0,0
LIG3,0.040817745089224,0.0276193543901909,0.0677648311729032,0.0,0,0,0,0,0,0,0
XRCC6,0.020139111520819,0.0017858513338211,0.0193064098058833,0.0,0,0,0,0,0,0,0
XRCC5,0.0204414470372454,0.0591455460574781,0.0295197149412092,0.0,0,0,0,0,0,0,0
XRCC4,0.0202790165047604,0.0101831322243294,0.0434924704533336,0.0,0,0,0,0,0,0,0
LIG4,0.0602609503933357,0.0024655352021869,0.0617428910719037,0.2015915119363395,0,0,0,0,0,0,0
HEXB,0.0,0.011277153081196,0.0432751820064026,0.0,0,0,0,0,0,0,0
HEXA,0.0814800468508406,0.0407828855533811,0.0239504125884472,0.0,0,0,0,0,0,0,0
EXT2,0.0198690426905932,0.0044116049892826,0.0070192426548251,0.0,0,0,0,0,0,0,0
EXT1,0.0204417795888774,0.0021128962125797,0.0309223503718896,0.0,0,0,0,0,0,0,0
SOS1,0.057229395385582,4.958264162288702e-05,0.012033881016913,0.0,1,0,0,0,0,0,1
CDK1,0.0,0.0028250027733811,0.2203306458123015,0.0,0,0,0,0,1,1,0
CCNB1,0.0205056212777344,0.0492231990777107,0.3000983798966602,0.0,0,0,0,0,1,1,0
PCF11,0.0,0.000463411600816,0.0550572038915082,0.0,0,0,0,0,0,0,0
CLP1,0.0,0.0777926353064556,0.0061773624758191,0.0,0,0,0,0,0,0,0
TEAD1,0.0,0.0251034080169642,0.0802475379203236,0.0,0,0,0,0,0,0,0
YAP1,0.0,0.0128143907765144,0.0377031176377771,0.3183023872679045,0,0,0,0,0,0,0
TEAD2,0.0,0.0154597958276059,0.0134557065676969,0.517241379310345,0,0,0,0,0,0,0
TEAD3,0.0204920856988387,0.0133718150693269,0.0258653695748252,0.0,0,0,0,0,0,0,0
TEAD4,0.0203562713437265,0.0126095419453084,0.0790994835597547,0.0,0,0,0,0,0,0,0
CDK8,0.0,0.0106626297716418,0.0414302908936963,0.0,0,0,0,0,0,0,0
CCNC,0.0204951414987158,0.004498766917076,0.0100536460987709,0.6710875331564987,0,0,0,0,0,0,0
SMAD7,0.0,0.0044442138384439,0.1403553480136773,0.0,0,0,0,0,0,0,0
RNF111,0.0202618066135269,0.0083022289037079,0.0153347341438546,0.0,0,0,0,0,0,0,0
PTEN,0.1013311814849542,0.0018350178752847,0.004787243884004,0.0,0,0,0,0,0,1,1
TP53,0.8403321291847522,5.447300151939156e-05,0.0498347742045097,0.0,1,0,0,0,1,1,1
TSC1,0.0203698903140218,0.0,0.0201111352106466,0.0,0,0,0,0,0,0,1
TSC2,0.033010271319983,0.0006458942342441,0.0248935763698181,0.0,0,0,0,0,0,1,1
SCO2,0.0,0.0063538484843111,0.038527627109994,0.6631299734748011,0,0,0,0,0,0,0
RRM2B,0.0,0.0031809539376433,0.0733332069644607,0.0,0,0,0,0,0,1,0
GLS2,0.0,0.0377120747751636,0.0083353838336581,0.0,0,0,0,0,0,0,0
IGFBP3,0.0,0.0731111996987336,0.1910579203497831,0.0,0,0,0,0,0,1,0
PMAIP1,0.0,0.0244321072216299,0.129025838347459,0.6763925729442971,0,0,0,0,0,1,0
BID,0.0,0.0227498506341626,0.0337878998673768,0.0,0,0,0,0,0,1,0
TP53AIP1,0.0,0.1151474692828027,0.0887691973383641,0.350132625994695,0,0,0,0,0,1,0
ZNF420,0.0202941853423607,0.0073658219985464,0.0014691078782941,0.0,0,0,0,0,0,0,0
STEAP3,0.0,0.0243294839250184,0.0690824477604509,0.0,0,0,0,0,0,1,0
BNIP3L,0.0605091270015279,0.1208545245547786,0.0444781814511097,0.0,0,0,0,0,0,0,0
TRIAP1,0.0,0.0199422335021173,0.0281981709569117,0.3527851458885941,0,0,0,0,0,0,0
AIFM2,0.0,0.0280747747033481,0.0472085667180958,0.0,0,0,0,0,0,1,0
TP53INP1,0.0202080168209142,0.0165051442777797,0.0299812301331985,0.0,0,0,0,0,0,0,0
APAF1,0.0,4.610475599980722e-05,0.0053904950328087,0.3527851458885941,0,0,0,0,0,1,0
PIDD1,0.0,0.0167397443409076,0.0,0.0,0,0,0,0,0,1,0
CRADD,0.0,0.0134507230200466,0.0552797053209983,0.3527851458885941,0,0,0,0,0,0,0
NLRC4,0.03984814847307,0.3370629429657885,0.2685834849509221,0.0,0,0,0,0,0,0,0
CASP6,0.0,0.0302080624806073,0.0827633454829804,0.4190981432360743,0,0,0,0,0,0,0
CASP10,0.0393712325034972,0.0393194879811147,0.0315307550676131,0.0,0,0,0,0,0,0,0
NDRG1,0.0203161335552804,0.0457103493423895,0.0102121452122597,0.0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.0827583364034609,0.3713527851458886,0,0,0,0,0,0,0
BIRC5,0.0,0.0062132025369987,0.3897892647508416,0.0,0,0,0,0,0,0,0
BCL6,0.0194534905686816,0.0058362621242347,0.0661382660818521,0.3607427055702918,0,0,0,0,0,0,0
ZNF385A,0.0,0.406904471176758,0.0230413627014465,0.0,0,0,0,0,0,1,0
ARID3A,0.0205512274469963,0.0032977018182959,0.0456233101963202,0.0,0,0,0,0,0,0,0
E2F7,0.0406834145746274,0.005270511425171,0.1700280034110987,0.3527851458885941,0,0,0,0,0,0,0
E2F8,0.0,0.0036788451072271,0.3653016633498941,0.0,0,0,0,0,0,0,0
GADD45A,0.0,0.0164206199036308,0.0486943765815249,0.0,1,0,0,0,1,1,0
AURKA,0.0,0.0065087467072086,0.2633580397299799,0.0,0,0,0,0,0,0,0
PCNA,0.0,0.0067918835210196,0.0943302239758498,0.3448275862068966,0,0,0,0,1,0,0
BAX,0.0205438116439965,0.0046352430541549,0.0147299377890667,0.517241379310345,0,0,0,0,0,1,0
SFN,0.0,0.4718922154200157,0.1284948751722714,0.3236074270557029,0,0,0,0,1,1,0
PLK2,0.0,0.0113482904558785,0.0605717123801402,0.0,0,0,0,0,0,0,0
PLK3,0.0205443072562307,0.0588681231728389,0.0800249455113698,0.0,0,0,0,0,0,0,0
RGCC,0.0,0.0867881674166961,0.3595729695260956,0.0,0,0,0,0,0,0,0
PLAGL1,0.0,0.0122464429823844,0.1841934969519697,0.0,0,0,0,0,0,0,0
ATF2,0.0977659960793739,0.0075229182592233,0.0098669671068244,0.0,1,0,0,0,0,0,1
JUN,0.0,0.0095624314876509,0.135457612877111,0.0,1,1,0,0,0,0,0
FOS,0.020467867247865,0.0071075547525597,0.1979826469066276,0.3978779840848808,1,0,0,0,0,0,0
PMS2,0.0196297664094084,0.0104689362422785,0.0570142887199214,0.7533156498673741,0,0,0,0,0,0,0
MLH1,0.0,0.0077786028265335,0.0276766780091606,0.0,0,0,0,0,0,0,0
FANCC,0.0,0.0143320598254534,0.0393435653669165,0.0,0,0,0,0,0,0,0
DDB2,0.0,0.0186518850575802,0.0346030933335065,0.0,0,0,0,0,0,1,0
PRDM1,0.0401956937844966,0.0060248077610912,0.0179087880618044,0.6710875331564987,0,0,0,0,0,0,0
MDM2,0.0407600238815483,0.0049625249797685,0.0100662004009018,0.4482758620689657,0,0,0,0,1,1,1
MDM4,0.0,0.009771920366625,0.0259159368967711,0.0,0,0,0,0,0,1,0
CCNG1,0.0408347075725164,0.0093031006999928,0.0331377827448016,0.0,0,0,0,0,0,1,0
HIPK2,0.0566603571268619,0.0126374296003131,0.0679714368556517,0.0,0,0,0,0,0,0,0
PIN1,0.0,0.002629836722617,0.0513268908205164,0.0,0,0,0,0,0,0,0
HIPK1,0.0203385005246815,0.0067595613645891,0.0731837121367864,0.4005305039787799,0,0,0,0,0,0,0
SSRP1,0.0204415165809816,0.0029947927616049,0.0476961017828197,0.0,0,0,0,0,0,0,0
SUPT16H,0.0,0.028346450918086,0.0305762254375735,0.0,0,0,0,0,0,0,0
CSNK2A1,0.0,0.0,0.0396425217890344,0.3448275862068966,0,0,0,0,0,0,0
CSNK2A2,0.0,0.0078993988011699,0.0195783750670048,0.0,0,0,0,0,0,0,0
TPX2,0.0,0.0161181203804449,0.3874929003661335,0.5331564986737403,0,0,0,0,0,0,0
NOC2L,0.0202925056744404,0.0067008768440502,0.0692661462821898,0.3236074270557029,0,0,0,0,0,0,0
CDK5R1,0.0203888668292472,0.0840376393534258,0.1370590585620259,0.0,0,0,0,0,0,0,0
CDK5,0.0,0.0331533264619319,0.067804356731945,0.0,0,0,0,0,0,0,0
POU4F1,0.0199942773197833,0.4286643933793881,0.0443149487596738,0.0,0,0,0,0,0,0,0
POU4F2,0.0204443123662781,0.5527265750720151,0.0,0.0,0,0,0,0,0,0,0
BANP,0.0,0.0020225005350393,0.0391761418753776,0.4986737400530504,0,0,0,0,0,0,0
PHF20,0.0204125033042559,0.0036051148780483,0.0256871452569166,0.0,0,0,0,0,0,0,0
L3MBTL1,0.0200238521354766,0.1661879832202103,0.0781973838627775,0.2175066312997347,0,0,0,0,0,0,0
EHMT2,0.0204928520449613,0.0454059689278638,0.0703621567183797,0.0,0,0,0,0,0,0,0
EHMT1,0.0386847317530286,0.0279910967138278,0.0002315755663844,0.0,0,0,0,0,0,0,0
TFAP2A,0.0197764791227758,0.2903363845258138,0.3717005859461614,0.0,0,0,0,0,0,0,0
DEK,0.0,0.0101974046914618,0.0192485571969691,0.0,0,0,0,0,0,0,0
TFAP2C,0.0,0.0040753182353595,0.1082092451751237,0.0,0,0,0,0,0,0,0
WWOX,0.0,0.0023604062717522,0.0328762752311333,0.4482758620689657,0,0,0,0,0,0,0
TFAP2B,0.0810342986522942,0.4308471596330303,0.0,0.0,0,0,0,0,0,0,0
YEATS4,0.0,0.0118944204273767,0.0370639696689801,0.0,0,0,0,0,0,0,0
ESR1,0.0,0.2454611253283027,0.0280497665188154,0.0,0,0,0,0,0,0,0
ATAD2,0.1206571157079417,0.0215428157326167,0.1722532974747429,0.0,0,0,0,0,0,0,0
VEGFA,0.0,0.0093100374892124,0.0194262849159192,0.0,1,0,0,0,0,0,1
TGFA,0.0,0.0003527911397952,0.09818297086594,0.0,1,0,0,0,0,0,1
CDKN1A,0.0,0.1699818828853807,0.0797180106103347,0.0,0,1,0,0,1,1,1
RUNX1,0.0,0.6413753348905212,0.0578217972557499,0.0,0,0,0,0,0,0,0
TP73,0.039663187665159,0.1293910470740554,0.0302824123840748,0.3236074270557029,0,0,0,0,0,1,0
ZFPM1,0.0,0.0035029255032769,0.0011171313600001,0.4986737400530504,0,0,0,0,0,0,0
GATA1,0.040999021409315,0.0738891843147878,0.2725931970081312,0.0,0,0,0,0,0,0,0
CTSK,0.0,0.1217094914047434,0.0658349397781181,1.0,0,0,0,0,0,0,0
SERPINB13,0.060841474369845,0.2723207188093243,0.0539117699260123,0.0,0,0,0,0,0,0,0
CCND1,0.0,0.0195046339360842,0.0364975262210759,0.4562334217506631,0,0,0,0,1,1,1
CDK4,0.0204846045310819,0.0476541797927098,0.0829949070239709,0.4482758620689657,0,0,0,0,1,1,1
ESRRA,0.0,0.001082334757477,0.0282416025022006,0.0,0,0,0,0,0,0,0
PPARGC1A,0.0399364142989638,0.0972192913777014,0.2587543254787631,0.0,0,0,0,0,0,0,0
TWIST1,0.0,0.5703692951927782,0.1752464707451604,0.7533156498673741,0,0,0,0,0,0,0
RUNX2,0.0,0.2707182583591589,0.1467745318172957,0.0,0,0,0,0,0,0,0
NKX3-2,0.0,0.3192333231197932,0.0350061285572199,0.0,0,0,0,0,0,0,0
MSX2,0.0,0.2765744705096882,0.0651126643813678,0.3342175066312997,0,0,0,0,0,0,0
SMAD4,0.0388064030094875,0.0055028829672574,0.0491410686096358,0.6763925729442971,0,0,0,0,1,0,0
SMAD1,0.0,0.0082680366174105,0.044976241416597,0.0,0,0,0,0,0,0,0
RUNX3,0.0,0.2540300313709925,0.073843216219442,0.3236074270557029,0,0,0,0,0,0,0
SMAD3,0.0204439975552779,0.0077113931217185,0.0128574859622027,0.0,0,0,0,0,1,0,0
TFDP1,0.0,0.0180928991537608,0.0464885252856738,0.8222811671087533,0,0,0,0,1,0,0
E2F6,0.0,0.1029057643923471,0.048417528223041,0.0,0,0,0,0,0,0,0
TFDP2,0.0,0.0095922945206361,0.0462337081488307,0.0,0,0,0,0,1,0,0
MGA,0.1182604532901333,0.1248206600799588,0.0020219509786514,0.7294429708222812,0,0,0,0,0,0,0
MAX,0.0203670596545752,0.0070722754025772,0.0160576996890016,0.0,1,0,0,0,0,0,0
SUPT4H1,0.0,0.0034563346038756,0.0204064559296749,0.0,0,0,0,0,0,0,0
SUPT5H,0.0,0.1175343361759492,0.0317823467800746,0.0,0,0,0,0,0,0,0
ELOB,0.0,0.0082933670489536,0.0,0.0,0,0,0,0,0,0,0
ELOC,0.0,0.009652816799123,0.0,0.0,0,0,0,0,0,0,0
GTF2F1,0.0205446488198958,0.0049757301019929,0.019504571662038,0.0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0052858821945512,0.0053493196233558,0.0,0,0,0,0,0,0,0
NCBP2,0.0204265650831903,0.0073195017334337,0.0419612775112855,0.3607427055702918,0,0,0,0,0,0,0
NCBP1,0.0,0.0329156005814196,0.0199867057534743,0.0,0,0,0,0,0,0,0
TAP1,0.0,0.0004911618119483,0.0283933729445926,0.0,0,0,0,0,0,0,0
TAP2,0.03918455885241,0.0180908702818564,0.0032020982356491,0.0,0,0,0,0,0,0,0
AMN,0.0,5.9880391102734e-05,0.039615795011007,0.3978779840848808,0,0,0,0,0,0,0
CUBN,0.2013484010446826,0.2499507902847408,0.0954455499112945,0.0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
MMAA,0.0,0.0173745558633348,0.0058056230156601,0.0,0,0,0,0,0,0,0
FASLG,0.0205232188727914,0.1724334310466557,0.0609679545606925,0.0,1,0,0,0,0,0,1
FAS,0.0,0.0022525127363147,0.098308978655303,0.0,1,0,0,0,0,1,0
BAG4,0.0,0.0034594123304892,0.0115672334084729,0.0,0,0,0,0,0,0,0
TNFRSF1A,0.0,0.0238152312926416,0.0182553121933126,0.0,1,0,0,0,0,0,0
TNF,0.0205561217091642,0.2905027131901127,0.1248166603512863,0.0,1,0,0,0,0,0,0
TAX1BP1,0.0,0.046551208781508,0.0283659489737326,0.0,0,0,0,0,0,0,0
TNFAIP3,0.0,0.0034231638430342,0.1117696661983364,0.0,0,0,0,0,0,0,0
TNFRSF10A,0.0203949629118103,0.0033631743046559,0.0458141068239583,0.0,0,0,0,0,0,1,0
TNFRSF10D,0.0204289911740739,0.0035471723464239,0.0983817900931297,0.0,0,0,0,0,0,0,0
TNFRSF10B,0.0,0.0228785703796375,0.0203068605001906,0.0,0,0,0,0,0,1,0
NGF,0.0,0.2728585537929692,0.0626613656393462,0.4005305039787799,1,0,0,0,0,0,1
NGFR,0.0,0.1766658174989056,0.0693934493581536,0.0,1,0,0,0,0,0,1
IRAK1,0.0,0.1058514966202941,0.1273290502979798,0.0,1,0,0,0,0,0,0
MYD88,0.0410007129694219,0.0232096845176096,0.0650370087008934,0.0,1,0,0,0,0,0,0
NFKB1,0.0,0.0039430847751653,0.0321446278924734,0.4190981432360743,1,0,0,0,0,0,1
RELA,0.0205187060997906,0.0039780140305142,0.0092087590896829,0.0,1,0,0,0,0,0,1
UBE2B,0.0205636110103765,0.001765560513339,0.0319162273466205,0.5596816976127321,0,0,0,0,0,0,0
RAD18,0.0408417496752275,0.001462327402883,0.037186847874725,0.6180371352785148,0,0,0,0,0,0,0
WDR48,0.0,0.041043099737735,0.0425513462507263,0.0,0,0,0,0,0,0,0
USP1,0.0409127378260147,0.0019972730920984,0.0052762392227116,0.0,0,0,0,0,0,0,0
REV3L,0.0581524949315512,0.015349681619957,0.1079281656855158,0.6710875331564987,0,0,0,0,0,0,0
MAD2L2,0.0,0.1644918351362567,0.085149541082323,0.3236074270557029,0,0,0,0,1,0,0
RCHY1,0.019484122443273,0.0034311981589132,0.0424613400532819,0.4190981432360743,0,0,0,0,0,1,0
POLH,0.0,0.01205651372056,0.0102830852803976,0.0,0,0,0,0,0,0,0
TRIM25,0.0,0.0029266968382045,0.0754783134135732,0.0,0,0,0,0,0,0,0
UBE2L6,0.0205314089720669,0.002613101360517,0.0398861958871234,0.0,0,0,0,0,0,0,0
UBA7,0.0,0.175066462823216,0.0513595843325844,0.6578249336870028,0,0,0,0,0,0,0
ISG15,0.0,0.0070769993448965,0.0977620141810014,0.3236074270557029,0,0,0,0,0,0,0
SUMO3,0.0205145496157909,0.0824819046326736,0.0068877410411765,0.0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
FANCM,0.1800063534238181,0.0141833382532374,0.0416431956105826,0.0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
CENPS,0.0,0.0062159253782833,0.0,0.0,0,0,0,0,0,0,0
FANCI,0.0408580000766783,0.0045905957957706,0.1825009335344647,0.0,0,0,0,0,0,0,0
FANCD2,0.0201104437613035,0.0029533221174088,0.1629717021783762,0.6180371352785148,0,0,0,0,0,0,0
PCCA,0.0200456841960183,0.0057917303298107,0.028916882716539,0.2015915119363395,0,0,0,0,0,0,0
PCCB,0.0198737866774668,0.0124714359543358,0.0463977737684561,0.0,0,0,0,0,0,0,0
MCCC2,0.020491710784188,0.0082156961066593,0.0543725468939955,0.0,0,0,0,0,0,0,0
MCCC1,0.0,0.1069420074538373,0.0367163368711817,0.0,0,0,0,0,0,0,0
CLCF1,0.0,0.0723194532718979,0.1051701246200608,0.0,0,0,0,0,0,0,0
CRLF1,0.0,0.104167214179792,0.1282409060911293,0.0,0,0,0,0,0,0,0
PRKCSH,0.0,0.040316775082299,0.0284050482277059,0.0,0,0,0,0,0,0,0
GANAB,0.0,0.0461759673037483,0.0363640628756853,0.0,0,0,0,0,0,0,0
CALR,0.0,0.0061288837322864,0.064831124293196,0.0,0,0,0,0,0,0,0
CANX,0.0192698897604618,0.037106444384616,0.0249979295747852,0.3342175066312997,0,0,0,0,0,0,0
RAD51B,0.0,0.0125493923555999,0.0068492411783421,0.0,0,0,0,0,0,0,0
NME2,0.0,0.0983212403922862,0.0788058822034694,0.0,0,0,0,0,0,0,0
NME1,0.0,0.0104061497192818,0.2604542281498289,0.0,0,0,0,0,0,0,0
APPL1,0.040176284825358,0.0071532189711658,0.0461053926932572,0.6578249336870028,0,0,0,0,0,0,0
DCC,0.0386844916864042,0.3044673262712012,0.3383482266585846,0.6763925729442971,0,0,0,0,0,0,0
MAGED1,0.0204639034807659,0.0144309661726626,0.0875365698439078,0.0,0,0,0,0,0,0,0
UNC5A,0.0,0.2629142974730987,0.0040792393031765,0.3342175066312997,0,0,0,0,0,0,0
PPP3R1,0.0,0.3495951697522129,0.0093097672952219,0.0,1,0,0,0,0,0,0
PPP3CC,0.0,0.0154337248948268,0.0950826707963768,0.0,1,0,0,0,0,0,0
BCL2,0.0,0.0092943719377257,0.053868590830807,0.0,0,0,0,0,0,1,1
BAD,0.0,0.0065597620948555,0.0217066627353473,0.0,0,0,0,0,0,0,1
BAK1,0.0,0.0009847774225874,0.075954570668421,0.0,0,0,0,0,0,0,0
CYCS,0.0,0.008449774347001,0.0568068956159076,0.7533156498673741,0,0,0,0,0,1,0
XIAP,0.0404829574761898,0.0326219730933673,0.0098992938536325,0.0,0,0,0,0,0,0,0
CASP3,0.0,0.000667313255932,0.0656492728791737,0.4960212201591512,1,0,0,0,0,1,0
CASP7,0.0389420215685776,0.0202205023192156,0.0423781176815711,0.0,0,0,0,0,0,0,0
CASP9,0.0194116043720552,0.0013679125483208,0.0176840070105263,0.3236074270557029,0,0,0,0,0,1,1
DIABLO,0.0,0.0181140075706697,0.0510807505277452,0.3527851458885941,0,0,0,0,0,0,0
DFFB,0.0202239083688597,0.0175905509100782,0.0494887660891037,0.3236074270557029,0,0,0,0,0,0,0
DFFA,0.0,0.0291833911611074,0.0246668690926569,0.3236074270557029,0,0,0,0,0,0,0
KPNA1,0.0,0.0515354433505346,0.0247371833100735,0.0,0,0,0,0,0,0,0
KPNB1,0.0202750705447626,0.0036443423816005,0.0716133385705822,0.0,0,0,0,0,0,0,0
PAK2,0.0,0.088608143351095,0.0162054211415254,0.3607427055702918,1,1,0,0,0,0,0
ARHGAP10,0.0205166671884645,0.0206672387884649,0.049717665928135,0.0,0,0,0,0,0,0,0
RIPK1,0.0405152843625498,0.0243912388865954,0.028869541502769,0.0,0,0,0,0,0,0,0
RIPK3,0.0409224171495325,0.0736967821942593,0.024460339242095,0.0,0,0,0,0,0,0,0
GCH1,0.0202332912978031,0.0056640139770249,0.0200436538866551,0.0,0,0,0,0,0,0,0
GCHFR,0.0,0.0001160339090799,0.1070936601850438,0.7294429708222812,0,0,0,0,0,0,0
UBE2V1,0.0,0.040978221456676,0.0067539976500818,0.2175066312997347,0,0,0,0,0,0,0
TRAF6,0.0204453826535999,0.0092561877710824,0.0731913536493785,0.0,1,0,0,0,0,0,0
IRAK2,0.040722132580287,0.0199078135750759,0.0613399689723311,0.6180371352785148,0,0,0,0,0,0,0
HBEGF,0.0,0.0591280899070556,0.3112404794312638,0.0,0,1,0,0,0,0,0
CAPZA2,0.0203721436769052,0.0051094528782377,0.0523992071458551,0.5782493368700264,0,0,0,0,0,0,0
