gene,MF: COAD,METH: COAD,GE: COAD,CNA: COAD,hsa04010,hsa04012,hsa04110,hsa04115,hsa04150,hsa04151,hsa04210,hsa04310,hsa04350
FNTA,0.0053860085863689,0.0055900279707613,0.0342550408364651,0.0920245398773006,0,0,0,0,0,0,0,0,0
RAD50,0.0106781351166521,0.0137194165822246,0.0325517344193971,0.0,0,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
KPNA2,0.0107547435439161,0.0005469251469174,0.1059865339168759,0.3251533742331288,0,0,0,0,0,0,0,0,0
NBN,0.0,0.0005532016235226,0.0318274284440291,0.0,0,0,0,0,0,0,0,0,0
KAT5,0.0,0.0161222821914731,0.0222372027122553,0.0,0,0,0,0,0,0,0,0,0
ATM,0.0791348194581516,0.0057215422856985,0.0116750269652037,0.0,0,0,1,1,0,0,1,0,0
BAZ1B,0.0054063648597877,0.0023498007719593,0.0410485904224538,0.0,0,0,0,0,0,0,0,0,0
SMARCA5,0.0107316589080144,0.0079831320064422,0.0219267482302186,0.0,0,0,0,0,0,0,0,0,0
UBE2I,0.0,0.0033281286712869,0.0556617173890632,0.0,0,0,0,0,0,0,0,0,0
SUMO1,0.0052404659338347,0.0195953967251972,0.0167375513217077,0.0,0,0,0,0,0,0,0,0,0
UBE2V2,0.0054062356926143,0.0139582339733608,0.0327213005829773,0.0,0,0,0,0,0,0,0,0,0
UBE2N,0.0,0.0035905947312927,0.0319941028684947,0.0,0,0,0,0,0,0,0,0,0
BARD1,0.0053552820096573,0.0052862315983382,0.0522746749318603,0.0,0,0,0,0,0,0,0,0,0
BRCA1,0.0,0.0064463437274752,0.104759404746613,0.0,0,0,0,0,0,1,0,0,0
SUMO2,0.0,0.0073620783126321,0.0228698342463358,0.0,0,0,0,0,0,0,0,0,0
MDC1,0.0160869997005019,0.0007476561737945,0.0623782780582179,0.0,0,0,0,0,0,0,0,0,0
HERC2,0.0378419519380348,0.0059549026716272,0.0075079104228333,0.5429447852760736,0,0,0,0,0,0,0,0,0
ATRIP,0.005176942383006,0.0032816874287785,0.0604190598716083,0.0,0,0,0,0,0,0,0,0,0
ATR,0.0325471374911725,0.00313564364499,0.0738415859130746,0.0,0,0,1,1,0,0,0,0,0
TIMELESS,0.0162639818722582,0.0066124667120728,0.0851586664676636,0.0,0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.0151844533731281,0.066563803390471,0.0,0,0,0,0,0,0,0,0,0
PPP4R2,0.0,0.0335581966182505,0.0063525125205623,0.0,0,0,0,0,0,0,0,0,0
PPP4C,0.0,1.4211371320535206e-05,0.0045295572342907,0.0,0,0,0,0,0,0,0,0,0
RAD51C,0.0161988770846576,0.0230761297977147,0.0439993133709428,0.0,0,0,0,0,0,0,0,0,0
XRCC3,0.0209827019039323,0.0013926224320058,0.0523638018153704,0.4631901840490798,0,0,0,0,0,0,0,0,0
EME2,0.0,0.0150371997216073,0.0620432785511732,0.0,0,0,0,0,0,0,0,0,0
MUS81,0.0,0.0083938052663754,0.0006646827226784,0.0,0,0,0,0,0,0,0,0,0
EME1,0.0,0.0055594759499283,0.1147568326103478,0.0,0,0,0,0,0,0,0,0,0
BRCA2,0.0209596948260935,0.000866992051312,0.140560596138352,0.0,0,0,0,0,0,0,0,0,0
RAD51,0.0,0.0084004216604732,0.0412613620805867,0.5276073619631902,0,0,0,0,0,0,0,0,0
ERCC4,0.0,0.0253551287672383,0.0258292379330719,0.0,0,0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0144091994261436,0.0,0,0,0,0,0,0,0,0,0
XRCC1,0.0107757761401808,0.0039272880026098,0.0380016657758571,0.0,0,0,0,0,0,0,0,0,0
LIG3,0.0159620780832178,0.0194663113704189,0.043991328440427,0.0,0,0,0,0,0,0,0,0,0
XRCC6,0.0054009018556339,0.0042670253570621,0.008370653969952,0.0,0,0,0,0,0,0,0,0,0
XRCC5,0.0,0.0593046908827063,0.0289568448334673,0.0,0,0,0,0,0,0,0,0,0
XRCC4,0.0108771963799418,0.0059143347857282,0.0314235467860677,0.0,0,0,0,0,0,0,0,0,0
LIG4,0.0053636540153883,0.0050401513035742,0.0278208164834455,0.0,0,0,0,0,0,0,0,0,0
HEXB,0.0,0.0058236828504036,0.0152271125643014,0.0,0,0,0,0,0,0,0,0,0
HEXA,0.005183589286253,0.0384341607285475,0.0115162705456504,0.0,0,0,0,0,0,0,0,0,0
EXT2,0.0,0.0028512405725336,0.0013887680108951,0.0,0,0,0,0,0,0,0,0,0
EXT1,0.0108344346441844,0.0046256800333889,0.0604972958026079,0.0,0,0,0,0,0,0,0,0,0
SOS1,0.0266992599908325,0.0055995961497093,0.0256715726903927,0.0,1,0,0,0,1,1,0,0,0
CDK1,0.0161998839546329,0.0079850359498754,0.1302476960568632,0.0,0,0,1,1,0,0,0,0,0
CCNB1,0.0,0.0063330068197434,0.1082356116057329,0.0,0,0,1,1,0,0,0,0,0
PCF11,0.0214933553286806,0.0042307184696684,0.0010163147126374,0.0,0,0,0,0,0,0,0,0,0
CLP1,0.0,0.0101514201795187,0.0026209728894364,0.0,0,0,0,0,0,0,0,0,0
TEAD1,0.0053922061746615,0.0136372870597306,0.0270993765715432,0.0,0,0,0,0,0,0,0,0,0
YAP1,0.0,0.0250680111406341,0.049483880419351,0.0,0,0,0,0,0,0,0,0,0
TEAD2,0.0051051243563892,0.0239678884624991,0.0440649023994516,0.0,0,0,0,0,0,0,0,0,0
TEAD3,0.0054373781759545,0.0158447932564161,0.0085694709414556,0.0,0,0,0,0,0,0,0,0,0
TEAD4,0.0,0.0080141337919045,0.1615703351378141,0.3435582822085889,0,0,0,0,0,0,0,0,0
CDK8,0.0,0.0013840252250609,0.0524824889804814,0.0,0,0,0,0,0,0,0,0,0
CCNC,0.0,0.0035797281458077,0.0273382145399971,0.0,0,0,0,0,0,0,0,0,0
SMAD7,0.0,0.0159635545875421,0.0744121972174534,0.0,0,0,0,0,0,0,0,0,1
RNF111,0.0151616930682129,0.0090718199315207,0.0088693056041323,0.0,0,0,0,0,0,0,0,0,0
PTEN,0.0850702367144002,0.0038392940159444,0.0253636778363368,0.3343558282208588,0,0,0,1,1,1,0,0,0
TP53,0.3978986933011156,0.0007059859647261,0.0410921865482345,0.0,1,0,1,1,0,1,1,1,0
TSC1,0.0103610787338728,0.0,0.0155780892754097,0.0,0,0,0,0,1,1,0,0,0
TSC2,0.0142283948850893,0.0077725645646735,0.0044987615140246,0.0,0,0,0,1,1,1,0,0,0
SCO2,0.0,0.00440844913513,0.0527983018639352,0.49079754601227,0,0,0,0,0,0,0,0,0
RRM2B,0.0051734431464637,0.0028178736119134,0.0104830929074457,0.0,0,0,0,1,0,0,0,0,0
GLS2,0.0108535960127035,0.0331071917038783,0.1525203725565213,0.0,0,0,0,0,0,0,0,0,0
IGFBP3,0.0,0.4360833390858942,0.0510658054529773,0.0,0,0,0,1,0,0,0,0,0
PMAIP1,0.0,0.005195081669537,0.1519851337199888,0.0,0,0,0,1,0,0,1,0,0
BID,0.0,0.0049186253018497,0.0639806586553597,0.0,0,0,0,1,0,0,1,0,0
TP53AIP1,0.0107407672374399,0.1563341769905697,0.0645277944119828,0.0,0,0,0,1,0,0,1,0,0
ZNF420,0.0054305004838044,0.0481684302178348,0.0126634123039313,0.0,0,0,0,0,0,0,0,0,0
STEAP3,0.0108466581133153,0.0030377510168871,0.0218326982249674,0.0,0,0,0,1,0,0,0,0,0
BNIP3L,0.0162195192095353,0.1027545433563462,0.0116046599108913,0.0,0,0,0,0,0,0,0,0,0
TRIAP1,0.0,0.006210205909782,0.0395243816579769,0.0,0,0,0,0,0,0,0,0,0
AIFM2,0.0,0.0036912500516353,0.0239994025157608,0.0,0,0,0,1,0,0,0,0,0
TP53INP1,0.0,0.0376900463651901,0.0886682517967919,0.0,0,0,0,0,0,0,0,0,0
APAF1,0.0,0.0040712532522278,0.01888357910271,0.0,0,0,0,1,0,0,1,0,0
PIDD1,0.0054253507007033,0.0378429764759802,0.0,0.0,0,0,0,1,0,0,1,0,0
CRADD,0.0,0.0078511018256422,0.0783639239747658,0.0,0,0,0,0,0,0,0,0,0
NLRC4,0.005127572557533,0.1856627028447577,0.0689045521493782,0.0,0,0,0,0,0,0,0,0,0
CASP6,0.0,0.0076368476837386,0.0291257920891063,0.0,0,0,0,0,0,0,1,0,0
CASP10,0.0,0.026919823923202,0.0856330902337577,0.0,0,0,0,0,0,0,1,0,0
NDRG1,0.0,0.020482566889375,0.1053296702944461,0.0,0,0,0,0,0,0,0,0,0
BCL2L14,0.0054218229813652,0.0,0.0388471148510197,0.1840490797546012,0,0,0,0,0,0,0,0,0
BIRC5,0.0,0.00375969259747,0.1148373419858622,0.0,0,0,0,0,0,0,1,0,0
BCL6,0.0,0.0036358321087019,0.0216430978419239,0.0,0,0,0,0,0,0,0,0,0
ZNF385A,0.0,0.1277787058554648,0.0578833337254443,0.0,0,0,0,1,0,0,0,0,0
ARID3A,0.0,0.0033444980805546,0.1094672555363363,0.0,0,0,0,0,0,0,0,0,0
E2F7,0.0106975420300923,0.0003621448993,0.1271775774461643,0.0,0,0,0,0,0,0,0,0,0
E2F8,0.0105687885034726,0.0182153828033324,0.0553205609219874,0.0,0,0,0,0,0,0,0,0,0
GADD45A,0.0,0.012082167184331,0.0013368864762327,0.3650306748466257,1,0,1,1,0,0,1,0,0
AURKA,0.0,0.0055026545344299,0.10952690860385,0.0,0,0,0,0,0,0,0,0,0
PCNA,0.0,0.0019730385721647,0.0724451484801144,0.0,0,0,1,0,0,0,0,0,0
BAX,0.0054399894070679,0.0081586179774459,0.012174193780511,0.0,0,0,0,1,0,0,1,0,0
SFN,0.0163285635908558,0.0730331717345288,0.0550545429554039,0.5153374233128835,0,0,1,1,0,0,0,0,0
PLK2,0.0054255262820393,0.0027021166464071,0.0172137990920552,0.0,0,0,0,0,0,0,0,0,0
PLK3,0.0054439098158184,0.0253571301178621,0.072830977215081,0.0,0,0,0,0,0,0,0,0,0
RGCC,0.0,0.1428881961787954,0.0371802248365552,0.058282208588957,0,0,0,0,0,0,0,0,0
PLAGL1,0.0,0.0060855295748813,0.0339126643948636,0.0,0,0,0,0,0,0,0,0,0
ATF2,0.0107363388546588,0.0008143135633759,0.0087336549796651,0.0,1,0,0,0,0,1,0,0,0
JUN,0.0217743055312727,0.0033429489518424,0.0205618555539745,0.3650306748466257,1,1,0,0,0,0,1,1,0
FOS,0.0,0.0049011980702287,0.0793847277788087,0.4631901840490798,1,0,0,0,0,0,1,0,0
PMS2,0.0106784707968577,0.00303554027343,0.030563966606421,0.0,0,0,0,0,0,0,0,0,0
MLH1,0.0053728404825468,0.1164395784070762,0.0079308824166194,0.0,0,0,0,0,0,0,0,0,0
FANCC,0.0054008625853456,0.0111789064658581,0.0143825997759777,0.0,0,0,0,0,0,0,0,0,0
DDB2,0.0054315379252104,0.0073233523281667,0.0081329008096741,0.0,0,0,0,1,0,0,0,0,0
PRDM1,0.0054151759354592,0.0022325039276602,0.0585349807396953,0.0,0,0,0,0,0,0,0,0,0
MDM2,0.0,0.0019555109575998,0.0258341586917822,0.0,0,0,1,1,0,1,0,0,0
MDM4,0.0,0.0040340817153461,0.012388209317596,0.0,0,0,0,1,0,0,0,0,0
CCNG1,0.0054225832868847,0.0052252065630858,0.0237193832314598,0.0,0,0,0,1,0,0,0,0,0
HIPK2,0.0107313893677212,0.0026900556119345,0.0346054432150181,0.0,0,0,0,0,0,0,0,0,0
PIN1,0.0,0.001339107705827,0.0054135588505292,0.0,0,0,0,0,0,0,0,0,0
HIPK1,0.0053820578326281,0.0052229881995799,0.0254723492022152,0.3650306748466257,0,0,0,0,0,0,0,0,0
SSRP1,0.0,0.0007042494031945,0.0472622396941811,0.0,0,0,0,0,0,0,0,0,0
SUPT16H,0.0217263179777438,0.0064181068793171,0.0426631914776462,0.0,0,0,0,0,0,0,0,0,0
CSNK2A1,0.0104074431325832,0.0,0.0189715057706459,0.0,0,0,0,0,0,0,0,1,0
CSNK2A2,0.0054140303872947,0.0060293815092072,0.0464305117353716,0.0,0,0,0,0,0,0,0,1,0
TPX2,0.0,0.0007863860992887,0.1462287200761606,0.99079754601227,0,0,0,0,0,0,0,0,0
NOC2L,0.0,0.0181356538478643,0.061739931650298,0.0,0,0,0,0,0,0,0,0,0
CDK5R1,0.0107049599888025,0.0259859127342939,0.0314720561682941,0.0,0,0,0,0,0,0,0,0,0
CDK5,0.005446550769954,0.0022561693011744,0.0568929841593048,0.0,0,0,0,0,0,0,0,0,0
POU4F1,0.0106555868697264,0.3259732159748635,0.0132405791957484,0.0,0,0,0,0,0,0,0,0,0
POU4F2,0.027141250970753,0.4001052826066266,0.0,0.0,0,0,0,0,0,0,0,0,0
BANP,0.0,0.0011632240846142,0.0110300458808914,0.0,0,0,0,0,0,0,0,0,0
PHF20,0.0163105096637265,0.0017791409826509,0.059931778065771,0.0,0,0,0,0,0,0,0,0,0
L3MBTL1,0.015982883233248,0.2189310599631847,0.0718563981155232,0.0,0,0,0,0,0,0,0,0,0
EHMT2,0.0053878098446416,0.0316462194034959,0.0601931811766331,0.0,0,0,0,0,0,0,0,0,0
EHMT1,0.0053841736067486,0.0227179191695023,0.0158846111640028,0.0,0,0,0,0,0,0,0,0,0
TFAP2A,0.0108184681802685,0.2037825904574412,0.1755062345399304,0.0,0,0,0,0,0,0,0,0,0
DEK,0.0,0.0067019348046477,0.0525952240569109,0.0,0,0,0,0,0,0,0,0,0
TFAP2C,0.0054429307494006,0.1647682205378116,0.0832666136060781,0.0,0,0,0,0,0,0,0,0,0
WWOX,0.0162522591202656,0.0027691982683013,0.0352682821316806,0.0,0,0,0,0,0,0,0,0,0
TFAP2B,0.0108695268506328,0.2084322735667068,0.0,0.0,0,0,0,0,0,0,0,0,0
YEATS4,0.0,0.0027979044721218,0.0615638784191644,0.0,0,0,0,0,0,0,0,0,0
ESR1,0.0159849815708686,0.2337987418965466,0.128819866692815,0.0,0,0,0,0,0,0,0,0,0
ATAD2,0.0053958417423115,0.0038665556334443,0.1338763723513025,0.0,0,0,0,0,0,0,0,0,0
VEGFA,0.0,0.0113197430433304,0.1006751398475756,0.294478527607362,1,0,0,0,0,1,0,0,0
TGFA,0.0,0.0013696832688279,0.0931356003972839,0.0,1,0,0,0,0,1,0,0,0
CDKN1A,0.0,0.122305515129967,0.099258143468756,0.0,0,1,1,1,0,1,0,0,0
RUNX1,0.0107413945179431,0.0785970993771463,0.1042681714915857,0.0,0,0,0,0,0,0,0,0,0
TP73,0.0047044578480061,0.2020685540156235,0.1336456310393259,0.0,0,0,0,1,0,0,0,0,0
ZFPM1,0.0054182000808169,0.0015185130602753,0.0598936204671731,0.0,0,0,0,0,0,0,0,0,0
GATA1,0.0053769225840692,0.0875608286474765,0.2229195549109107,0.0,0,0,0,0,0,0,0,0,0
CTSK,0.0,0.0583180887737073,0.0319637911347358,0.0,0,0,0,0,0,0,1,0,0
SERPINB13,0.0052720747402359,0.1982770188841204,0.0,0.0,0,0,0,0,0,0,0,0,0
CCND1,0.0,0.0022960119518463,0.1281123279772499,0.0,0,0,1,1,0,1,0,1,0
CDK4,0.0,0.0134094635532522,0.0968780407076835,0.0,0,0,1,1,0,1,0,0,0
ESRRA,0.005426819891179,0.0055744963750599,0.0565438112359044,0.0,0,0,0,0,0,0,0,0,0
PPARGC1A,0.0214429936362747,0.0138928340988586,0.1531732799851765,0.0,0,0,0,0,0,0,0,0,0
TWIST1,0.0,0.545139366219851,0.1060277098814953,0.0,0,0,0,0,0,0,0,0,0
RUNX2,0.0053108925108074,0.0287743402632664,0.0021479684283992,0.0,0,0,0,0,0,0,0,0,0
NKX3-2,0.0,0.3731169758426405,0.071701059365817,0.0,0,0,0,0,0,0,0,0,0
MSX2,0.0053941273304905,0.0324607155133668,0.3266913707815979,0.0,0,0,0,0,0,0,0,0,0
SMAD4,0.1128213258188265,0.007391861681264,0.0513371997375261,0.8803680981595092,0,0,1,0,0,0,0,1,1
SMAD1,0.0,0.0044583678750761,0.0469631048705663,0.0,0,0,0,0,0,0,0,0,1
RUNX3,0.0,0.00315822610051,0.0431447100849285,0.0,0,0,0,0,0,0,0,0,0
SMAD3,0.0376258863878285,0.0069359055293486,0.0438224317489599,0.4938650306748467,0,0,1,0,0,0,0,1,1
TFDP1,0.0054448224868863,0.0629704535570011,0.0594532947489943,0.0,0,0,1,0,0,0,0,0,1
E2F6,0.0053984712570778,0.0306259574695846,0.0782711101708855,0.0,0,0,0,0,0,0,0,0,0
TFDP2,0.0053314207404038,0.0460242548601051,0.0195770694530092,0.0,0,0,1,0,0,0,0,0,0
MGA,0.0453365316434392,0.1335941976523912,0.0112124015902984,0.5276073619631902,0,0,0,0,0,0,0,0,0
MAX,0.0213151020934602,0.0009430717119706,0.034436812557756,0.4631901840490798,1,0,0,0,0,0,0,0,0
SUPT4H1,0.0,0.0628084196173065,0.0046362094396577,0.0,0,0,0,0,0,0,0,0,0
SUPT5H,0.0161265508210779,0.3858890693111373,0.0182662054429883,0.0,0,0,0,0,0,0,0,0,0
ELOB,0.0,0.0045051451940117,0.0,0.0,0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0003563587657995,0.0,0.0,0,0,0,0,0,0,0,0,0
GTF2F1,0.0053811552230296,0.0301538888174964,0.0069524646178985,0.0,0,0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0062492670190272,0.0823104743721451,0.058282208588957,0,0,0,0,0,0,0,0,0
NCBP2,0.0,0.0004488492164609,0.0487637849523929,0.0,0,0,0,0,0,0,0,0,0
NCBP1,0.0,0.0029315048139884,0.0081509577945559,0.0,0,0,0,0,0,0,0,0,0
TAP1,0.0162029786528179,0.0027081619678893,0.0403825766802003,0.0,0,0,0,0,0,0,0,0,0
TAP2,0.0051016347039511,0.0265454031866507,0.041117405809119,0.0,0,0,0,0,0,0,0,0,0
AMN,0.0,0.04879179657938,0.1935866488136637,0.4631901840490798,0,0,0,0,0,0,0,0,0
CUBN,0.0371499276544414,0.2665624039388768,0.0695572014242145,0.0,0,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
MMAA,0.0,0.0100339108152919,0.0313849605346553,0.0,0,0,0,0,0,0,0,0,0
FASLG,0.0162598316526851,0.0089955672128458,0.1135720905155772,0.0,1,0,0,0,0,1,1,0,0
FAS,0.0160907402704322,0.0120612351908983,0.1051986362533563,0.0,1,0,0,1,0,0,1,0,0
BAG4,0.0,0.0041433908320892,0.0289961640506844,0.0,0,0,0,0,0,0,0,0,0
TNFRSF1A,0.005319565635942,0.0228415585640999,0.0740581414698364,0.0,1,0,0,0,1,0,1,0,0
TNF,0.0054247677472272,0.1172262396342326,0.0465528197509197,0.0,1,0,0,0,1,0,1,0,1
TAX1BP1,0.0051277945372013,0.0049010884700392,0.0029893535952307,0.0,0,0,0,0,0,0,0,0,0
TNFAIP3,0.0,0.0047555460972344,0.0307521209051073,0.0,0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0108905921563564,0.0087591921922624,0.0780224363254866,0.0,0,0,0,1,0,0,1,0,0
TNFRSF10D,0.0,0.0095409330260964,0.0200758575781634,0.0,0,0,0,0,0,0,0,0,0
TNFRSF10B,0.0054250490119122,0.0130427298945872,0.0937546703681449,0.0,0,0,0,1,0,0,1,0,0
NGF,0.0,0.4532247753790393,0.0880317400819195,0.3650306748466257,1,0,0,0,0,1,1,0,0
NGFR,0.0054373081076067,0.2159484198532842,0.1973861715897021,0.0,1,0,0,0,0,1,0,0,0
IRAK1,0.0105690080342223,0.0030779348632444,0.069385079053197,0.0,1,0,0,0,0,0,0,0,0
MYD88,0.0,0.0067983755142894,0.0398433604352048,0.0,1,0,0,0,0,0,0,0,0
NFKB1,0.0051936357416778,0.0037447633154616,0.0200477151476658,0.0,1,0,0,0,0,1,1,0,0
RELA,0.0,0.00544201090331,0.0022179029748317,0.0,1,0,0,0,0,1,1,0,0
UBE2B,0.0,0.0042413764798722,0.0075853275148129,0.0,0,0,0,0,0,0,0,0,0
RAD18,0.0,0.003965192203141,0.0764423399492673,0.2208588957055214,0,0,0,0,0,0,0,0,0
WDR48,0.0162454334179962,0.0016817776382346,0.0101703585154359,0.0,0,0,0,0,0,0,0,0,0
USP1,0.0052801907939876,0.0018197685025052,0.0226425875374069,0.3650306748466257,0,0,0,0,0,0,0,0,0
REV3L,0.0152480152923314,0.0060217137886563,0.0196867441353217,0.0,0,0,0,0,0,0,0,0,0
MAD2L2,0.0,0.0579231594010795,0.0845572152706736,0.0,0,0,1,0,0,0,0,0,0
RCHY1,0.0,0.0020440046662845,0.0414788157700093,0.0,0,0,0,1,0,0,0,0,0
POLH,0.0052571395682207,0.0017084723408836,0.0158063712723479,0.294478527607362,0,0,0,0,0,0,0,0,0
TRIM25,0.0053053072252657,0.005413305835954,0.0467903352613084,0.0,0,0,0,0,0,0,0,0,0
UBE2L6,0.0,0.000515613380672,0.0220496486787778,0.0,0,0,0,0,0,0,0,0,0
UBA7,0.0,0.0201824009047591,0.0321683708194249,0.0,0,0,0,0,0,0,0,0,0
ISG15,0.0054494623719821,0.0190911175353742,0.0121238803855144,0.0,0,0,0,0,0,0,0,0,0
SUMO3,0.0,0.0372290835056775,0.0138077074683764,0.0,0,0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
FANCM,0.0155372236200525,0.0021280189465323,0.0502805363259216,0.0,0,0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
CENPS,0.0,0.0024412038449945,0.0,0.0,0,0,0,0,0,0,0,0,0
FANCI,0.0052749006205748,0.0110985996633509,0.1072857475676726,0.0,0,0,0,0,0,0,0,0,0
FANCD2,0.0107762829066014,0.0053864206218262,0.0835249628711036,0.2208588957055214,0,0,0,0,0,0,0,0,0
PCCA,0.0160945541054495,0.0011642334656425,0.0146204178939542,0.0,0,0,0,0,0,0,0,0,0
PCCB,0.0053769221589756,0.010324041508047,0.0161895653523998,0.0,0,0,0,0,0,0,0,0,0
MCCC2,0.0,0.0055136311271524,0.0273521390329804,0.0,0,0,0,0,0,0,0,0,0
MCCC1,0.0108223719352927,0.0073783714642659,0.0139785447211695,0.0,0,0,0,0,0,0,0,0,0
CLCF1,0.0,0.0223043131056561,0.0504123777289973,0.0,0,0,0,0,0,0,0,0,0
CRLF1,0.0054499349675094,0.1485572164363188,0.0386784410094073,0.0,0,0,0,0,0,0,0,0,0
PRKCSH,0.0054206164027551,0.0096128750525787,0.0053203885308447,0.0,0,0,0,0,0,0,0,0,0
GANAB,0.0,0.0242430372860572,0.0159949038418106,0.0,0,0,0,0,0,0,0,0,0
CALR,0.005409180942874,0.0050957052139033,0.0350879813282366,0.0,0,0,0,0,0,0,0,0,0
CANX,0.0054175768026184,0.0149603115703021,0.0236314569754129,0.0,0,0,0,0,0,0,0,0,0
RAD51B,0.0,0.0108931543123037,0.0313507784371079,0.4631901840490798,0,0,0,0,0,0,0,0,0
NME2,0.0107546785313579,0.104852240166146,0.0423271541283087,0.0,0,0,0,0,0,0,0,0,0
NME1,0.0,0.0007410848721975,0.1273867175137559,0.0,0,0,0,0,0,0,0,0,0
APPL1,0.0,0.0041580824397024,0.0080649189724328,0.0,0,0,0,0,0,0,0,0,0
DCC,0.0268356909334792,0.3752727252741328,0.1718030907901062,0.0,0,0,0,0,0,0,0,0,0
MAGED1,0.0162427754940257,0.0296180843830153,0.0060283504690832,0.0,0,0,0,0,0,0,0,0,0
UNC5A,0.0157169603272075,0.309871264950965,0.0002963007463842,0.0,0,0,0,0,0,0,0,0,0
PPP3R1,0.0053226591672368,0.0045669721514998,0.0044107202846252,0.0,1,0,0,0,0,0,0,1,0
PPP3CC,0.0,0.0337037215084907,0.0326113650534216,0.0,1,0,0,0,0,0,0,1,0
BCL2,0.0,0.0110500410661707,0.1322597379739763,0.0,0,0,0,1,0,1,1,0,0
BAD,0.0,0.0007040430281544,0.066469919993828,0.0,0,0,0,0,0,1,1,0,0
BAK1,0.0,0.0139019195383138,0.0619876749148819,0.0,0,0,0,0,0,0,1,0,0
CYCS,0.0,0.0058482951681367,0.0458142497240788,0.0,0,0,0,1,0,0,1,0,0
XIAP,0.0,0.0186371623207625,0.0094296251654897,0.0,0,0,0,0,0,0,1,0,0
