gene,MF: LUSC,METH: LUSC,GE: LUSC,CNA: LUSC,hsa04010,hsa04012,hsa04014,hsa04020,hsa04110,hsa04115,hsa04151
EGF,0.0541647772571592,0.0191978078227619,0.0427775768559149,0.0,1,1,1,1,0,0,1
PIK3CA,0.3795859358115953,0.0246940031742277,0.0508574872972031,0.0,0,1,1,0,0,0,1
PIK3R1,0.0,0.013366808107316,0.0808612383745676,0.8539823008849557,0,1,1,0,0,0,1
SRC,0.0,0.0451872299929885,0.0263927436449525,0.0,0,0,0,0,0,0,0
PXN,0.0,0.0002396540886021,0.0732805056095234,0.1902654867256637,0,0,0,0,0,0,0
CLPS,0.0,0.0848068237956092,0.0,0.0,0,0,0,0,0,0,0
PNLIP,0.1646207748202487,0.4107264150930391,0.0,0.0,0,0,0,0,0,0,0
GNB1,0.0,0.0113227795093439,0.0228984942950053,0.504424778761062,0,0,1,0,0,0,1
GNGT1,0.0,0.0,0.3592701306708797,0.584070796460177,0,0,1,0,0,0,1
CNGA1,0.0548500251280533,0.0017064977108858,0.0639103692271803,0.0,0,0,0,0,0,0,0
CNGB1,0.0,0.1522763895065318,0.0612925347283046,0.0,0,0,0,0,0,0,0
FNTB,0.0,0.0062171229173909,0.0178951482181007,0.0,0,0,0,0,0,0,0
FNTA,0.0547295166192539,0.0089722026550803,0.0401607455172406,0.0,0,0,0,0,0,0,0
RAD50,0.0,0.011978855664473,0.0170172270771486,0.8539823008849557,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
KPNA2,0.0,0.0072426042849302,0.224960083681896,0.0,0,0,0,0,0,0,0
NBN,0.0,0.0002635143277419,0.0094725381328259,0.0,0,0,0,0,0,0,0
KAT5,0.0,0.0098210017913376,0.041308778514362,0.0,0,0,0,0,0,0,0
ATM,0.0530857296657725,0.0013226514543616,0.0133185958419301,0.0,0,0,0,0,1,1,0
BAZ1B,0.0,0.0186957870405517,0.0180841238660246,0.0,0,0,0,0,0,0,0
SMARCA5,0.0,0.0073447817944205,0.059755639819919,0.0,0,0,0,0,0,0,0
UBE2I,0.0,0.0079385107963538,0.0511745808526759,0.0,0,0,0,0,0,0,0
SUMO1,0.0,0.0004265422141259,0.0292223927643708,0.0,0,0,0,0,0,0,0
UBE2V2,0.0,0.0601840233029059,0.073995398116837,0.0,0,0,0,0,0,0,0
UBE2N,0.0,0.0110253173742955,0.0493378383097529,0.0,0,0,0,0,0,0,0
BARD1,0.0527907995989668,0.0167677425502936,0.1011289021184274,0.3517699115044247,0,0,0,0,0,0,0
BRCA1,0.1596847472075129,0.0188929838201622,0.1630664938808258,0.0,0,0,0,0,0,0,1
SUMO2,0.0,0.0159297775948296,0.0521194295292007,0.5221238938053098,0,0,0,0,0,0,0
MDC1,0.0,0.0011614698655275,0.0253332592328566,0.0,0,0,0,0,0,0,0
HERC2,0.1061738827143475,0.1627233000758461,0.0181060505306976,0.3694690265486725,0,0,0,0,0,0,0
ATRIP,0.0,0.0093794360075053,0.0072266912759493,0.0,0,0,0,0,0,0,0
ATR,0.1090823237000939,0.0011414540757236,0.0821125797387378,0.0,0,0,0,0,1,1,0
TIMELESS,0.0,0.0245146905713887,0.2010617719902517,0.0,0,0,0,0,0,0,0
TIPIN,0.0,0.0879585461648734,0.0826566927587452,0.0,0,0,0,0,0,0,0
PPP4R2,0.0,0.0114108806251183,0.0140038719730438,0.0,0,0,0,0,0,0,0
PPP4C,0.0,0.0087437679631663,0.0502622642818778,0.0,0,0,0,0,0,0,0
RAD51C,0.0,0.1280383031577489,0.0656250694317202,0.0,0,0,0,0,0,0,0
XRCC3,0.0,0.0049477816566009,0.1524689366577716,0.3495575221238938,0,0,0,0,0,0,0
EME2,0.0,0.0156059094003034,0.0323516759803114,0.0,0,0,0,0,0,0,0
MUS81,0.0,0.0163926709220799,0.0291207254770733,0.0,0,0,0,0,0,0,0
EME1,0.0547737808219407,0.0032006275983441,0.2837176195283014,0.0,0,0,0,0,0,0,0
BRCA2,0.0545277262235622,0.0027710472485818,0.1163800206186697,0.0,0,0,0,0,0,0,0
RAD51,0.0535911103675592,0.010023290101531,0.2986835336103696,0.0,0,0,0,0,0,0,0
ERCC4,0.0,0.0395015265732672,0.0008028928385627,0.0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0255296344311168,0.0,0,0,0,0,0,0,0
XRCC1,0.0,0.0056264401544041,0.0107645909441665,0.0,0,0,0,0,0,0,0
LIG3,0.0,0.0266429147293042,0.0819965156296916,0.0,0,0,0,0,0,0,0
XRCC6,0.054319585770565,0.0017825349616099,0.0447982334543666,0.0,0,0,0,0,0,0,0
XRCC5,0.0,0.1309157319766702,0.0273958349314305,0.3517699115044247,0,0,0,0,0,0,0
XRCC4,0.0,0.0009438447285147,0.0129085918948082,0.8539823008849557,0,0,0,0,0,0,0
LIG4,0.1075298833469197,0.0172095540227949,0.0856608920815231,0.0,0,0,0,0,0,0,0
HEXB,0.0,0.0405728100240292,0.0851173791877696,0.8539823008849557,0,0,0,0,0,0,0
HEXA,0.109301982516526,0.0058626570033066,0.0476240532355895,0.0,0,0,0,0,0,0,0
EXT2,0.1085648433995024,0.0308928348359997,0.022745744692494,0.0,0,0,0,0,0,0,0
EXT1,0.0536320289765896,0.0218842782060711,0.0346570840463288,0.0,0,0,0,0,0,0,0
SOS1,0.0,0.0117533846287741,0.0004784905102641,0.0,1,0,1,0,0,0,1
CDK1,0.0543147466173696,0.0225013324321616,0.2880395409209787,0.0,0,0,0,0,1,1,0
CCNB1,0.0,0.0181078785451904,0.3447412548907819,0.8539823008849557,0,0,0,0,1,1,0
PCF11,0.1089863022183842,0.0106317957301346,0.0525741536103647,0.0,0,0,0,0,0,0,0
CLP1,0.0,0.1235789888058607,0.0315603665370689,0.0,0,0,0,0,0,0,0
TEAD1,0.0,0.0283752504441192,0.0866315896611859,0.0,0,0,0,0,0,0,0
YAP1,0.0,0.0142667995747078,0.041305888304911,0.0,0,0,0,0,0,0,0
TEAD2,0.0,0.016715011070425,0.0172260631466628,0.329646017699115,0,0,0,0,0,0,0
TEAD3,0.0,0.0211803207636292,0.0391295570433067,0.0,0,0,0,0,0,0,0
TEAD4,0.0,0.0190799335450777,0.0051798165474132,0.5641592920353983,0,0,0,0,0,0,0
CDK8,0.0,0.0020952249076298,0.0599292469975387,0.0,0,0,0,0,0,0,0
CCNC,0.0,0.0126003487795665,0.0419491734653401,0.0,0,0,0,0,0,0,0
SMAD7,0.0,0.0193787849125333,0.1789108501432172,0.0,0,0,0,0,0,0,0
RNF111,0.0517323271957933,0.0040353745335472,0.0178410355076339,0.0,0,0,0,0,0,0,0
PTEN,0.3271402543802955,0.0106647175870864,0.028568752193372,0.5929203539823009,0,0,0,0,0,1,1
TP53,1.0,0.0086975869133445,0.0409956046728258,0.0,1,0,0,0,1,1,1
TSC1,0.0,0.0,0.0024126303321796,0.0,0,0,0,0,0,0,1
TSC2,0.0,0.0241417830503058,0.023925148529551,0.0,0,0,0,0,0,1,1
SCO2,0.0,0.0070098911946418,0.0474550141576061,0.2809734513274337,0,0,0,0,0,0,0
RRM2B,0.0,0.0089245773851338,0.0893416755723344,0.0,0,0,0,0,0,1,0
GLS2,0.0,0.0349455345732202,0.0269808520475993,0.0,0,0,0,0,0,0,0
IGFBP3,0.0,0.225891515667413,0.1947976313581036,0.0,0,0,0,0,0,1,0
PMAIP1,0.0,0.0023792145560707,0.2036968996036732,0.0,0,0,0,0,0,1,0
BID,0.0,0.0115506488512988,0.0968597219629358,0.75,0,0,0,0,0,1,0
TP53AIP1,0.0,0.2898024502673313,0.2623331296330164,0.4070796460176989,0,0,0,0,0,1,0
ZNF420,0.0545666533213998,0.0741118316508444,0.0178299638923098,0.0,0,0,0,0,0,0,0
STEAP3,0.0,0.0144473445548845,0.0180025984514401,0.0,0,0,0,0,0,1,0
BNIP3L,0.0546148811892086,0.1333028610553145,0.0375964070346472,0.0,0,0,0,0,0,0,0
TRIAP1,0.0,0.0058344452281929,0.0327490046894237,0.1902654867256637,0,0,0,0,0,0,0
AIFM2,0.0,0.0069224717349794,0.0043505818058333,0.0,0,0,0,0,0,1,0
TP53INP1,0.0,0.023516470845078,0.0801072561011026,0.0,0,0,0,0,0,0,0
APAF1,0.0530235340010149,0.0134090917316889,0.056831112742852,0.1902654867256637,0,0,0,0,0,1,0
PIDD1,0.0,0.0107858928630972,0.0,0.0,0,0,0,0,0,1,0
CRADD,0.0,0.0171208613492262,0.0242332264341742,0.0,0,0,0,0,0,0,0
NLRC4,0.0,0.069918861685501,0.3071117628410788,0.0,0,0,0,0,0,0,0
CASP6,0.0,0.0400710313724608,0.0205875716126876,0.0,0,0,0,0,0,0,0
CASP10,0.0,0.0611401744545584,0.1070283191170295,0.0,0,0,0,0,0,0,0
NDRG1,0.0,0.0447149724952695,0.1417684027467566,0.0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.0316551500757989,0.0,0,0,0,0,0,0,0
BIRC5,0.0,0.0039896450168225,0.4316096287750854,0.5221238938053098,0,0,0,0,0,0,0
BCL6,0.1090284495838518,0.0138188175899232,0.0302924527938247,0.0,0,0,0,0,0,0,0
ZNF385A,0.0,0.4009257975343394,0.1005212731602489,0.0,0,0,0,0,0,1,0
ARID3A,0.0,0.0086245784463249,0.0559727509923385,0.5221238938053098,0,0,0,0,0,0,0
E2F7,0.0,0.0076683392268665,0.3634671553593054,0.0,0,0,0,0,0,0,0
E2F8,0.0,0.0650306834470147,0.2617209165156111,0.0,0,0,0,0,0,0,0
GADD45A,0.0,0.0204716404593856,0.0437840876204983,0.0,1,0,0,0,1,1,0
AURKA,0.0,0.0106902485474063,0.2896373740016921,0.0,0,0,0,0,0,0,0
PCNA,0.0,0.0075301052451861,0.151803776421183,0.0,0,0,0,0,1,0,0
BAX,0.0,0.0106263140879187,0.0045300159807233,0.329646017699115,0,0,0,0,0,1,0
SFN,0.0,0.375590901866959,0.2624994392402403,0.504424778761062,0,0,0,0,1,1,0
PLK2,0.0,0.001459825793333,0.0569400624712468,0.0,0,0,0,0,0,0,0
PLK3,0.0,0.008263234946981,0.1311966294904379,0.0,0,0,0,0,0,0,0
RGCC,0.0,0.1026560886118942,0.357783552884803,0.0,0,0,0,0,0,0,0
PLAGL1,0.0,0.0144974336196124,0.1131807159109507,0.0,0,0,0,0,0,0,0
ATF2,0.0533715037109473,0.0134024264060466,0.002162669429057,0.0,1,0,0,0,0,0,1
JUN,0.0,0.0147923137611584,0.128138178140472,0.0,1,1,0,0,0,0,0
FOS,0.0,0.010096183429254,0.2616560059183356,0.0,1,0,0,0,0,0,0
PMS2,0.0543371389342401,0.0311221108513256,0.0651208739580638,0.0,0,0,0,0,0,0,0
MLH1,0.0,0.0113526008710189,0.0470028119334915,0.0,0,0,0,0,0,0,0
FANCC,0.0,0.0477526619098239,0.023786085348133,0.0,0,0,0,0,0,0,0
DDB2,0.0,0.0039551597284333,0.0180580867579597,0.0,0,0,0,0,0,1,0
PRDM1,0.1084148306803154,0.0157040821907828,0.0224841978881287,0.0,0,0,0,0,0,0,0
MDM2,0.0,0.0153921741810389,0.0001430624918782,0.3938053097345133,0,0,0,0,1,1,1
MDM4,0.0,0.0239530946729187,0.0110886318531466,0.0,0,0,0,0,0,1,0
CCNG1,0.0,0.0032194040881546,0.0678408407722287,0.8539823008849557,0,0,0,0,0,1,0
HIPK2,0.0,0.016544416636377,0.0988728895106664,0.0,0,0,0,0,0,0,0
PIN1,0.0,0.0062661358737556,0.0165597545387791,0.0,0,0,0,0,0,0,0
HIPK1,0.0,0.0141454048842185,0.0909240485854568,0.0,0,0,0,0,0,0,0
SSRP1,0.0,0.0134425182307342,0.0722097244074282,0.0,0,0,0,0,0,0,0
SUPT16H,0.0,0.001001736439527,0.039230881928693,0.3871681415929203,0,0,0,0,0,0,0
CSNK2A1,0.0537405169711909,0.0,0.0858860083082437,0.0,0,0,0,0,0,0,0
CSNK2A2,0.0,0.0087962782728313,0.0117409639026411,0.0,0,0,0,0,0,0,0
TPX2,0.0,0.0083630112628265,0.4224299797347821,0.6769911504424779,0,0,0,0,0,0,0
NOC2L,0.0,0.0541683011804719,0.0648517813463069,0.504424778761062,0,0,0,0,0,0,0
CDK5R1,0.0,0.0176231135792773,0.2144005410107566,0.0,0,0,0,0,0,0,0
CDK5,0.0,0.008087593092503,0.0655347055040901,0.0,0,0,0,0,0,0,0
POU4F1,0.0,0.2118919941529297,0.1400412519010429,0.0,0,0,0,0,0,0,0
POU4F2,0.0,0.3836493668794627,0.0,0.0,0,0,0,0,0,0,0
BANP,0.0,0.0085804441880715,0.0223379481042745,0.0,0,0,0,0,0,0,0
PHF20,0.0546770711516612,0.0131814460752459,0.0436084452257386,0.0,0,0,0,0,0,0,0
L3MBTL1,0.0,0.0715611552372894,0.056450677754805,0.0,0,0,0,0,0,0,0
EHMT2,0.0,0.0181068419423161,0.0446846818373505,0.0,0,0,0,0,0,0,0
EHMT1,0.0,0.0163982475090773,0.0107838961483533,0.0,0,0,0,0,0,0,0
TFAP2A,0.0,0.1534802618159954,0.459795954939579,0.0,0,0,0,0,0,0,0
DEK,0.0,0.009876565038074,0.0639569172458655,0.0,0,0,0,0,0,0,0
TFAP2C,0.0,0.0870254795042382,0.1861548848436243,0.0,0,0,0,0,0,0,0
WWOX,0.0,0.011226859815999,0.0130880566322647,0.4646017699115043,0,0,0,0,0,0,0
TFAP2B,0.0540369849200778,0.577487885594307,0.0286670543325088,0.0,0,0,0,0,0,0,0
YEATS4,0.0,0.0084246172248903,0.0912144096041869,0.3938053097345133,0,0,0,0,0,0,0
ESR1,0.0,0.1320795832069946,0.1648114389877493,0.0,0,0,0,0,0,0,0
ATAD2,0.0540453051073683,0.0102645503821654,0.1899224639960635,0.0,0,0,0,0,0,0,0
VEGFA,0.0,0.0049461697143116,0.0155974263377518,0.0,1,0,1,1,0,0,1
TGFA,0.0536333187667175,0.0044609283585031,0.1340447135745917,0.0,1,0,1,1,0,0,1
CDKN1A,0.0,0.3801034635373361,0.0604233761517817,0.0,0,1,0,0,1,1,1
RUNX1,0.0539825305222461,0.3163785769635254,0.004785104406321,0.0,0,0,0,0,0,0,0
TP73,0.0,0.2284645787202483,0.1900131444877871,0.504424778761062,0,0,0,0,0,1,0
ZFPM1,0.0,0.0041840628656554,0.0238992813302438,0.0,0,0,0,0,0,0,0
GATA1,0.0,0.201009608324713,0.282861848084233,0.0,0,0,0,0,0,0,0
CTSK,0.0,0.0583785354809365,0.0483799999315908,0.5707964601769911,0,0,0,0,0,0,0
SERPINB13,0.0,0.6066981580018531,0.636449815686808,0.0,0,0,0,0,0,0,0
CCND1,0.0541868242243529,0.0048094023880646,0.086100803063379,0.0,0,0,0,0,1,1,1
CDK4,0.0,0.0033367739512511,0.1252883209975649,0.0,0,0,0,0,1,1,1
ESRRA,0.0,0.0201521611051334,0.0217932415279572,0.0,0,0,0,0,0,0,0
PPARGC1A,0.0,0.1479170652956244,0.2577877931797281,0.0,0,0,0,0,0,0,0
TWIST1,0.0,0.1649263361355034,0.3152235047194524,0.0,0,0,0,0,0,0,0
RUNX2,0.0504667080040302,0.142446193055006,0.0932556469284011,0.0,0,0,0,0,0,0,0
NKX3-2,0.0,0.1088565292469321,0.1768375303363282,0.0,0,0,0,0,0,0,0
MSX2,0.0,0.1973531739431989,0.1031428143949104,0.8539823008849557,0,0,0,0,0,0,0
SMAD4,0.0,0.0092259579700006,0.0330976599016163,0.0,0,0,0,0,1,0,0
SMAD1,0.0,0.0193282220186416,0.0445007413668837,0.0,0,0,0,0,0,0,0
RUNX3,0.0,0.2211102632822155,0.0068892917747743,0.504424778761062,0,0,0,0,0,0,0
SMAD3,0.0,0.0209439494051377,0.0501400598732939,0.0,0,0,0,0,1,0,0
TFDP1,0.0,0.0113611149492729,0.0804039184505279,0.2013274336283185,0,0,0,0,1,0,0
E2F6,0.0,0.0587873713308591,0.0719475990026373,0.1106194690265486,0,0,0,0,0,0,0
TFDP2,0.0532652974621889,0.0142947909896632,0.1049865268104011,0.0,0,0,0,0,1,0,0
MGA,0.1583422018832833,0.1549342019169571,0.0007088180069145,0.0,0,0,0,0,0,0,0
MAX,0.0,0.0034024121411458,0.009249629616154,0.0,1,0,0,0,0,0,0
SUPT4H1,0.0,0.0068340012788642,0.0072605441731864,0.0,0,0,0,0,0,0,0
SUPT5H,0.0542860421500172,0.3481860269001496,0.0191542312380777,0.0,0,0,0,0,0,0,0
ELOB,0.0,0.0083501435438979,0.0,0.0,0,0,0,0,0,0,0
ELOC,0.0,0.0037654956844886,0.0,0.0,0,0,0,0,0,0,0
GTF2F1,0.0,0.0123541574632178,0.0046952373383531,0.0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0151590050437669,0.0363251158408209,0.0,0,0,0,0,0,0,0
NCBP2,0.0,0.0148449886273725,0.1069559223832627,0.0,0,0,0,0,0,0,0
NCBP1,0.0,0.0018939546257355,0.0288855201897799,0.0,0,0,0,0,0,0,0
TAP1,0.0,0.0145626662617597,6.444833746351564e-05,0.0,0,0,0,0,0,0,0
TAP2,0.0542607484649664,0.0194028734417564,0.0053284855828914,0.0,0,0,0,0,0,0,0
AMN,0.0,0.0344637160666478,0.0714030133866377,0.3495575221238938,0,0,0,0,0,0,0
CUBN,0.4348975794064182,0.3115187145713011,0.1756250890429922,0.0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
MMAA,0.0542357222918274,0.0246471931319323,0.035958291907538,0.0,0,0,0,0,0,0,0
FASLG,0.0545271449875819,0.1465515136609764,0.1143308780117529,0.0,1,0,1,0,0,0,1
FAS,0.0,0.0449758041579751,0.1221349595157738,0.0,1,0,0,0,0,1,0
BAG4,0.0544950036471169,0.0163544749481827,0.0579961661383652,0.0,0,0,0,0,0,0,0
TNFRSF1A,0.0546134611219666,0.0139279720917136,0.0238237813217774,0.0,1,0,0,0,0,0,0
TNF,0.054971644122229,0.2829223362268977,0.1348174113276075,0.0,1,0,0,0,0,0,0
TAX1BP1,0.0,0.0088473260458665,0.0119666449340553,0.0,0,0,0,0,0,0,0
TNFAIP3,0.1604569861285368,0.0126420563453205,0.1081312765530864,0.0,0,0,0,0,0,0,0
TNFRSF10A,0.0,0.0097880893305147,0.0136311352364402,0.0,0,0,0,0,0,1,0
TNFRSF10D,0.0,0.1351127122609569,0.1594755929265385,0.0,0,0,0,0,0,0,0
TNFRSF10B,0.0,0.0094192524358343,0.039522691227893,0.0,0,0,0,0,0,1,0
NGF,0.0,0.1418079384030435,0.0229561182167467,0.4889380530973451,1,0,1,1,0,0,1
NGFR,0.0,0.0318647041066347,0.0984062865701895,0.0,1,0,1,0,0,0,1
IRAK1,0.0,0.0407082756732645,0.0932366195529353,0.2743362831858407,1,0,0,0,0,0,0
MYD88,0.0549583529656259,0.0083546400348809,0.0971798236453524,0.0,1,0,0,0,0,0,0
NFKB1,0.0,0.0116550344163666,0.0588150501083917,0.0,1,0,1,0,0,0,1
RELA,0.0,0.0159127737661293,0.0220401202355078,0.0,1,0,1,0,0,0,1
UBE2B,0.0,0.0160118480244759,0.0284138569170703,0.8539823008849557,0,0,0,0,0,0,0
RAD18,0.0547588981650449,0.0223681667470186,0.0381775091308045,0.0,0,0,0,0,0,0,0
WDR48,0.0,0.0513688908478619,0.0599197244319104,0.0,0,0,0,0,0,0,0
USP1,0.0,0.0106641364531606,0.0298738087413103,0.0,0,0,0,0,0,0,0
REV3L,0.0,0.0088388107432298,0.0923046810356511,0.0,0,0,0,0,0,0,0
MAD2L2,0.0,0.0302289301155748,0.0913679159801731,0.504424778761062,0,0,0,0,1,0,0
RCHY1,0.0,0.0082493614581872,0.0570816320695737,0.0,0,0,0,0,0,1,0
POLH,0.0,0.0044082624393978,0.0330876013905855,0.0,0,0,0,0,0,0,0
TRIM25,0.0,0.0162141543726624,0.0322784356647822,0.0,0,0,0,0,0,0,0
UBE2L6,0.0,0.0020986739935002,0.0439629689686515,0.0,0,0,0,0,0,0,0
UBA7,0.0,0.2070706401181378,0.1319723841235954,0.0,0,0,0,0,0,0,0
ISG15,0.0,0.0311986455823174,0.0228025872182107,0.504424778761062,0,0,0,0,0,0,0
SUMO3,0.0,0.1213579295812405,0.0127489324000618,0.0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
FANCM,0.1076212911721723,0.0111349351498915,0.0763831065851886,0.0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
CENPS,0.0,0.0147151885126825,0.0,0.0,0,0,0,0,0,0,0
FANCI,0.0,0.0257573654248993,0.2732840198703805,0.0,0,0,0,0,0,0,0
FANCD2,0.0,0.0183755128236018,0.1816087012866727,0.0,0,0,0,0,0,0,0
PCCA,0.0,0.0149648112920349,0.0691654614807133,0.0,0,0,0,0,0,0,0
PCCB,0.0,0.0162439467899368,0.0867553928508557,0.0,0,0,0,0,0,0,0
MCCC2,0.0,0.009187280355153,0.0235660278194781,0.8539823008849557,0,0,0,0,0,0,0
MCCC1,0.0,0.0151189180624991,0.0336854040024586,0.0,0,0,0,0,0,0,0
CLCF1,0.0,0.0269245831885738,0.0414083838308097,0.0,0,0,0,0,0,0,0
CRLF1,0.0,0.0072724429445539,0.0133549521906904,0.0,0,0,0,0,0,0,0
PRKCSH,0.0,0.0312732870207776,0.0347328763753676,0.0,0,0,0,0,0,0,0
GANAB,0.0,0.0207017550384529,0.0447931222152067,0.0,0,0,0,0,0,0,0
CALR,0.0,0.009973749765084,0.0438964329156838,0.0,0,0,0,0,0,0,0
CANX,0.0,0.0299689904127552,0.0201530064164872,0.8539823008849557,0,0,0,0,0,0,0
RAD51B,0.0,0.0200229180905416,0.0220674670659707,0.0,0,0,0,0,0,0,0
NME2,0.0,0.1188878606391086,0.1091173125321805,0.0,0,0,0,0,0,0,0
NME1,0.0,0.0082197017762692,0.1938786561509716,0.0,0,0,0,0,0,0,0
APPL1,0.0,0.0176419259045613,0.047067781030552,0.0,0,0,0,0,0,0,0
DCC,0.2666371307542359,0.1485659451935181,0.2208542919903319,0.0,0,0,0,0,0,0,0
MAGED1,0.0,0.0828361120999567,0.0465944616714426,0.0,0,0,0,0,0,0,0
UNC5A,0.0,0.0295708458474554,0.073116845259602,0.8539823008849557,0,0,0,0,0,0,0
PPP3R1,0.0,0.1904135451871425,0.0309572794205151,0.0,1,0,0,1,0,0,0
PPP3CC,0.0,0.0390667062514416,0.0856232852734641,0.0,1,0,0,1,0,0,0
BCL2,0.0,0.0056650006919433,0.0199219343070134,0.0,0,0,0,0,0,1,1
BAD,0.0,0.0205667560795576,0.0046756434138607,0.0,0,0,1,0,0,0,1
BAK1,0.0544893140905197,0.0003023774325993,0.0720799786766342,0.0,0,0,0,0,0,0,0
CYCS,0.0,0.0091136459790725,0.0923416393260129,0.0,0,0,0,0,0,1,0
XIAP,0.0,0.0326257010653544,0.0186656889808467,0.0,0,0,0,0,0,0,0
CASP3,0.0,0.0134126488136846,0.0729407305334096,0.0,1,0,0,0,0,1,0
CASP7,0.0537667033700827,0.0032127745975779,0.0395642184233392,0.0,0,0,0,0,0,0,0
CASP9,0.0,0.0172934844643087,0.032546519178975,0.504424778761062,0,0,0,0,0,1,1
DIABLO,0.0,0.0229348427086934,0.0566336946064182,0.1902654867256637,0,0,0,0,0,0,0
DFFB,0.0,0.0013479890897707,0.0213309509783723,0.504424778761062,0,0,0,0,0,0,0
DFFA,0.0,0.0064551917343256,0.0244552803222024,0.504424778761062,0,0,0,0,0,0,0
KPNA1,0.0,0.0733778554937478,0.0730438672477982,0.0,0,0,0,0,0,0,0
KPNB1,0.0,0.0095484946588694,0.0630752731434086,0.0,0,0,0,0,0,0,0
PAK2,0.0,0.0397218845947573,0.0529284263584804,0.0,1,1,1,0,0,0,0
ARHGAP10,0.0,0.02194697092081,0.0730338611935659,0.0,0,0,0,0,0,0,0
RIPK1,0.0,0.009311716363376,0.0598794830819757,0.2964601769911504,0,0,0,0,0,0,0
RIPK3,0.0,0.0340286376056728,0.1162001760906229,0.3871681415929203,0,0,0,0,0,0,0
GCH1,0.0,0.010839810138517,0.0335001471087614,0.0,0,0,0,0,0,0,0
GCHFR,0.0,0.0522582977412014,0.1520309966441545,0.0,0,0,0,0,0,0,0
UBE2V1,0.0,0.0514888982354664,0.0118352265389453,0.0,0,0,0,0,0,0,0
TRAF6,0.0,0.0189372143455476,0.0431742338025375,0.0,1,0,0,0,0,0,0
IRAK2,0.0,0.0264560535878654,0.065754877408045,0.0,0,0,0,0,0,0,0
HBEGF,0.0,0.0473679358044471,0.1951788215689005,0.8539823008849557,0,1,0,0,0,0,0
CAPZA2,0.0,0.0109900085130186,0.0659237072328113,0.0,0,0,0,0,0,0,0
CAPZB,0.0,0.012614529311278,0.0201501818213417,0.504424778761062,0,0,0,0,0,0,0
CAPZA3,0.0549277778764878,0.1989477530366654,0.0,0.0,0,0,0,0,0,0,0
CAPZA1,0.0,0.0078708711351384,0.0218877969456962,0.0,0,0,0,0,0,0,0
GORASP1,0.0,0.0,0.0880450297205915,0.0,0,0,0,0,0,0,0
GOLGA2,0.0,0.0615570143689786,0.0056267534404543,0.0,0,0,0,0,0,0,0
TGFBR1,0.0,0.0251561912999018,0.031564468118699,0.0,1,0,0,0,0,0,0
FKBP1A,0.0,0.0112798311971958,0.0155692813518026,0.0,0,0,0,0,0,0,0
RASGRF2,0.0,0.2973090703580702,0.0952284876255807,0.8539823008849557,1,0,1,0,0,0,0
RASGRF1,0.054100581955704,0.0544569446219268,0.5364527497829067,0.0,1,0,1,0,0,0,0
GRIA2,0.0517008461519483,0.1314216307281309,0.0526718067474601,0.0,0,0,0,0,0,0,0
