GENE,MF: ESCA,METH: ESCA,GE: ESCA,CNA: ESCA,hsa04010,hsa04115,hsa04310,hsa04340,hsa04350
PMAIP1,0.0,0.010366334771865,0.2282416578124297,0.7724137931034484,0,0,0,0,0
BID,0.0,0.0119377344462164,0.1492290779587181,0.0,0,0,0,0,0
TP53AIP1,0.0,0.3137000997037018,0.1560719030096292,0.0,0,0,0,0,0
ZNF420,0.0540170402913975,0.324562518506116,0.0920090780779842,0.0,0,0,0,0,0
STEAP3,0.0,0.0091102507836109,0.0517010738757799,0.4137931034482759,0,0,0,0,0
BNIP3L,0.0,0.1133712098144446,0.0327047553908982,0.5172413793103449,0,0,0,0,0
TRIAP1,0.0,0.0079594298338123,0.0429624445419003,0.0,0,0,0,0,0
AIFM2,0.0,0.0291655658623668,0.0298472157746088,0.0,0,0,0,0,0
TP53INP1,0.0,0.0144053234784562,0.1104503503819158,0.0,0,0,0,0,0
APAF1,0.0,0.0161977975269302,0.0252723064227245,0.3586206896551724,0,0,0,0,0
PIDD1,0.0270123760603848,0.0225556074690068,0.0,0.0,0,0,0,0,0
CRADD,0.0,0.0175695624209961,0.0472272975320482,0.3586206896551724,0,0,0,0,0
NLRC4,0.0268625838414439,0.0959570285902893,0.0022583451780026,0.0,0,0,0,0,0
CASP6,0.0,0.0485523409936958,0.0005006262853669,0.0,0,0,0,0,0
CASP10,0.0,0.0653414266529329,0.0182230592098308,0.0,0,0,0,0,0
NDRG1,0.0,0.0124598433725195,0.0638698366813483,0.0,0,0,0,0,0
BCL2L14,0.0,0.0,0.1541938890753884,0.0,0,0,0,0,0
BIRC5,0.0,0.0012369514223322,0.2570290003571994,0.0,0,0,0,0,0
BCL6,0.0,0.0053643311209457,0.0112522968212185,0.0,0,0,0,0,0
ZNF385A,0.0538516025091035,0.101906870005503,0.1242542503514878,0.0,0,0,0,0,0
ARID3A,0.0,0.005654396736215,0.10570866566566,0.6482758620689656,0,0,0,0,0
E2F7,0.0,0.0017658182009789,0.392891703917624,0.3586206896551724,0,0,0,0,0
E2F8,0.0268237379259161,0.0496828991937675,0.1236749138094361,0.0,0,0,0,0,0
GADD45A,0.0,0.004087311306926,0.0632572145835784,0.0,1,0,0,0,0
AURKA,0.0,0.0048426768350363,0.2345031973665001,0.0,0,0,0,0,0
PCNA,0.0,0.0007448851036314,0.206289792309433,0.0,0,0,0,0,0
BAX,0.0,0.0112464532461465,0.1044137128833831,0.0,0,0,0,0,0
SFN,0.0,0.2169128686421623,0.2874544548312637,0.5172413793103449,0,0,0,0,0
PLK2,0.0,0.0024354993832588,0.0672006870703326,0.0,0,0,0,0,0
PLK3,0.0,0.019221321984135,0.0062770324923586,0.0,0,0,0,0,0
RGCC,0.0,0.1609046916861985,0.0563682214352524,0.0,0,0,0,0,0
PLAGL1,0.0,0.0013555848413921,0.1014058024828008,0.0,0,0,0,0,0
ATF2,0.0,0.0107263125887323,0.006352851397254,0.0,1,0,0,0,0
JUN,0.054170136101347,0.0044344059168847,0.0518921489734981,0.0,1,0,1,0,0
FOS,0.0270427875801134,0.0055329816372897,0.0699638113426234,0.0,1,0,0,0,0
PMS2,0.0,0.0068341566401836,0.0503026377593045,0.0,0,0,0,0,0
MLH1,0.0,0.0322656841235505,0.0236535536950778,0.0,0,0,0,0,0
FANCC,0.0,0.0002994560076171,0.0605891291536634,0.0,0,0,0,0,0
DDB2,0.0,0.02065117716829,0.0654462061621315,0.0,0,0,0,0,0
PRDM1,0.0,0.0054867391480322,0.1073568806102226,0.3793103448275863,0,0,0,0,0
MDM2,0.0531298404966721,0.0125881720208031,0.019716379335883,0.0,0,0,0,0,0
MDM4,0.0,0.0060258430492399,0.0469683657616839,0.0,0,0,0,0,0
CCNG1,0.0,0.0223893357171788,0.1054909478700362,0.0,0,0,0,0,0
HIPK2,0.0529438037544046,0.0125150067197793,0.1134578310587237,0.0,0,0,0,0,0
PIN1,0.0,0.0148918584777666,0.0035280297366066,0.0,0,0,0,0,0
HIPK1,0.0256672997205776,0.0242230739897068,0.0486329993123855,0.4413793103448275,0,0,0,0,0
SSRP1,0.0,0.0035510466790548,0.0646950081596088,0.0,0,0,0,0,0
SUPT16H,0.0541810909697672,0.0075852184563402,0.0534430083542037,0.0,0,0,0,0,0
CSNK2A1,0.0,0.0,0.024051167635095,0.0,0,0,1,0,0
CSNK2A2,0.0,0.0030941372511893,0.0174100822924223,0.0,0,0,1,0,0
TPX2,0.0,0.0021466578925303,0.3650075378152034,0.0,0,0,0,0,0
NOC2L,0.027072942029149,0.0325755742337297,0.0724463136088542,0.0,0,0,0,0,0
CDK5R1,0.0542038539469188,0.076466488756582,0.164317951256203,0.0,0,0,0,0,0
CDK5,0.0,0.0049528732645381,0.0651700614534409,0.0,0,0,0,0,0
POU4F1,0.0,0.6179176760123157,0.0090382678859379,0.0,0,0,0,0,0
POU4F2,0.0,0.6746157453248472,0.0,0.0,0,0,0,0,0
BANP,0.0269721084047318,0.0062457259772023,0.014225199806278,0.0,0,0,0,0,0
PHF20,0.0,0.0473470055987195,0.0064134000654283,0.0,0,0,0,0,0
L3MBTL1,0.0,0.1716685745310962,0.0030993356032026,0.0,0,0,0,0,0
EHMT2,0.0,0.0443777806306452,0.0637877756998729,0.0,0,0,0,0,0
EHMT1,0.0,0.0706542329329883,0.0093678314145294,0.0,0,0,0,0,0
TFAP2A,0.0267429363021454,0.1770264022459026,0.4928600261023347,0.0,0,0,0,0,0
DEK,0.0270023833999461,0.0049426739288455,0.0620933601333212,0.0,0,0,0,0,0
TFAP2C,0.0,0.2617057986583777,0.3425368726563974,0.0,0,0,0,0,0
WWOX,0.0,0.0086926696323815,0.0104700954993411,0.0,0,0,0,0,0
TFAP2B,0.0541289062341029,0.4907987045271292,0.0,0.0,0,0,0,0,0
YEATS4,0.0,0.00493038849045,0.0584057774828616,0.3517241379310346,0,0,0,0,0
ESR1,0.0,0.3481148469213714,0.1219574772553541,0.0,0,0,0,0,0
ATAD2,0.0268863686912509,0.0009229236774725,0.1265436941421283,0.0,0,0,0,0,0
VEGFA,0.0263812148163025,0.0523208536290944,0.0137524510101744,0.4758620689655173,1,0,0,0,0
TGFA,0.0,0.0063182154668269,0.0856252476031758,0.0,1,0,0,0,0
CDKN1A,0.0270399053816266,0.2763369425025764,0.0268296891247176,0.0,0,0,0,0,0
RUNX1,0.0,0.5530870295524891,0.0754993623216598,0.0,0,0,0,0,0
TP73,0.0,0.2499138758943491,0.3044934207389148,0.0,0,0,0,0,0
ZFPM1,0.0,0.0448856900152107,0.0185438700082272,0.0,0,0,0,0,0
GATA1,0.0271120502144311,0.0675178023701885,0.1381885678590924,0.0,0,0,0,0,0
CTSK,0.0270961122881904,0.0963996328399214,0.0845064015121195,0.6413793103448276,0,0,0,0,0
SERPINB13,0.0,0.0852309880542044,0.4234165406842745,0.7724137931034484,0,0,0,0,0
CCND1,0.0270965143279451,0.0075626713287858,0.052591048212264,0.0,0,0,1,1,0
CDK4,0.0,0.0049290456374265,0.1070148066121747,0.0,0,0,0,0,0
ESRRA,0.053969709789216,0.0381027459558309,0.0389813690783819,0.0,0,0,0,0,0
PPARGC1A,0.0,0.1950312526015033,0.1732393143259182,0.0,0,0,0,0,0
TWIST1,0.0271224559174839,0.4485716268871745,0.0972097917879522,0.0,0,0,0,0,0
RUNX2,0.0266961543046642,0.438799298856675,0.1128870800584956,0.0,0,0,0,0,0
NKX3-2,0.0,0.3542182629689077,0.0104700500024261,0.0,0,0,0,0,0
MSX2,0.0,0.0719924954317788,0.1328545311367867,0.0,0,0,0,0,0
SMAD4,0.0534705716885251,0.006769318229161,0.0554489402678722,0.8206896551724139,0,0,1,0,1
SMAD1,0.0,0.0167894535504253,0.0350813417696087,0.0,0,0,0,0,1
RUNX3,0.0,0.1349082836527985,0.1814069574560069,0.5172413793103449,0,0,0,0,0
SMAD3,0.0269618275141363,0.0072814461648316,0.079303686020472,0.0,0,0,1,0,1
TFDP1,0.0,0.0148972027253094,0.0905900763619773,0.0,0,0,0,0,1
E2F6,0.0,0.1014416365207999,0.0315914556919387,0.0,0,0,0,0,0
TFDP2,0.0530545578164695,0.0167494808221621,0.0135006399027622,0.0,0,0,0,0,0
MGA,0.0258677097378015,0.217568572973588,0.0095893288777882,0.0,0,0,0,0,0
MAX,0.0538007362415898,0.0109294721926489,0.0171892709521272,0.0,1,0,0,0,0
SUPT4H1,0.0,0.0106742918892447,0.0284326941805626,0.0,0,0,0,0,0
SUPT5H,0.0,0.2943840879271405,0.0103039530569346,0.0,0,0,0,0,0
ELOB,0.0,3.624347573204007e-05,0.0,0.0,0,0,0,0,0
ELOC,0.0,0.0053003538267578,0.0,0.0,0,0,0,0,0
GTF2F1,0.0,0.0353737801143673,0.0085253096626057,0.0,0,0,0,0,0
GTF2F2,0.0,0.0263360349046927,0.0766768517268483,0.0,0,0,0,0,0
NCBP2,0.0,0.0039990034835031,0.0655310372906377,0.0,0,0,0,0,0
NCBP1,0.0,0.000635814952486,0.010921443681453,0.0,0,0,0,0,0
TAP1,0.0,0.0068175358744652,0.1579300635023089,0.0,0,0,0,0,0
TAP2,0.0,0.0826656682156933,0.1492571800518653,0.0,0,0,0,0,0
AMN,0.0,0.1403422644207302,0.0460197412057499,0.0,0,0,0,0,0
CUBN,0.0538649219193386,0.150762171077567,0.0670079793013862,0.0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0
MMAA,0.0,0.0192264311934808,0.0065471965164182,0.0,0,0,0,0,0
FASLG,0.0,0.0411728502483343,0.02664072965186,0.0,1,0,0,0,0
FAS,0.0,0.0104755518342027,0.0514823977959906,0.4482758620689656,1,0,0,0,0
BAG4,0.0,0.0055391302783668,0.0459368352044087,0.5172413793103449,0,0,0,0,0
TNFRSF1A,0.0,0.009052280558569,0.0060048356987128,0.0,1,0,0,0,0
TNF,0.0,0.1475294490946977,0.1612323741341023,0.0,1,0,0,0,1
TAX1BP1,0.0,0.0174085133769841,0.0007883410850863,0.0,0,0,0,0,0
TNFAIP3,0.0,0.0035574662867281,0.087057152300398,0.0,0,0,0,0,0
TNFRSF10A,0.0,0.0018034793429031,0.1452489012354231,0.5172413793103449,0,0,0,0,0
TNFRSF10D,0.0,0.0868657686119138,0.0301566266309633,0.5172413793103449,0,0,0,0,0
TNFRSF10B,0.0,0.015363792366106,0.0723803505845651,0.5172413793103449,0,0,0,0,0
NGF,0.0,0.279755405619538,0.0106738635949854,0.4413793103448275,1,0,0,0,0
NGFR,0.0,0.2129526318450126,0.1251413314470109,0.0,1,0,0,0,0
IRAK1,0.0,0.4089820349490156,0.0784992547131768,0.4758620689655173,1,0,0,0,0
MYD88,0.0,0.0081853719124305,0.0438975083069515,0.0,1,0,0,0,0
NFKB1,0.0,0.0165437057562697,0.0110142428642878,0.0,1,0,0,0,0
RELA,0.0,0.0151321700065108,0.018065967123028,0.0,1,0,0,0,0
UBE2B,0.0,0.0074807859626337,0.0009118831232959,0.0,0,0,0,0,0
RAD18,0.0,0.0244917610189542,0.0664326220406733,0.0,0,0,0,0,0
WDR48,0.0,0.0980983396817093,0.0556272241828664,0.0,0,0,0,0,0
USP1,0.0,0.0014940810653084,0.0411885762607708,0.0,0,0,0,0,0
REV3L,0.0511603827505794,0.0046436582582342,0.0558009214864981,0.3793103448275863,0,0,0,0,0
MAD2L2,0.0,0.1115227669212846,0.0637488439429664,0.0,0,0,0,0,0
RCHY1,0.0270543333240787,0.0032206128010793,0.0331948585161659,0.2482758620689655,0,0,0,0,0
POLH,0.0,0.0016837088945829,0.0207289035740032,0.0,0,0,0,0,0
TRIM25,0.0,0.0024752178526935,0.0256996091740692,0.0,0,0,0,0,0
UBE2L6,0.0,0.0028543520659044,0.1182123004877317,0.0,0,0,0,0,0
UBA7,0.0,0.1554840907486248,0.0433036273095678,0.0,0,0,0,0,0
ISG15,0.0,0.0428764621667688,0.2200921124433095,0.0,0,0,0,0,0
SUMO3,0.0,0.0627759856110848,0.0344560949772675,0.0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0
FANCM,0.0804791942032916,0.0122044581695686,0.0303998615616496,0.0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0
CENPS,0.0,0.0013373738874905,0.0,0.0,0,0,0,0,0
FANCI,0.054013442614908,0.0116892725137106,0.2406483417561113,0.4,0,0,0,0,0
FANCD2,0.0,0.0129641112496481,0.1463742867634067,0.0,0,0,0,0,0
PCCA,0.0268883942913187,0.0196584185763039,0.1257486869144608,0.0,0,0,0,0,0
PCCB,0.0,0.0364762096591089,0.0184383463338214,0.0,0,0,0,0,0
MCCC2,0.0,0.0050064634308423,0.0192247908217271,0.0,0,0,0,0,0
MCCC1,0.0,0.2966659494951241,0.0304820028991446,0.0,0,0,0,0,0
CLCF1,0.0,0.0228262396240054,0.0078173778789465,0.0,0,0,0,0,0
CRLF1,0.0,0.0989532788936487,0.0704937931526723,0.0,0,0,0,0,0
PRKCSH,0.0,0.0237613188567828,0.0267325403293235,0.0,0,0,0,0,0
GANAB,0.0,0.0277810330703018,0.0353586653001887,0.0,0,0,0,0,0
CALR,0.0,0.0007805051607878,0.0371078061523094,0.0,0,0,0,0,0
CANX,0.0,0.02612790531065,0.0008291255393136,0.0,0,0,0,0,0
RAD51B,0.0,0.0108504324171416,0.0717215429461068,0.0,0,0,0,0,0
NME2,0.0,0.0288743922087485,0.0634445529868951,0.0,0,0,0,0,0
NME1,0.0,0.0029092648760563,0.1579414837224471,0.0,0,0,0,0,0
APPL1,0.0,0.018885082696492,0.0531503760743781,0.0,0,0,0,0,0
DCC,0.0265662265242629,0.3446535595758642,0.22744852946779,0.0,0,0,0,0,0
MAGED1,0.0,0.0043193385594702,0.0027336904039402,0.0,0,0,0,0,0
UNC5A,0.0,0.1760416060654226,0.4378994694694306,0.0,0,0,0,0,0
PPP3R1,0.0,0.0689775982548705,0.0352372475891634,0.0,1,0,1,0,0
PPP3CC,0.0,0.0354995285584858,0.0548947335946641,0.5172413793103449,1,0,1,0,0
BCL2,0.0,0.0224736384245697,0.0634588647652057,0.7724137931034484,0,0,0,1,0
BAD,0.0,0.006343405010462,0.0354809571539343,0.0,0,0,0,0,0
BAK1,0.0,0.001830383686219,0.1008592663235731,0.0,0,0,0,0,0
CYCS,0.0539943647093428,0.0025234723164667,0.0111757337307354,0.0,0,0,0,0,0
XIAP,0.0,0.2645695100334324,0.0030734368081572,0.0,0,0,0,0,0
CASP3,0.0,0.0129726191646769,0.0576055828562159,0.6827586206896552,1,0,0,0,0
CASP7,0.0,0.0367912485900125,0.0022984202765082,0.0,0,0,0,0,0
CASP9,0.0,0.0242757315157299,0.023805252870744,0.0,0,0,0,0,0
DIABLO,0.0,0.0339256220309375,0.0413422060562534,0.0,0,0,0,0,0
DFFB,0.0270305935678372,0.0320877538663764,0.01016847929195,0.0,0,0,0,0,0
DFFA,0.0,0.0326186553064291,0.002894410865826,0.0,0,0,0,0,0
KPNA1,0.0270540135561307,0.0748064238367903,0.0335140728621675,0.0,0,0,0,0,0
KPNB1,0.0539289205245006,0.004385701369279,0.0284450968480391,0.0,0,0,0,0,0
PAK2,0.0,0.0527090252247151,0.0611358227496881,0.0,1,0,0,0,0
ARHGAP10,0.0,0.0055933285922351,0.0702082735197084,0.0,0,0,0,0,0
RIPK1,0.0,0.0097540431810799,0.0279923455290711,0.0,0,0,0,0,0
RIPK3,0.0,0.0932269184716425,0.0167626795207495,0.0,0,0,0,0,0
GCH1,0.0,0.0003247795681529,0.0452458880164796,0.0,0,0,0,0,0
GCHFR,0.0,0.009380426470506,0.0419452584105931,0.0,0,0,0,0,0
UBE2V1,0.0,0.0292833405977324,0.0318984053184066,0.0,0,0,0,0,0
TRAF6,0.0,0.0156840255241282,0.0270302739148504,0.0,1,0,0,0,0
IRAK2,0.0,0.0140181205289006,0.1173622159560155,0.0,0,0,0,0,0
HBEGF,0.0,0.0487018800366801,0.0678460621750786,0.0,0,0,0,0,0
CAPZA2,0.0542472156508862,0.0066514710571659,0.0043886364022242,0.0,0,0,0,0,0
CAPZB,0.0,0.0315434939303751,0.0112043246030605,0.0,0,0,0,0,0
CAPZA3,0.0,0.2126260833960093,0.0,0.0,0,0,0,0,0
CAPZA1,0.0,0.0112730974636842,0.0819487835611685,0.0,0,0,0,0,0
GORASP1,0.0,0.0,0.0519380333162265,0.0,0,0,0,0,0
GOLGA2,0.0,0.0493268241183147,0.0346467402183069,0.0,0,0,0,0,0
TGFBR1,0.0532357044963707,0.0355002558243782,0.0160284852444694,0.0,1,0,0,0,1
FKBP1A,0.0,0.005939158561855,0.0517773458921443,0.0,0,0,0,0,0
RASGRF2,0.0,0.3216989829052778,0.049571504248356,0.0,1,0,0,0,0
RASGRF1,0.026958725748276,0.3832101647687561,0.0526541949272777,0.0,1,0,0,0,0
GRIA2,0.0,0.6742493322664382,0.4719044149139477,0.0,0,0,0,0,0
GRIA1,0.0268142456590136,0.0553844060343108,0.2251304075207645,0.0,0,0,0,0,0
TYK2,0.0268753640027849,0.0457967271799037,0.0189412773310606,0.0,0,0,0,0,0
IFNAR1,0.0,0.0057491560277065,0.0374737583671664,0.0,0,0,0,0,0
TFB2M,0.0,0.0703793757714232,0.0470687823441384,0.1172413793103448,0,0,0,0,0
POLRMT,0.0,0.0017504142798297,0.0085164003838123,0.6482758620689656,0,0,0,0,0
DGCR8,0.0,0.0121947865384853,0.016660733949427,0.0,0,0,0,0,0
DROSHA,0.0,0.004381903051458,0.0585938598480037,0.0,0,0,0,0,0
TSNAX,0.0,0.017228242612954,0.0152813809713038,0.0,0,0,0,0,0
TSN,0.0,0.0086363134449025,0.0749829200058094,0.4137931034482759,0,0,0,0,0
BAZ2A,0.0537430539716165,0.0062304900754872,0.0128446709835424,0.0,0,0,0,0,0
DNMT3A,0.0,0.0069711067262633,0.0074351523801206,0.0,0,0,0,0,0
DNMT3L,0.0,0.111245296127194,0.0,0.0,0,0,0,0,0
DNMT3B,0.0,0.0382470021995967,0.221341836700843,0.0,0,0,0,0,0
CUL1,0.0,0.0851337036495121,0.001578669228307,0.0,0,0,1,1,1
CAND1,0.0,0.016559079840426,0.03270735773424,0.0,0,0,0,0,0
TFRC,0.0268885503553463,0.008138685609245,0.1553447555678304,0.0,0,0,0,0,1
HFE,0.0,0.0840690227088505,0.0059682532095234,0.0,0,0,0,0,1
TF,0.0268628161576182,0.2990985302693966,0.2151410209176619,0.0,0,0,0,0,1
HSD17B8,0.0,0.0210137737725053,0.0297749439086251,0.0,0,0,0,0,0
CBR4,0.0,0.0094559773042808,0.0456563489023586,0.0,0,0,0,0,0
CCNB2,0.0271108704106979,0.0148514208546201,0.2208354999783198,0.0,0,0,0,0,0
SBF1,0.0266965566602843,0.0038088832669452,0.0113253131398245,0.0,0,0,0,0,0
MTMR2,0.0,0.0063278509391168,0.0184890857678998,0.0,0,0,0,0,0
MTMR7,0.0269399493646489,0.3309726890725349,0.0639102948197948,0.0,0,0,0,0,0
MTMR9,0.0270146200964667,0.1229777902654978,0.0169954033673989,0.0,0,0,0,0,0
PIK3CB,0.0,0.0589148175285796,0.0135331021671638,0.0,0,0,0,0,0
PIK3R2,0.0,0.0003421969758958,0.4591907877175463,0.0,0,0,0,0,0
PIK3CD,0.0,0.194808405563772,0.030485093621614,0.0,0,0,0,0,0
PIK3R3,0.026826051101499,0.0074998231435131,0.0251347325115464,0.0,0,0,0,0,0
