Gene,MF: LIHC,METH: LIHC,GE: LIHC,CNA: LIHC,hsa04010,hsa04020,hsa04110,hsa04115,hsa04151,hsa04310,hsa04350,hsa04932,hsa04936,hsa05160,hsa05161
TPX2,0.0250526242058539,0.0044699596893153,0.2008276172217043,0.0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0.0,0.0194836333454065,0.029014055875599,0.5977859778597787,0,0,0,0,0,0,0,0,0,0,0
CDK5R1,0.0249989209173517,0.039091840030768,0.1277555459336204,0.0,0,0,0,0,0,0,0,0,0,0,0
CDK5,0.0,0.0052786253154877,0.0886099176017511,0.1254612546125461,0,0,0,0,0,0,0,0,0,0,0
POU4F1,0.0,0.4915975547626412,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
POU4F2,0.0,0.2736580575629439,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
BANP,0.0,0.005246844834531,0.0317164021006918,0.0,0,0,0,0,0,0,0,0,0,0,0
PHF20,0.0250278418469397,0.0157654876547459,0.031539820788092,0.0,0,0,0,0,0,0,0,0,0,0,0
L3MBTL1,0.0498760802557696,0.2226755178131414,0.1549836551130486,0.0,0,0,0,0,0,0,0,0,0,0,0
EHMT2,0.0498868267161453,0.0173491346435953,0.133531412068458,0.0,0,0,0,0,0,0,0,0,0,0,0
EHMT1,0.0495983614296466,0.0153895532142394,0.0258162910488937,0.4391143911439115,0,0,0,0,0,0,0,0,0,0,0
TFAP2A,0.0,0.2128474074379076,0.1104366383592453,0.5867158671586716,0,0,0,0,0,0,0,0,0,0,0
DEK,0.0249936694396097,0.0054496729347494,0.0551229569053411,0.0,0,0,0,0,0,0,0,0,0,0,0
TFAP2C,0.0,0.1193616471504303,0.2559398766880179,0.0,0,0,0,0,0,0,0,0,0,0,0
WWOX,0.0,0.0014835530534795,0.0233651850647096,0.5977859778597787,0,0,0,0,0,0,0,0,0,0,0
TFAP2B,0.0499700860558701,0.0241181267939807,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
YEATS4,0.0250685917397373,0.0174372925483818,0.0366375837088141,0.0,0,0,0,0,0,0,0,0,0,0,0
ESR1,0.0248098008066198,0.174321485651731,0.3779348417392201,0.0,0,0,0,0,0,0,0,0,0,0,0
ATAD2,0.0992915717182645,0.0055000018678529,0.1677601882569023,0.8523985239852399,0,0,0,0,0,0,0,0,0,0,0
VEGFA,0.0,0.0014484161728664,0.0376320220526598,0.5830258302583028,1,1,0,0,1,0,0,0,0,0,0
TGFA,0.0,0.0140795615149691,0.2080252435624532,0.0,1,1,0,0,1,0,0,0,0,0,0
CDKN1A,0.1238568078326341,0.0951268838528317,0.0378328881220332,0.0,0,0,1,1,1,0,0,0,0,1,1
RUNX1,0.0248761799964646,0.1601370761077857,0.0480807852005602,0.0,0,0,0,0,0,0,0,0,0,0,0
TP73,0.0,0.0578676167868889,0.2421098274340394,0.5977859778597787,0,0,0,1,0,0,0,0,0,0,0
ZFPM1,0.0247971716264946,0.006164052663558,0.0159856204333471,0.0,0,0,0,0,0,0,0,0,0,0,0
GATA1,0.0,0.2511189753100037,0.2235911061176314,0.0,0,0,0,0,0,0,0,0,0,0,0
CTSK,0.02505124486632,0.0286044172860451,0.0472216978721481,0.0,0,0,0,0,0,0,0,0,0,0,0
SERPINB13,0.0250024132580512,0.6579987785028376,0.0,0.3468634686346865,0,0,0,0,0,0,0,0,0,0,0
CCND1,0.0,0.0006118825839718,0.0389662399879395,0.2103321033210332,0,0,1,1,1,1,0,0,1,1,0
CDK4,0.0,0.0006435183445737,0.0773318626136355,0.0,0,0,1,1,1,0,0,0,0,1,0
ESRRA,0.0246140874711837,0.0343700857404563,0.0375875487291952,0.0,0,0,0,0,0,0,0,0,0,0,0
PPARGC1A,0.0,0.0232191425322771,0.1147850598437395,0.3136531365313653,0,0,0,0,0,0,0,0,1,0,0
TWIST1,0.0500799560913529,0.2521857554030858,0.0255254694939381,0.0,0,0,0,0,0,0,0,0,0,0,0
RUNX2,0.0496300708842144,0.1058480866371507,0.0486474495768034,0.0,0,0,0,0,0,0,0,0,0,0,0
NKX3-2,0.0,0.257013250203587,0.0948258515123603,0.0,0,0,0,0,0,0,0,0,0,0,0
MSX2,0.0,0.1738652689834176,0.272307924706468,0.0,0,0,0,0,0,0,0,0,0,0,0
SMAD4,0.0247931124761934,0.0068365502830484,0.0046823544462992,0.3468634686346865,0,0,1,0,0,1,1,0,0,0,1
SMAD1,0.0250417677091512,0.00609101774335,0.0379921336170929,0.0,0,0,0,0,0,0,1,0,0,0,0
RUNX3,0.0,0.2774527774516744,0.0826861974485172,0.5239852398523986,0,0,0,0,0,0,0,0,0,0,0
SMAD3,0.0248778702834296,0.0111464007802188,0.0498949965231039,0.0,0,0,1,0,0,1,1,0,0,0,1
TFDP1,0.0,0.0693629159212431,0.0017540832120993,0.2472324723247232,0,0,1,0,0,0,1,0,0,0,0
E2F6,0.0,0.1410438894716316,0.049563706451895,0.0,0,0,0,0,0,0,0,0,0,0,0
TFDP2,0.0232850760513728,0.0213450172812525,0.0055188389152152,0.0,0,0,1,0,0,0,0,0,0,0,0
MGA,0.0950972228834748,0.278660706742424,0.0196320152509028,0.0,0,0,0,0,0,0,0,0,0,0,0
MAX,0.0248210418313438,0.0034604323824923,0.0128419186998112,0.0,1,0,0,0,0,0,0,0,0,0,0
SUPT4H1,0.0249983594605025,0.005512665620823,0.0471695307524943,0.0,0,0,0,0,0,0,0,0,0,0,0
SUPT5H,0.0,0.2749950721909047,0.04415563531907,0.0,0,0,0,0,0,0,0,0,0,0,0
ELOB,0.0,0.0022491485822874,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0066582251029192,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2F1,0.0,0.041385605207882,0.0546071392638935,0.0,0,0,0,0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0167423516575765,0.0332590603719519,0.0,0,0,0,0,0,0,0,0,0,0,0
NCBP2,0.0,0.0032451342747992,0.0581003287050567,0.0,0,0,0,0,0,0,0,0,0,0,0
NCBP1,0.0499905320160602,0.0088035863303519,0.0046157353789014,0.4391143911439115,0,0,0,0,0,0,0,0,0,0,0
TAP1,0.0249442472047229,0.0004497685421945,0.1038899123075944,0.0,0,0,0,0,0,0,0,0,0,0,0
TAP2,0.0,0.0058232479109949,0.1048063958702696,0.0,0,0,0,0,0,0,0,0,0,0,0
AMN,0.0,0.0855653623673827,0.1493131647733298,0.4907749077490775,0,0,0,0,0,0,0,0,0,0,0
CUBN,0.0748866511254393,0.7214654984667552,0.0083318453062853,0.0,0,0,0,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
MMAA,0.024830182936753,0.0212858915734303,0.0975760081214739,0.0,0,0,0,0,0,0,0,0,0,0,0
FASLG,0.0,0.0221406064285038,0.0977804903240127,0.0,1,0,0,0,1,0,0,1,1,1,1
FAS,0.0249721668003608,0.0307947918163866,0.0696784931520858,0.0,1,0,0,1,0,0,0,1,1,1,1
BAG4,0.0,0.0058061809831858,0.031221306691871,0.0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1A,0.0,0.0062098203165113,0.0608934151328257,0.0,1,0,0,0,0,0,0,1,1,1,0
TNF,0.0,0.4138441623480652,0.094022096259644,0.0,1,0,0,0,0,0,1,1,1,1,1
TAX1BP1,0.0,0.0214917581641977,0.053677741207903,0.0,0,0,0,0,0,0,0,0,0,0,0
TNFAIP3,0.0,0.0035414134680995,0.0453092597916807,0.0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0500871541776218,0.0098877022032822,0.0190627453059692,0.0,0,0,0,1,0,0,0,0,0,0,0
TNFRSF10D,0.0250119861852177,0.0105901236393732,0.0660321889705896,0.0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10B,0.0250136545852191,0.0346395134778854,0.0424710201200647,0.0,0,0,0,1,0,0,0,0,0,0,0
NGF,0.0,0.164076906900433,0.1123695530843249,0.0,1,1,0,0,1,0,0,0,0,0,0
NGFR,0.0,0.0944334587056163,0.3088512145376483,0.0,1,0,0,0,1,0,0,0,0,0,0
IRAK1,0.0,0.1193695128080529,0.1315836964373869,0.3210332103321033,1,0,0,0,0,0,0,0,1,0,1
MYD88,0.0,0.0037015295866415,0.0776243892127741,0.0,1,0,0,0,0,0,0,0,1,0,1
NFKB1,0.0249101160041927,0.0083232061252075,0.0135743098136417,0.6383763837638378,1,0,0,0,1,0,0,1,1,1,1
RELA,0.0249424445543017,0.0045438854997988,0.0179656544192319,0.0,1,0,0,0,1,0,0,1,1,1,1
UBE2B,0.0,0.0065628840312605,0.0099902192001276,0.0,0,0,0,0,0,0,0,0,0,0,0
RAD18,0.0,0.0032083672725394,0.0760276172834635,0.0,0,0,0,0,0,0,0,0,0,0,0
WDR48,0.0,0.0167587864330773,0.0083759332332882,0.0,0,0,0,0,0,0,0,0,0,0,0
USP1,0.0249417819318756,0.0013272215452821,0.0621400152781391,0.0,0,0,0,0,0,0,0,0,0,0,0
REV3L,0.0959881460419145,0.0070236515944404,0.0032538209197453,0.0,0,0,0,0,0,0,0,0,0,0,0
MAD2L2,0.0250276838468499,0.0681336385231109,0.041075892132655,0.0,0,0,1,0,0,0,0,0,0,0,0
RCHY1,0.024941051459118,0.001383637884107,0.0321863514126977,0.6309963099630997,0,0,0,1,0,0,0,0,0,0,0
POLH,0.0,0.011888373503547,0.0678695208353475,0.0,0,0,0,0,0,0,0,0,0,0,0
TRIM25,0.0,0.0015137860501221,0.1161814664889179,0.0,0,0,0,0,0,0,0,0,0,0,0
UBE2L6,0.0,0.0015890009001914,0.0483243676042696,0.0,0,0,0,0,0,0,0,0,0,0,0
UBA7,0.0250560769837674,0.0191050466983726,0.0410340459401065,0.0,0,0,0,0,0,0,0,0,0,0,0
ISG15,0.0,0.0239890549385755,0.0099708517743417,0.5977859778597787,0,0,0,0,0,0,0,0,0,0,0
SUMO3,0.0,0.0311388994643684,0.037071001031579,0.0,0,0,0,0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
FANCM,0.0494944895764076,0.0027323473092857,0.0979027950053562,0.0,0,0,0,0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
CENPS,0.0,0.0056026789784985,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
FANCI,0.0,0.0173879640901616,0.2128222012457885,0.4870848708487085,0,0,0,0,0,0,0,0,0,0,0
FANCD2,0.0494811650456396,0.0012285244558256,0.2146448702839423,0.0,0,0,0,0,0,0,0,0,0,0,0
PCCA,0.0,0.0006068850012763,0.0790208467650345,0.2767527675276753,0,0,0,0,0,0,0,0,0,0,0
PCCB,0.0,0.0171571400712277,0.0714419946962503,0.0,0,0,0,0,0,0,0,0,0,0,0
MCCC2,0.0,0.0156160803779613,0.0513729730348467,0.0,0,0,0,0,0,0,0,0,0,0,0
MCCC1,0.0,0.0371912215090487,0.0474206376482627,0.0,0,0,0,0,0,0,0,0,0,0,0
CLCF1,0.0,0.2093932811957075,0.0444123238856862,0.0,0,0,0,0,0,0,0,0,0,0,0
CRLF1,0.0,0.0726942839138591,0.1127497693040268,0.0,0,0,0,0,0,0,0,0,0,0,0
