gene,MF: PRAD,METH: PRAD,GE: PRAD,CNA: PRAD,hsa00140,hsa04010,hsa04060,hsa04110,hsa04115,hsa04151,hsa04210,hsa05202
SRC,0.0,0.0019957093662741,0.0001998690308055,0.0,0,0,0,0,0,0,0,0
PXN,0.0,0.0267770998311565,0.0357802049544687,0.1224489795918367,0,0,0,0,0,0,0,0
CLPS,0.0,0.0793852987458199,0.0,0.0,0,0,0,0,0,0,0,0
PNLIP,0.0455495664666753,0.2158105704478555,0.1901124051533069,0.0,0,0,0,0,0,0,0,0
GNB1,0.0,0.0043786847218224,0.0021142056266176,0.0,0,0,0,0,0,1,0,0
GNGT1,0.0227668329943022,0.0,0.0,0.3435374149659864,0,0,0,0,0,1,0,0
CNGA1,0.0,0.05165320502293,0.0349190113600071,0.0,0,0,0,0,0,0,0,0
CNGB1,0.0227500051829183,0.023416785225321,0.0,0.0,0,0,0,0,0,0,0,0
FNTB,0.0227680830154221,0.003020121828978,0.0121991423994263,0.0,0,0,0,0,0,0,0,0
FNTA,0.0,0.0039138844694189,0.0023300531266293,0.0,0,0,0,0,0,0,0,0
RAD50,0.0,0.0418679704740595,0.0246015628327615,0.0952380952380952,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
KPNA2,0.0,0.0104362158865028,0.0879809033996306,0.0,0,0,0,0,0,0,0,0
NBN,0.0455063375636819,0.0192526197661589,0.0244369613234056,0.5340136054421769,0,0,0,0,0,0,0,0
KAT5,0.0227572771512077,0.0017961674204845,0.0248526775790254,0.0,0,0,0,0,0,0,0,0
ATM,0.2039917599076771,0.0101074557613454,0.0314174736863636,0.1462585034013605,0,0,0,1,1,0,1,1
BAZ1B,0.0455213211292193,0.0063807879966465,0.0134798196361378,0.0,0,0,0,0,0,0,0,0
SMARCA5,0.0455047921591623,0.0030128701401422,0.009154244502761,0.0,0,0,0,0,0,0,0,0
UBE2I,0.0227066562631433,0.001571413287817,0.0231159279083981,0.0,0,0,0,0,0,0,0,0
SUMO1,0.0,0.002169339875451,0.0020683301542748,0.0,0,0,0,0,0,0,0,0
UBE2V2,0.0,0.0648054904966809,0.0161766193434045,0.0,0,0,0,0,0,0,0,0
UBE2N,0.0,0.0034682457354389,0.0390839374041907,0.1224489795918367,0,0,0,0,0,0,0,0
BARD1,0.0,0.0042050379480958,0.0542342693883877,0.0,0,0,0,0,0,0,0,0
BRCA1,0.0,0.000800076101777,0.0020175124034849,0.0,0,0,0,0,0,1,0,0
SUMO2,0.022759376550983,0.0269747129733583,0.0188266195903812,0.0,0,0,0,0,0,0,0,0
MDC1,0.0,0.0107073268819682,0.0202625730797429,0.0,0,0,0,0,0,0,0,0
HERC2,0.0681864121717548,0.1000621256954416,0.0135163454460003,0.0,0,0,0,0,0,0,0,0
ATRIP,0.0,0.0033623009891329,0.0366682152915415,0.0,0,0,0,0,0,0,0,0
ATR,0.0455147985595922,0.0044445396540495,0.0750796740401238,0.0,0,0,0,1,1,0,0,0
TIMELESS,0.0678795907221642,0.0016977531763055,0.0612931129381712,0.0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.0047231014141452,0.0019885463204571,0.0,0,0,0,0,0,0,0,0
PPP4R2,0.0,0.072879296446592,0.0026296429923125,0.0,0,0,0,0,0,0,0,0
PPP4C,0.0,0.0084094320532797,0.0245531448624497,0.0,0,0,0,0,0,0,0,0
RAD51C,0.0,0.0439710425382575,0.0200456504336152,0.0,0,0,0,0,0,0,0,0
XRCC3,0.0,0.0570096389103715,0.0559185183158797,0.0,0,0,0,0,0,0,0,0
EME2,0.022704699738148,0.003671583482383,0.1841585539193747,0.0,0,0,0,0,0,0,0,0
MUS81,0.0,0.0029844231499418,0.0135010977545202,0.0,0,0,0,0,0,0,0,0
EME1,0.0,0.0062372309286301,0.1086614258857326,0.0,0,0,0,0,0,0,0,0
BRCA2,0.0679616088836532,0.0063337150603589,0.0214711096832829,0.0,0,0,0,0,0,0,0,0
RAD51,0.0,0.0127675785487554,0.0711121157274504,0.0,0,0,0,0,0,0,0,0
ERCC4,0.0227311137945323,0.0021787174829047,0.0589616782241305,0.0,0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0427041998408689,0.0,0,0,0,0,0,0,0,0
XRCC1,0.0227623879774715,0.0013670627009969,0.0083588552770846,0.0,0,0,0,0,0,0,0,0
LIG3,0.0227503823538691,0.0191596182173258,0.0830711615575391,0.0,0,0,0,0,0,0,0,0
XRCC6,0.045483654786674,0.0090518967341446,0.0145537569496073,0.0,0,0,0,0,0,0,0,0
XRCC5,0.0,0.2015517398027042,0.0153308467089734,0.0,0,0,0,0,0,0,0,0
XRCC4,0.0,0.0131358185534022,0.0326400015422874,0.0,0,0,0,0,0,0,0,0
LIG4,0.0227044830982425,0.0065551636079718,0.0310921648628319,0.0,0,0,0,0,0,0,0,0
HEXB,0.0455274148022859,0.0042651416335002,0.010099464235044,0.0,0,0,0,0,0,0,0,0
HEXA,0.0227551740372277,0.2567248912471247,0.0247864950819357,0.0,0,0,0,0,0,0,0,0
EXT2,0.0227375071980474,0.0042076653911429,0.0045831191828173,0.1156462585034013,0,0,0,0,0,0,0,0
EXT1,0.0227530058144853,0.0015009708421295,0.0730974839971927,0.0,0,0,0,0,0,0,0,0
SOS1,0.0454227488126697,0.0009216420636387,0.0589637701603162,0.1564625850340136,0,1,0,0,0,1,0,0
CDK1,0.0227452295632555,0.0037341335756131,0.1015975241327464,0.0,0,0,0,1,1,0,0,0
CCNB1,0.0,0.0193977167799411,0.1144092594883893,0.3367346938775511,0,0,0,1,1,0,0,0
PCF11,0.0910068677722284,0.0013448882987299,0.0391299791092855,0.0,0,0,0,0,0,0,0,0
CLP1,0.0227572388637216,0.0346020335320604,0.0061907487507869,0.0,0,0,0,0,0,0,0,0
TEAD1,0.0,0.0011397299745663,0.1196002299279276,0.0,0,0,0,0,0,0,0,0
YAP1,0.0,0.0657915423757191,0.1199813510418401,0.0,0,0,0,0,0,0,0,0
TEAD2,0.0,0.0008284119446038,0.0607188147779607,0.0,0,0,0,0,0,0,0,0
TEAD3,0.0227500581364185,0.1093867882110691,0.0634486203431513,0.0,0,0,0,0,0,0,0,0
TEAD4,0.0,0.0011233368404418,0.0464156580111379,0.0,0,0,0,0,0,0,0,0
CDK8,0.0,0.0114272649917046,0.0306536268646982,0.0,0,0,0,0,0,0,0,0
CCNC,0.0,0.0155739706763304,0.0001975399504489,0.0,0,0,0,0,0,0,0,0
SMAD7,0.0,0.0063620148416879,0.0905927936695095,0.0,0,0,0,0,0,0,0,0
RNF111,0.0,0.0236060380812863,0.0204029095880031,0.0,0,0,0,0,0,0,0,0
PTEN,0.3185224365680863,0.0019999758820336,0.025758021427547,0.5340136054421769,0,0,0,0,1,1,0,0
TP53,0.654950430192357,0.0103365171282786,0.0228271352192213,0.554421768707483,0,1,0,1,1,1,1,1
TSC1,0.0,0.0,0.0084421207859538,0.0,0,0,0,0,0,1,0,0
TSC2,0.0449338626452599,0.0067300358401428,0.0158053227328352,0.0,0,0,0,0,1,1,0,0
SCO2,0.0,0.0044029927668356,0.0634965310250593,0.0,0,0,0,0,0,0,0,0
RRM2B,0.0,0.0052857580414574,0.0282852199570767,0.5340136054421769,0,0,0,0,1,0,0,0
GLS2,0.0,0.0182147178035786,0.0677144192073819,0.0,0,0,0,0,0,0,0,0
IGFBP3,0.0,0.2610927310846535,0.0799523054056756,0.0,0,0,0,0,1,0,0,1
PMAIP1,0.0,0.0136687325962165,0.0337182338767658,0.4897959183673469,0,0,0,0,1,0,1,0
BID,0.0,0.0016924296857631,0.0226993768824945,0.0,0,0,0,0,1,0,1,0
TP53AIP1,0.0227676247344435,0.3705051380206353,0.2770026623508152,0.0,0,0,0,0,1,0,1,0
ZNF420,0.0682841885069132,0.0076415334749617,0.0020170480310056,0.0,0,0,0,0,0,0,0,0
STEAP3,0.0227485149561449,0.0309305886604376,0.1398980712751864,0.0,0,0,0,0,1,0,0,0
BNIP3L,0.0227480012164859,0.167887398795216,0.1091258137246138,0.0,0,0,0,0,0,0,0,0
TRIAP1,0.0,0.0030875392417853,0.0047739029917076,0.1224489795918367,0,0,0,0,0,0,0,0
AIFM2,0.0,0.3136637983993112,0.1310939474177627,0.0,0,0,0,0,1,0,0,0
TP53INP1,0.0227456600780715,0.0015965874656827,0.1310700267664012,0.5340136054421769,0,0,0,0,0,0,0,0
APAF1,0.0451139769092231,0.002400254853797,0.0129323018300207,0.1224489795918367,0,0,0,0,1,0,1,0
PIDD1,0.0227476208227054,0.0004692672677275,0.0,0.0,0,0,0,0,1,0,1,0
CRADD,0.0,0.0112848735756641,0.0244369613234056,0.1224489795918367,0,0,0,0,0,0,0,0
NLRC4,0.0,0.0633957751025331,0.0131659183578292,0.1564625850340136,0,0,0,0,0,0,0,0
CASP6,0.0,0.0020484632202936,0.0064316722227421,0.0,0,0,0,0,0,0,1,0
CASP10,0.0,0.0757885783594083,0.0730996103976505,0.0,0,0,0,0,0,0,1,0
NDRG1,0.0,0.0307368483231421,0.0029157114788544,0.0,0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.0356800790743207,0.0,0,0,0,0,0,0,0,0
BIRC5,0.0227604157957571,0.0056651954197305,0.260948196467595,0.0,0,0,0,0,0,0,1,0
BCL6,0.0682215179222968,0.0064585832294178,0.0274334092653741,0.0,0,0,0,0,0,0,0,1
ZNF385A,0.0,0.1147093753580263,0.0144247434436837,0.0,0,0,0,0,1,0,0,0
ARID3A,0.0,0.0073516450319423,0.0693899120257817,0.0,0,0,0,0,0,0,0,0
E2F7,0.0227376503004028,0.0120635823238286,0.0552204279895354,0.1224489795918367,0,0,0,0,0,0,0,0
E2F8,0.0227305851521318,0.066201091094887,0.0061490239644406,0.0,0,0,0,0,0,0,0,0
GADD45A,0.0,0.1732276290113042,0.1638464452521752,0.0,0,1,0,1,1,0,1,1
AURKA,0.0,0.0073012040447896,0.0936696657605199,0.1530612244897959,0,0,0,0,0,0,0,0
PCNA,0.0227735655682549,0.0016017116534252,0.0118045961381944,0.0,0,0,0,1,0,0,0,0
BAX,0.0,0.0074099767952236,0.0572000824288007,0.0,0,0,0,0,1,0,1,1
SFN,0.0,0.0208639084660972,0.1176307413815314,0.0,0,0,0,1,1,0,0,0
PLK2,0.0,0.0077974931250794,0.0879180199057271,0.3571428571428571,0,0,0,0,0,0,0,0
PLK3,0.0227724044011443,0.0105617117257848,0.0676867014662312,0.0,0,0,0,0,0,0,0,0
RGCC,0.0,0.1049997058458865,0.099443343342471,0.0,0,0,0,0,0,0,0,0
PLAGL1,0.0,0.0186060905638874,0.0600457351824678,0.0,0,0,0,0,0,0,0,0
ATF2,0.0453605625829567,0.0029093480210419,0.0440352439297736,0.0,0,1,0,0,0,1,0,0
JUN,0.0,0.0050691303299725,0.038524869889165,0.0,0,1,0,0,0,0,1,0
FOS,0.0,0.0056562257394969,0.1073955690918657,0.0,0,1,0,0,0,0,1,0
PMS2,0.0,0.0128692188590833,0.0030592321480414,0.0,0,0,0,0,0,0,0,0
MLH1,0.0227310762771643,0.0048055024084442,0.0250497790113979,0.0,0,0,0,0,0,0,0,0
FANCC,0.0,0.0393207065060573,0.0166736779017637,0.0,0,0,0,0,0,0,0,0
DDB2,0.0,0.0032387909800581,0.118512062292107,0.1156462585034013,0,0,0,0,1,0,0,1
PRDM1,0.0,0.0101366584414802,0.0389754360086893,0.0,0,0,0,0,0,0,0,0
MDM2,0.0,0.0004345059278438,0.0331539615937657,0.0,0,0,0,1,1,1,0,1
MDM4,0.0450065360287949,0.0141930712449747,0.0235174280502637,0.0,0,0,0,0,1,0,0,0
CCNG1,0.0227531797537465,0.0005128908883879,0.039831074868384,0.0952380952380952,0,0,0,0,1,0,0,0
HIPK2,0.0,0.0047796945898772,0.0719983715838632,0.0,0,0,0,0,0,0,0,0
PIN1,0.0227714362818694,0.0207752023842418,0.0042682301256963,0.0,0,0,0,0,0,0,0,0
HIPK1,0.0,0.0087133275796586,0.0426270417430367,0.0,0,0,0,0,0,0,0,0
SSRP1,0.0455417732473482,0.0203324903721802,0.015113478830678,0.0,0,0,0,0,0,0,0,0
SUPT16H,0.0,0.0329413844890615,0.0052695511738909,0.0,0,0,0,0,0,0,0,0
CSNK2A1,0.0,0.0,0.0082297082737472,0.0,0,0,0,0,0,0,0,0
CSNK2A2,0.0,0.0063772715488501,0.0191644494255626,0.0,0,0,0,0,0,0,0,0
TPX2,0.0227561456736069,0.0020206098644191,0.2320580125037277,0.0,0,0,0,0,0,0,0,0
NOC2L,0.0,0.0115396339342097,0.0680594527878957,0.0,0,0,0,0,0,0,0,0
CDK5R1,0.0,0.050995031821735,0.1253821012515358,0.0,0,0,0,0,0,0,0,0
CDK5,0.0,0.039334405376288,0.0357074489255615,0.0,0,0,0,0,0,0,0,0
POU4F1,0.0,0.2957964868393976,0.0,0.598639455782313,0,0,0,0,0,0,0,0
POU4F2,0.0,0.3249003932060819,0.0,0.0,0,0,0,0,0,0,0,0
BANP,0.0,0.0055032542663819,0.0027558388818826,0.0,0,0,0,0,0,0,0,0
PHF20,0.0,0.0004474646483338,0.0072913600191943,0.0,0,0,0,0,0,0,0,0
L3MBTL1,0.0227330912487915,0.3151731263211563,0.0346576150429273,0.1530612244897959,0,0,0,0,0,0,0,0
EHMT2,0.0,0.0664382599109487,0.0215698511640448,0.0,0,0,0,0,0,0,0,0
EHMT1,0.022723103804558,0.023958685000281,0.0243953791873769,0.0,0,0,0,0,0,0,0,0
TFAP2A,0.0,0.2533219225495814,0.026115896966093,0.0,0,0,0,0,0,0,0,0
DEK,0.0,0.0123369180941106,0.0524551147498678,0.0,0,0,0,0,0,0,0,0
TFAP2C,0.0,0.0809580464415505,0.0147844884066625,0.1530612244897959,0,0,0,0,0,0,0,0
WWOX,0.0,0.0070429845691989,0.0537153687962958,0.0,0,0,0,0,0,0,0,0
TFAP2B,0.0227566440568239,0.3186994002844784,0.0,0.0,0,0,0,0,0,0,0,0
YEATS4,0.0,0.001658845385374,0.0357283354885377,0.0,0,0,0,0,0,0,0,0
ESR1,0.0453024555737819,0.3401241270880744,0.0526005386389313,0.0,0,0,0,0,0,0,0,0
ATAD2,0.0681530805591769,0.0083210104479822,0.0187810359511033,0.0,0,0,0,0,0,0,0,0
VEGFA,0.0210453416763864,0.0207733312962537,0.0800691770478811,0.0,0,1,0,0,0,1,0,0
TGFA,0.0,0.0080472502235595,0.1183490063126416,0.0,0,1,0,0,0,1,0,0
CDKN1A,0.0227523630482641,0.1856365023505317,0.0576278904538071,0.0,0,0,0,1,1,1,0,1
RUNX1,0.0,0.1133021064677696,0.0482401545004407,0.0,0,0,0,0,0,0,0,1
TP73,0.0,0.1066947537587101,0.1547350879319714,0.0,0,0,0,0,1,0,0,0
ZFPM1,0.0227621785572994,0.0168743444648276,0.0267858399872746,0.0,0,0,0,0,0,0,0,0
GATA1,0.0,0.0567280141499995,0.1453197846039994,0.0,0,0,0,0,0,0,0,0
CTSK,0.0,0.1666555904971819,0.0512212717339002,0.0,0,0,0,0,0,0,1,0
SERPINB13,0.0,0.167051000445059,0.3693914964198146,0.4897959183673469,0,0,0,0,0,0,0,0
CCND1,0.0,0.0266524409993999,0.0444200658625314,0.163265306122449,0,0,0,1,1,1,0,0
CDK4,0.0,0.0055106551524187,0.0499872154902583,0.0,0,0,0,1,1,1,0,0
ESRRA,0.0,0.0340453091129124,0.0490442075911264,0.0,0,0,0,0,0,0,0,0
PPARGC1A,0.0453643160924904,0.3928298883184737,0.308838915844202,0.0,0,0,0,0,0,0,0,0
TWIST1,0.0,0.1726042289503,0.224474337425126,0.3537414965986395,0,0,0,0,0,0,0,0
RUNX2,0.0,0.0360972375365153,0.1025263093483098,0.0,0,0,0,0,0,0,0,1
NKX3-2,0.0,0.1130210625346831,0.0052462719033698,0.0,0,0,0,0,0,0,0,0
MSX2,0.022765860331042,0.0725280132390997,0.1370580867416067,0.0952380952380952,0,0,0,0,0,0,0,0
SMAD4,0.0680998820241799,0.0194738812988802,0.0858932829595416,0.0,0,0,0,1,0,0,0,0
SMAD1,0.0,0.0011774421735363,0.0669556011495662,0.0,0,0,0,0,0,0,0,1
RUNX3,0.0,0.0527164929415121,0.0071845399169029,0.0,0,0,0,0,0,0,0,0
SMAD3,0.0227325240826346,0.0434865432418048,0.0978289732751245,0.0,0,0,0,1,0,0,0,0
TFDP1,0.0227758069921504,0.0055953177585816,0.0060103840846394,0.0,0,0,0,1,0,0,0,0
E2F6,0.0,0.1502929046638271,0.0423084953601509,0.0,0,0,0,0,0,0,0,0
TFDP2,0.0,0.0027349705576335,0.0359631552026665,0.0,0,0,0,1,0,0,0,0
MGA,0.1131488177586487,0.1167156902380683,0.0132315749396557,0.0,0,0,0,0,0,0,0,0
MAX,0.0,0.0044482086860524,0.0386131328271178,0.0,0,1,0,0,0,0,0,1
SUPT4H1,0.0,0.0029510855718395,0.0146228025661169,0.0,0,0,0,0,0,0,0,0
SUPT5H,0.0454140269222534,0.3252721684762414,0.0311091020738136,0.0,0,0,0,0,0,0,0,0
ELOB,0.0,0.0012339765830629,0.0,0.0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0108578538203743,0.0,0.0,0,0,0,0,0,0,0,0
GTF2F1,0.0,0.0061479829040077,0.0037585019739424,0.0,0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0285733056764646,0.0324037545587607,0.7721088435374149,0,0,0,0,0,0,0,0
NCBP2,0.0,0.0131964166393057,0.0317670928067591,0.108843537414966,0,0,0,0,0,0,0,0
NCBP1,0.0,0.0179717298547371,0.0160605270191707,0.0,0,0,0,0,0,0,0,0
TAP1,0.0225195791187708,0.0053972629329406,0.0172142407021594,0.0,0,0,0,0,0,0,0,0
TAP2,0.0,0.0647989451377865,0.0490500449241604,0.0,0,0,0,0,0,0,0,0
AMN,0.0,0.3020472267528669,0.1493253167166814,0.0,0,0,0,0,0,0,0,0
CUBN,0.1129880829701109,0.0738985309486071,0.0472978976875954,0.0,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
MMAA,0.0,0.006182472846667,0.0200173053691238,0.0,0,0,0,0,0,0,0,0
FASLG,0.0,0.0061517609562174,0.0533294831110088,0.0,0,1,1,0,0,1,1,0
FAS,0.0,0.0335015967838001,0.131915904598667,0.0,0,1,1,0,1,0,1,0
BAG4,0.0,0.0051908452569301,0.0754326077767803,0.227891156462585,0,0,0,0,0,0,0,0
TNFRSF1A,0.0,0.0152338030394616,0.0494704417305869,0.0,0,1,1,0,0,0,1,0
TNF,0.0227707792399113,0.1109282007901025,0.1089127561922695,0.0,0,1,1,0,0,0,1,0
TAX1BP1,0.0,0.0377210832012895,0.0218711855485922,0.3537414965986395,0,0,0,0,0,0,0,0
TNFAIP3,0.0227050289026084,0.0028139612457016,0.1026318139105477,0.0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0,0.0022739846025689,0.0124775679345265,1.0,0,0,1,0,1,0,1,0
TNFRSF10D,0.0,0.2323836275030586,0.1337623942239655,1.0,0,0,1,0,0,0,0,0
TNFRSF10B,0.0,0.0042106948295262,0.0246024104097194,1.0,0,0,1,0,1,0,1,0
NGF,0.0227772219183982,0.3041441117670088,0.1204091720848485,0.0,0,1,1,0,0,1,1,0
NGFR,0.0,0.0885609324732683,0.1347961538346685,0.0,0,1,1,0,0,1,0,1
IRAK1,0.0227461303390806,0.0025746780493323,0.0760579266492014,0.0,0,1,0,0,0,0,0,0
MYD88,0.0,0.0002711740448474,0.0047405078363224,0.0,0,1,0,0,0,0,0,0
NFKB1,0.0,0.005773618023411,0.0199834959045672,0.0,0,1,0,0,0,1,1,1
RELA,0.045504256725912,0.001926648834104,0.0045885090252169,0.0,0,1,0,0,0,1,1,1
UBE2B,0.0,0.006550175936112,0.0109726741193434,0.0952380952380952,0,0,0,0,0,0,0,0
RAD18,0.0227571357388417,0.0038065312191578,0.0143791108108726,0.0,0,0,0,0,0,0,0,0
WDR48,0.0683098160747016,0.0245197850646535,0.0476392694288058,0.0,0,0,0,0,0,0,0,0
USP1,0.0,0.012262549899152,0.0332863318264663,0.0,0,0,0,0,0,0,0,0
REV3L,0.0452136236347936,0.012404301510542,0.0635789420282758,0.0,0,0,0,0,0,0,0,0
MAD2L2,0.0,0.0158439153150975,0.0723196932607466,0.0,0,0,0,1,0,0,0,0
RCHY1,0.0455144677881583,0.0008824335889192,0.0090548236716122,0.0,0,0,0,0,1,0,0,0
POLH,0.0,0.0052747237878415,0.0888402313185054,0.0,0,0,0,0,0,0,0,0
TRIM25,0.0,0.0029420397282144,0.0275197685891366,0.0,0,0,0,0,0,0,0,0
UBE2L6,0.0,0.0078142746170557,0.0081180464825081,0.0,0,0,0,0,0,0,0,0
UBA7,0.0,0.2238408949490126,0.0591510248330834,0.0,0,0,0,0,0,0,0,0
ISG15,0.0,0.0063770737964654,0.0854086046397128,0.0,0,0,0,0,0,0,0,0
SUMO3,0.0227652312062134,0.0469737576483085,0.0095492370176871,0.0,0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
FANCM,0.0227147059728536,0.0093729314535578,0.0171747599780427,0.0,0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CENPS,0.0,0.0086577851674943,0.0,0.0,0,0,0,0,0,0,0,0
FANCI,0.0,0.0449484361676668,0.003159388892206,0.0,0,0,0,0,0,0,0,0
FANCD2,0.0227333252642463,0.0021348740213644,0.0816116405130635,0.0,0,0,0,0,0,0,0,0
PCCA,0.0,0.00146373868892,0.0263344447043883,0.0,0,0,0,0,0,0,0,0
PCCB,0.0,0.0074171291985952,0.0600029728626036,0.0,0,0,0,0,0,0,0,0
MCCC2,0.0,0.159265915922994,0.1440791032806416,0.3367346938775511,0,0,0,0,0,0,0,0
MCCC1,0.0227382738063285,0.0520742392459174,0.0693931727716023,0.0,0,0,0,0,0,0,0,0
CLCF1,0.0,0.0131150293568936,0.1120183103651791,0.163265306122449,0,0,1,0,0,0,0,0
CRLF1,0.022775842831126,0.0381260868422789,0.1158842476619974,0.0,0,0,0,0,0,0,0,0
PRKCSH,0.0679408656358109,0.0400141919638387,0.0564734930876177,0.0,0,0,0,0,0,0,0,0
GANAB,0.0226683338707128,0.045948776549702,0.0159077902532235,0.0,0,0,0,0,0,0,0,0
CALR,0.0227785908978715,0.0146913887231022,0.0732569369188523,0.0,0,0,0,0,0,0,0,0
CANX,0.0,0.0223286512757086,0.0144777027322704,0.0952380952380952,0,0,0,0,0,0,0,0
RAD51B,0.0227540550719644,0.0059969522137715,0.1119389872673173,0.0,0,0,0,0,0,0,0,0
NME2,0.0,0.072121348617526,0.1151751640522839,0.0,0,0,0,0,0,0,0,0
NME1,0.0,0.0112190664040385,0.1231638701231491,0.0,0,0,0,0,0,0,0,0
APPL1,0.0227088686496641,0.0009656707696102,0.044176154971986,0.0,0,0,0,0,0,0,0,0
DCC,0.1122182982901525,0.0738444248909002,0.4933481592599366,0.0,0,0,0,0,0,0,0,0
MAGED1,0.0223048209210333,0.067530578934213,0.072491509835787,0.0,0,0,0,0,0,0,0,0
UNC5A,0.0,0.0230256495104554,0.2429614831589449,0.0952380952380952,0,0,0,0,0,0,0,0
PPP3R1,0.02272653599853,0.048856395346571,0.0148128976895214,0.0,0,1,0,0,0,0,0,0
PPP3CC,0.0,0.0232957316813153,0.0566261663458887,1.0,0,1,0,0,0,0,0,0
BCL2,0.0227410131554328,0.0063620376814937,0.1706487320040452,0.4897959183673469,0,0,0,0,1,1,1,0
BAD,0.0,0.0070668575662442,0.008988196024125,0.0,0,0,0,0,0,1,1,0
BAK1,0.0,0.1304167230486831,0.0007130002852927,0.0,0,0,0,0,0,0,1,1
CYCS,0.0,0.0117759499350569,0.0012771914091934,0.3537414965986395,0,0,0,0,1,0,1,0
XIAP,0.0,0.0065958576945596,0.0176745842806987,0.0,0,0,0,0,0,0,1,0
CASP3,0.0,0.0128503283514668,0.0087027785207832,0.0,0,1,0,0,1,0,1,0
CASP7,0.0227200229170752,0.0409218191164963,0.0156475606034822,0.0,0,0,0,0,0,0,1,0
CASP9,0.0,0.0086976721513097,0.0037611264667334,0.0,0,0,0,0,1,1,1,0
DIABLO,0.0,0.0078642072758418,0.0041990508315832,0.1224489795918367,0,0,0,0,0,0,1,0
DFFB,0.0,0.0171801157401454,0.0603328141321873,0.0,0,0,0,0,0,0,1,0
DFFA,0.0455242207081994,0.0104975128600353,0.0295585979252663,0.0,0,0,0,0,0,0,1,0
KPNA1,0.0223661704898215,0.0792634445269389,0.0199818861736354,0.0,0,0,0,0,0,0,0,0
KPNB1,0.0,0.001008802120533,0.0532448058757454,0.0,0,0,0,0,0,0,0,0
PAK2,0.0227663444284666,0.0061382247102542,0.0061205377204995,0.108843537414966,0,1,0,0,0,0,0,0
ARHGAP10,0.0227440947305413,0.1009670163786477,0.115371918047714,0.0,0,0,0,0,0,0,0,0
RIPK1,0.0227574987881455,0.007416246881586,0.0165872470529337,0.0,0,0,0,0,0,0,1,0
RIPK3,0.0227726504089753,0.3146480189671575,0.1621044601075613,0.0,0,0,0,0,0,0,0,0
GCH1,0.0,0.012771357897329,0.0273781059941688,0.0,0,0,0,0,0,0,0,0
