Gene,MF: CESC,METH: CESC,GE: CESC,CNA: CESC,hsa04064,hsa04110_genes,hsa04115_genes,hsa04150,hsa04151,hsa04210,hsa04310,hsa04330,hsa04510,hsa04520,hsa04530,hsa04612,hsa04620,hsa04630
CLPS,0.0,0.0376859008967536,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNLIP,0.0281809269079744,0.3463973864566134,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB1,0.0558446952261708,0.0019478904279288,0.0248320244717355,0.1762114537444934,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GNGT1,0.0,0.0,0.1787717777962663,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CNGA1,0.0,0.0024079551134845,0.1655871970989802,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNGB1,0.1067340122682764,0.0201602461532197,0.1327168019258429,0.2334801762114537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTB,0.0,0.0013883629097336,0.0260287018664281,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNTA,0.0,0.0112426118695242,0.0177405430477964,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD50,0.0541773650952125,0.0190077897074487,0.0020630841067256,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPNA2,0.0,0.0013290290309567,0.2590832782096119,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBN,0.0,0.0116159121210805,0.0445328657388342,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAT5,0.0,0.0157123522040952,0.1002394452082387,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATM,0.0451947140252323,0.0108707185814898,0.0840182725357591,0.7136563876651983,1,1,1,0,0,1,0,0,0,0,0,0,0,0
BAZ1B,0.165652090180212,0.0011424962277654,0.0132206453170205,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMARCA5,0.0281679921362019,0.0151164798968642,0.0021133501521508,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2I,0.0832408190951071,0.0001743096220276,0.017975139512165,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMO1,0.0,0.0210600216847321,0.0044028337665402,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2V2,0.0281618735415873,0.0414242912035564,0.032353622361492,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2N,0.0281464661629516,0.0161800231373154,0.0406995126022003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARD1,0.0,0.0065129733905963,0.0876953132441634,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRCA1,0.0833370376232928,0.0056283841507935,0.2373409962941859,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SUMO2,0.056309059557213,0.0010719236629849,0.0119132136430277,0.3259911894273128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDC1,0.0829146327776198,0.0086743477315514,0.0271821270658192,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERC2,0.0831009959403148,0.1953423432742253,0.0016494828609317,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRIP,0.0,0.0023344564457131,0.0017185987001804,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR,0.0816129645200207,0.0001178393711753,0.078102490982552,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
TIMELESS,0.054279486143378,0.0246738097943828,0.2956813041978274,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.0110156544241259,0.0811046863964276,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP4R2,0.0,0.040135695281494,0.0279287834760951,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP4C,0.0,0.0001685620859058,0.0899192938708396,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD51C,0.0,0.0049869898268893,0.0301613199548057,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC3,0.0,0.0087633786098975,0.1821162334515874,0.2202643171806167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EME2,0.0282867850921945,0.0008094169341598,0.0540598546899045,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS81,0.0,0.0111495621569263,0.0364423540471673,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EME1,0.0,0.0086958167344804,0.3745063575291753,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRCA2,0.1600096859483422,0.0034152043290614,0.3586309300298106,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD51,0.0,0.0044712801003595,0.3461384475426151,0.3083700440528634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC4,0.0562103390713882,0.0511423174085572,0.0467894352258685,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.0277846383501478,0.1674008810572687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC1,0.0555923830239619,0.0030404283114973,0.0088404037425631,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIG3,0.0838354305379777,0.0124732505677402,0.0717514690922728,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC6,0.0,0.0052046958571408,0.0061697051241397,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC5,0.0,0.3455706289087304,0.0023300679158845,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRCC4,0.0563747513346288,0.0357122749475342,0.0912095883999437,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIG4,0.1333976885631275,0.002030149405407,0.0186765997971904,0.3039647577092511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXB,0.0561911565041936,0.023246320405722,0.0242731631175427,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXA,0.0,0.098707725159797,0.016830927501562,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT2,0.0,0.0044721346516736,0.0733253548656398,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXT1,0.0,0.0080218270163076,0.091204358193861,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS1,0.04912356111913,0.0049708184210024,0.0419173560313972,0.3480176211453745,0,0,0,1,1,0,0,0,1,0,0,0,0,1
CDK1,0.0,0.006688501872189,0.4048650684338746,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CCNB1,0.0280681289393679,0.0092971871382072,0.3771820594123919,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PCF11,0.0536016570339443,0.0113585094066638,0.0283051880041426,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLP1,0.0268812514524519,0.0427176640286669,0.0354128773811528,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAD1,0.0280009717166529,0.0125848062876661,0.1153430439268422,0.4493392070484582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAP1,0.0,0.0396129158813813,0.1102618320778471,0.2070484581497797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAD2,0.0,0.0150756736500544,0.0857608631895345,0.1674008810572687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAD3,0.0280574417985992,0.0109917889840886,0.0937586747966296,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEAD4,0.0,0.0043262735933355,0.1215911203036738,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK8,0.0,0.002781623563512,0.0289795782482988,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNC,0.0834486360259514,0.0038493652085613,0.0389416967605436,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD7,0.0281815979738261,0.0025026026614733,0.0623780081573467,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF111,0.0280875855509384,0.0338022147149476,0.0221604447601399,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTEN,0.2812576245292795,0.0025490734035588,0.0279024634830313,0.3788546255506609,0,0,1,1,1,0,0,0,1,0,0,0,0,0
TP53,0.081658849014962,0.0051245531034633,0.0405541763386985,0.0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
TSC1,0.0259040896826944,0.0,0.0129523333699908,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TSC2,0.0674137651107943,0.0291431602787657,0.011375843791744,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
SCO2,0.0,0.0096383020333945,0.1429541625025328,0.3832599118942731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRM2B,0.0560908947515637,0.0038762364846764,0.001276860839719,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GLS2,0.0263805101883787,0.0379902498016379,0.0529894948367308,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGFBP3,0.0,0.1453828757949947,0.2855612793466759,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PMAIP1,0.0,0.0205716835708275,0.3303598501326674,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
BID,0.0,0.0143999639722599,0.1445096918905716,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TP53AIP1,0.0281957874513836,0.2048911199176991,0.339335914457086,0.7136563876651983,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ZNF420,0.0277273559520141,0.1068836104992848,0.1136637905723083,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STEAP3,0.0,0.0593794760948515,0.2013948396397809,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BNIP3L,0.0564271443189575,0.0256315496986192,0.0251056167395229,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIAP1,0.0,0.0045799101584574,0.0647590182304705,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0.0,0.0053233113250479,0.0134022457422479,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TP53INP1,0.0555574985757709,0.0048274117508256,0.0758870777143884,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAF1,0.0233367405008491,0.0076497535530258,0.0305520818532428,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
PIDD1,0.0559760851061705,0.0120050036387006,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
CRADD,0.0,0.0128036362365744,0.0975019225395454,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLRC4,0.027500608332869,0.0953894046825878,0.0057532659121211,0.3480176211453745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASP6,0.055545943364901,0.0132930459997901,0.0476367996565423,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CASP10,0.0,0.3606480585907459,0.0353623585273033,0.1806167400881057,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NDRG1,0.0,0.071402741298301,0.1168320799913684,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.4078556192574402,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIRC5,0.0281315231084201,0.0007457163411896,0.603338380832234,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BCL6,0.0554526279002008,0.0033361750639655,0.0217049078323931,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF385A,0.0,0.3618496591713395,0.2657885053422961,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARID3A,0.0,0.0044481190430375,0.0846777901875364,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F7,0.0281012458566376,0.0016370892489214,0.5133420403197322,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F8,0.0825400011157058,0.0199579544279729,0.5560869763699703,0.4493392070484582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GADD45A,0.0282494623298168,0.0036561283595678,0.0033121658524917,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
AURKA,0.0,0.0051460365250915,0.4427227083511336,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCNA,0.0,0.0025265402580572,0.2434192621303981,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
BAX,0.0,0.0125299217324197,0.0744819284043038,0.1674008810572687,0,0,1,0,0,1,0,0,1,0,0,0,0,0
SFN,0.0,0.7772168239103262,0.8434830950348909,0.1762114537444934,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PLK2,0.0556345923739375,0.0142773286224179,0.0455427714895324,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLK3,0.056360464735905,0.0237984560131489,0.0022679921782797,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGCC,0.0,0.0310790198726495,0.2067535526603549,0.5198237885462555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAGL1,0.0227396000754913,0.0006809390070179,0.1939027526145902,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATF2,0.0280215605331753,0.0098078623306548,0.060395248576939,0.1806167400881057,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JUN,0.0,0.0071365913705336,0.1972204462331424,0.0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
FOS,0.0816006674170662,0.0064414996753958,0.2956199650578025,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PMS2,0.0,0.000116442452825,0.0230913946298637,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLH1,0.025414975040997,0.0104551496521694,0.0173729868677225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FANCC,0.0271023738996671,0.0064987273136908,0.1471288793303868,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDB2,0.0281918620877271,0.0012260862500326,0.0541866058978684,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PRDM1,0.0818844766313514,0.0080981772959827,0.0332071715628296,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDM2,0.0,0.001883795576805,0.0675125313255234,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
MDM4,0.0,0.0042553275643762,0.0055220657615502,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCNG1,0.0,0.002079276370194,0.1209894880471852,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HIPK2,0.0,0.0049659454249449,0.0067913377959607,0.2643171806167401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIN1,0.0,0.0082598393866194,0.0274610280438186,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPK1,0.0262660168605468,0.0072483343742182,0.0059787461432082,0.1497797356828194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSRP1,0.0281472812665467,0.0270744020583537,0.0338740104226354,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPT16H,0.0271452548048374,0.0094327916840322,0.0032070501672269,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNK2A1,0.0,0.0,0.0294122725675881,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CSNK2A2,0.0,0.0006000338206053,0.04062681076172,0.2334801762114537,1,0,0,0,0,0,1,0,0,1,0,0,0,0
TPX2,0.0,0.0072193717653636,0.5895533626908516,0.5947136563876653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0.0,0.0426070705506554,0.056722846675084,0.1762114537444934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK5R1,0.0273946486291996,0.0048254118345159,0.1400926333073106,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK5,0.0,0.0144064737215417,0.1190134860180719,0.2643171806167401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU4F1,0.1112209137739757,0.4440951785767759,0.1527131290375963,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU4F2,0.0282342114768104,0.7263687334463528,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANP,0.0531406162608052,0.007711146714671,0.0259243051541062,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHF20,0.0281792168896805,0.0237438521094209,0.0569687999755319,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3MBTL1,0.0,0.1414449029794385,0.0224178270231899,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHMT2,0.05575433314824,0.0209953673225018,0.0379518096778421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHMT1,0.0485303674733634,0.0567958986110274,0.016370882647693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2A,0.0558836854658003,0.0471526181023407,0.5926576981756454,0.2026431718061674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEK,0.0282005816877409,0.0040672191390985,0.0753988494714352,0.2026431718061674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2C,0.0557962344573566,0.0265354739449847,0.3418627251160833,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WWOX,0.0,0.0014420483133573,0.0415236745318186,0.2422907488986784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2B,0.0281802930122284,0.5299557697852779,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEATS4,0.0,0.0197728712877257,0.0539143504234435,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESR1,0.0253738347842425,0.5734196531520678,0.4559417281445226,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATAD2,0.1891749633233313,0.0028591711968579,0.2982090547325607,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFA,0.0552873230961609,0.1588746965101923,0.0963677183728179,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TGFA,0.0276770306118991,0.0056185832664479,0.3943712761131719,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CDKN1A,0.0275782710596573,0.1816018917532511,0.1660698634844627,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
RUNX1,0.0555387110885051,0.0850526581264817,0.3307791962558651,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TP73,0.1614817682108505,0.0436977438701429,0.4531971936598951,0.1762114537444934,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZFPM1,0.0842279354052609,0.0504989535532719,0.0065292660077383,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GATA1,0.0282679777660587,0.0702296698887364,0.2614953936260387,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTSK,0.0282741271222154,0.7514775970332528,0.2995711929391544,0.6960352422907488,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SERPINB13,0.0,0.6359726356149987,0.6371122609005828,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCND1,0.0561588597743942,0.0359697459462796,0.0046654710468269,0.0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
CDK4,0.0,0.0020360061736037,0.0098660152506464,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
ESRRA,0.0,0.0394311139855575,0.1585423847437236,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPARGC1A,0.0278585912250693,0.2562452020856167,0.1328907967122274,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWIST1,0.0,0.2999861085494763,0.3915765289014002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNX2,0.0262276470562001,0.0656087015523402,0.1418032565079635,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKX3-2,0.0,0.323495338096378,0.2706695791398979,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSX2,0.0,0.2472622564537851,0.0506431590467321,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD4,0.0805143822348351,0.0028162171996466,0.0737910440657851,0.3612334801762115,0,1,0,0,0,0,1,0,1,1,0,0,0,0
SMAD1,0.0,0.0087919375803447,0.1222325179620095,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNX3,0.0542670652362477,0.2398270670603575,0.2872299779751162,0.1762114537444934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD3,0.0,0.0023273344659603,0.0226517658504843,0.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
TFDP1,0.0278995976024048,0.0306546085724558,0.1198759537789705,0.3039647577092511,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E2F6,0.0,0.1289076877994232,0.0282623850086342,0.3480176211453745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFDP2,0.0275136620860527,0.0561209651461748,0.0428705567230234,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MGA,0.1086233824338937,0.0212286006980381,0.0267844359576126,0.3083700440528634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX,0.0,0.008127735136192,0.0253744361515205,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPT4H1,0.0,0.0075984036881676,0.0318779816415557,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPT5H,0.0,0.2615376799852325,0.0025226280394001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOB,0.0,0.001862805987121,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0005885255280044,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2F1,0.0280846930047237,0.0378038573064561,0.0767824009948385,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0093398134450334,0.0154065910612879,0.5198237885462555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCBP2,0.0280191573223929,0.0070492840466563,0.0417631503825578,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCBP1,0.0271791577541256,0.0076269214934374,0.0594949283657337,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAP1,0.0281747523514169,0.0009635398797437,0.1709656181438815,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TAP2,0.0561565373447768,0.0283913598528134,0.1221290812838422,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AMN,0.0282816972506842,0.0793850697514907,0.4040221634102093,0.2202643171806167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBN,0.1371312269533695,0.3132093336582908,0.2709419740152042,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMAA,0.0,0.0106452314315833,0.0611659238726741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FASLG,0.0,0.1185941419218211,0.142605860366472,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FAS,0.0,0.0066419069283316,0.0162035889753471,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
BAG4,0.0,0.0014668546292082,0.0012000133452686,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF1A,0.0,0.0146960449512232,0.0486455838048861,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
TNF,0.0,0.2913129738206267,0.2142346481880531,0.0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
TAX1BP1,0.0,0.0015399456750732,0.0015822380184731,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFAIP3,0.0558072780068084,0.0008530223214505,0.0117350871260245,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0,0.010733675627263,0.1656244899957284,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TNFRSF10D,0.0,0.0097933128521406,0.0514028400569746,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF10B,0.0,0.0076745048694181,0.1669811644475297,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NGF,0.0,0.201761552964302,0.4510867510363927,0.1497797356828194,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NGFR,0.0822476778075298,0.0031338951573815,0.0187890396457719,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IRAK1,0.08100056727604,0.0568411738249319,0.1459725367542402,0.3303964757709251,1,0,0,0,0,0,0,0,0,0,0,0,1,0
