Gene,MF: THCA,METH: THCA,GE: THCA,CNA: THCA,hsa03320,hsa04010,hsa04115,hsa04310,hsa04520
BARD1,0,0.0075125717789006,0.0099294760037164,0.1444444444444444,0,0,0,0,0
BRCA1,0.0140323562492761,0.0038353629527823,0.0164739469739333,0.0888888888888888,0,0,0,0,0
SUMO2,0,0.0061638231409321,0.0302659489467518,0.0888888888888888,0,0,0,0,0
MDC1,0,0.0112324753164043,0.0677032215314042,0,0,0,0,0,0
HERC2,0,0.0401792192021581,0.018154765732422,0,0,0,0,0,0
ATRIP,0,0.0013421107016143,0.0437060302312628,0,0,0,0,0,0
ATR,0.0107619593320614,0.0008385573064487,0.009278830857332,0,0,0,1,0,0
TIMELESS,0.0071217090419939,0.0072006698796215,0.0350060224367002,0,0,0,0,0,0
TIPIN,0.0036041598788503,0.0190933418170283,0.0067829492174816,0,0,0,0,0,0
PPP4R2,0.0142461177828613,0.010852851032202,0.0373964801007243,0,0,0,0,0,0
PPP4C,0,0.0070640796673381,0.0582695440160513,0,0,0,0,0,0
RAD51C,0,0.0480925378553331,0.0240652925946794,0.0888888888888888,0,0,0,0,0
XRCC3,0.0036024129511267,0.024924404880254,0.0121397931247678,0,0,0,0,0,0
EME2,0,0.0080573635592881,0.0422921241968538,0,0,0,0,0,0
MUS81,0,0.0042750219064389,0.0065988244611644,0,0,0,0,0,0
EME1,0,0.0011396491109886,0.0343527204583013,0.0888888888888888,0,0,0,0,0
BRCA2,0.0107934921962781,0.0044869771489329,0.0825767032029704,0.1777777777777777,0,0,0,0,0
RAD51,0,0.0064659136581822,0.1039192500588332,0,0,0,0,0,0
ERCC4,0.00712723804632,0.0136577623015552,0.0398421579922603,0,0,0,0,0,0
ERCC1,0,0,0.0268368829188421,0,0,0,0,0,0
XRCC1,0,0.0048233703627323,0.020038896719708,0,0,0,0,0,0
LIG3,0,0.0100717548513752,0.0398948938265305,0.0888888888888888,0,0,0,0,0
XRCC6,0,0.004691845403621,0.0100600684945987,0.988888888888889,0,0,0,0,0
XRCC5,0.0107019911853182,0.0061752352244525,0.0023054176102348,0.1444444444444444,0,0,0,0,0
XRCC4,0,0.0091184590587053,0.0019357921838102,0,0,0,0,0,0
LIG4,0.0035997054904941,0.0028271196138071,0.0248739127156289,0,0,0,0,0,0
HEXB,0.0036035089251953,0.0616655161001766,0.0280048827792388,0,0,0,0,0,0
HEXA,0.0107363176289538,0.0328515306889512,0.0324903948275702,0,0,0,0,0,0
EXT2,0.0035953378457204,0.0129475429444293,0.0035862831679415,0,0,0,0,0,0
EXT1,0.0036023543740179,0.0043000697878753,0.0732702878363757,0.0777777777777777,0,0,0,0,0
SOS1,0.0107896158353632,0.0043704946941682,0.0634932811254938,0,0,1,0,0,0
CDK1,0.0035733104853061,0.0092953458307882,0.0350874583532505,0,0,0,1,0,0
CCNB1,0,0.0128886655664004,0.0017953053978977,0,0,0,1,0,0
PCF11,0,0.0025648084131409,0.0890285914852368,0,0,0,0,0,0
CLP1,0,0.0328275385119801,0.0289795416177213,0,0,0,0,0,0
TEAD1,0.0071986023129721,0.0071561100448768,0.0063001881533338,0,0,0,0,0,0
YAP1,0,0.0295425672663421,0.0043589569091392,0,0,0,0,0,0
TEAD2,0,0.0036764516651466,0.0342954826565065,0,0,0,0,0,0
TEAD3,0,0.030211872981168,0.0580010014987845,0,0,0,0,0,0
TEAD4,0.0036040187885297,0.0059773704856059,0.1387230334044778,0,0,0,0,0,0
CDK8,0,0.0080064955081366,0.0087725760405947,0.1777777777777777,0,0,0,0,0
CCNC,0,0.0058607604355866,0.0596704217939846,0,0,0,0,0,0
SMAD7,0,0.0040387302322846,0.0440236294399372,0,0,0,0,0,0
RNF111,0.0035419207223608,0.0198046520855563,0.0252460011425924,0,0,0,0,0,0
PTEN,0.0036028136219828,0.0033082537493444,0.0227167249302081,0.1333333333333333,0,0,1,0,0
TP53,0.0035835192522288,0.0040135761942723,0.0300228058578283,0.0888888888888888,0,1,1,1,0
TSC1,0,0,0.0455477311438307,0.3111111111111111,0,0,0,0,0
TSC2,0,0.0065382081141015,0.0057026108091248,0,0,0,1,0,0
SCO2,0,0.0274075012930123,0.0558509461141968,1,0,0,0,0,0
RRM2B,0,0.0023657533168478,0.0233137424993946,0.0777777777777777,0,0,1,0,0
GLS2,0,0.0092742005287484,0.1597336377183538,0,0,0,0,0,0
IGFBP3,0,0.0152151611643258,0.1143174995015631,0.0111111111111111,0,0,1,0,0
PMAIP1,0,0.0044819132500195,0.1716538677440811,0.0555555555555555,0,0,1,0,0
BID,0,0.0138966438520038,0.2848131223529229,0.0777777777777777,0,0,1,0,0
TP53AIP1,0,0.2065425090600773,0.2761820541415014,0,0,0,1,0,0
ZNF420,0.010623253744378,0.0035651156461785,0.0845131119354678,0,0,0,0,0,0
STEAP3,0.0036007210819323,0.0251830812523978,0.0878465733073644,0,0,0,1,0,0
BNIP3L,0.0035452863145667,0.0067130886928836,0.0237526725788679,0,0,0,0,0,0
TRIAP1,0,0.0026590767979267,0.0322138653478112,0,0,0,0,0,0
AIFM2,0,0.0358096030243683,0.0488148751040688,0.1333333333333333,0,0,1,0,0
TP53INP1,0,0.0073615073599383,0.0732182072099077,0.0777777777777777,0,0,0,0,0
APAF1,0.0035973188565914,0.0033477374196196,0.0135563652844949,0,0,0,1,0,0
PIDD1,0.0036038077787765,0.0516684934424515,0,0,0,0,1,0,0
CRADD,0,0.0058802307363163,0.018534785925887,0,0,0,0,0,0
NLRC4,0.0071881966438079,0.0065161842414671,0.0609533992006595,0.1333333333333333,0,0,0,0,0
CASP6,0,0.008794382238605,0.0321312801706501,0,0,0,0,0,0
CASP10,0.0035996935618803,0.1262071392248318,0.0540497813920775,0,0,0,0,0,0
NDRG1,0,0.0864963849504164,0.078617202693239,0.0777777777777777,0,0,0,0,0
BCL2L14,0,0,0.0711940321072269,0,0,0,0,0,0
BIRC5,0,0.0010042894318258,0.1454471642281336,0.0888888888888888,0,0,0,0,0
BCL6,0.0035962564442591,0.0054037764223202,0.0799272711364826,0,0,0,0,0,0
ZNF385A,0,0.0503116843590007,0.0122077757784352,0,0,0,1,0,0
ARID3A,0,0.0071542728964224,0.0246765738644084,0.0777777777777777,0,0,0,0,0
E2F7,0,0.0159821480370828,0.0851852876099283,0,0,0,0,0,0
E2F8,0.0106917861270816,0.0071917902189144,0.1208765016667366,0,0,0,0,0,0
GADD45A,0,0.0244177257481161,0.0304302389704072,0,0,1,1,0,0
AURKA,0,0.0041092971637053,0.0357825161622325,0,0,0,0,0,0
PCNA,0,0.0052150344134839,0.0436395898028423,0,0,0,0,0,0
BAX,0,0.0047769774996464,0.1143960103359868,0,0,0,1,0,0
SFN,0,0.2434021821280395,0.4091030810958554,0,0,0,1,0,0
PLK2,0.0071864779755236,0.0093636495894618,0.1074888634060325,0,0,0,0,0,0
PLK3,0,0.0255346197114843,0.1332968673789785,0,0,0,0,0,0
RGCC,0,0.0293079598450925,0.0079289669876298,0,0,0,0,0,0
PLAGL1,0,0.0067159298369228,0.115287421663874,0,0,0,0,0,0
ATF2,0,0.0041419918558626,0.0665867432260112,0,0,1,0,0,0
JUN,0.0036015672327051,0.0052653007185491,0.2671213426196369,0,0,1,0,1,0
FOS,0,0.0071255334260029,0.2446314504540259,0,0,1,0,0,0
PMS2,0,0.0055747125200458,0.0539423244413828,0.0111111111111111,0,0,0,0,0
MLH1,0,0.0044503632692679,0.0306196590136533,0,0,0,0,0,0
FANCC,0,0.0022594183563444,0.0178791062459374,0.3111111111111111,0,0,0,0,0
DDB2,0,0.0377491905267281,0.1702716132503821,0,0,0,1,0,0
PRDM1,0,0.0162341153545982,0.1714102772074418,0,0,0,0,0,0
MDM2,0.0035366436281564,0.0057988698663182,0.0974924535728608,0,0,0,1,0,0
MDM4,0.003363508807929,0.0096083587283203,0.0265665476825204,0.3222222222222223,0,0,1,0,0
CCNG1,0,0.0034811939362675,0.0661225074523026,0,0,0,1,0,0
HIPK2,0,0.0061733605723776,0.0038593784242184,0.0111111111111111,0,0,0,0,0
PIN1,0,0.0017374091668162,0.0066230209551556,0.0777777777777777,0,0,0,0,0
HIPK1,0.0035925689977499,0.0076680757184938,0.0474266601779525,0,0,0,0,0,0
SSRP1,0,0.0208223946106133,0.0135583919635518,0,0,0,0,0,0
SUPT16H,0.0035327262863354,0.008618118874246,0.010252582935192,0,0,0,0,0,0
CSNK2A1,0.0035832110237748,0,0.024913631237895,0,0,0,0,1,1
CSNK2A2,0,0.0077145345873287,0.0357298053347734,0,0,0,0,1,1
TPX2,0,0.0057740718743717,0.1683620985795342,0,0,0,0,0,0
NOC2L,0,0.0541640685099403,0.0155579182037017,0,0,0,0,0,0
CDK5R1,0,0.0639879862733363,0.0190006103094487,0.0888888888888888,0,0,0,0,0
CDK5,0,0.0542290038051811,0.0263395210870519,0.0111111111111111,0,0,0,0,0
POU4F1,0,0.1198218618699026,0,0,0,0,0,0,0
POU4F2,0,0.060588967206499,0,0,0,0,0,0,0
BANP,0,0.0022156332359236,0.041138063694318,0.0666666666666666,0,0,0,0,0
PHF20,0.0035840781519607,0.0138973973527977,0.0367086715535444,0,0,0,0,0,0
L3MBTL1,0,0.0384700946925879,0.0322954788573582,0,0,0,0,0,0
EHMT2,0,0.0234827785711967,0.0222827334943715,0,0,0,0,0,0
EHMT1,0,0.0376317083570068,0.0552249921089382,0.3111111111111111,0,0,0,0,0
TFAP2A,0,0.0582354965393939,0.0350270517831204,0,0,0,0,0,0
DEK,0,0.0093196718290854,0.0629427011403323,0,0,0,0,0,0
TFAP2C,0,0.0200697005848223,0.0340496005448374,0,0,0,0,0,0
WWOX,0,0.0061522450474454,0.1678470124287211,0.0666666666666666,0,0,0,0,0
TFAP2B,0,0.0445980478090539,0,0,0,0,0,0,0
YEATS4,0.0036042598824689,0.0110338266325173,0.0274791755489134,0,0,0,0,0,0
ESR1,0,0.0100450562711679,0.022716978547671,0,0,0,0,0,0
ATAD2,0,0.0064271130948342,0.0772794469398358,0.0777777777777777,0,0,0,0,0
VEGFA,0.0035951459504435,0.0230856416909558,0.0729559460468888,0,0,1,0,0,0
TGFA,0,0.0065888373676565,0.2734917676656576,0,0,1,0,0,0
CDKN1A,0.0072063299544256,0.4308249724838341,0.1693813773350758,0,0,0,1,0,0
RUNX1,0,0.459200645135109,0.302534512770544,0,0,0,0,0,0
TP73,0.0071571947447742,0.0295884524341404,0.0303676958095351,0,0,0,1,0,0
ZFPM1,0,0.003297917382537,0.031424622267131,0.0666666666666666,0,0,0,0,0
GATA1,0,0.0128234062637454,0.1502096416713791,0.0444444444444444,0,0,0,0,0
CTSK,0,0.1268096390958432,0.0508409692337732,0,0,0,0,0,0
SERPINB13,0,0.0684945977309928,0,0,0,0,0,0,0
CCND1,0,0.0723364160053134,0.1805874773577275,0,0,0,1,1,0
CDK4,0,0.0083563072521965,0.0347306714875482,0,0,0,1,0,0
ESRRA,0,0.0031164200916409,0.0328390913455606,0,0,0,0,0,0
PPARGC1A,0.0143705437477348,0.0271108838916563,0.3301785015916624,0,0,0,0,0,0
TWIST1,0.0036040513551906,0.1088940581875648,0.0046712673227888,0.0111111111111111,0,0,0,0,0
RUNX2,0.0069914949305099,0.5954987631126067,0.2291357836085182,0,0,0,0,0,0
NKX3-2,0,0.0116507328093678,0.0710202015602167,0,0,0,0,0,0
MSX2,0,0.0233528465379622,0.1553321007696521,0,0,0,0,0,0
SMAD4,0.0071628000156059,0.0034942628720133,0.0675140763750617,0,0,0,0,1,1
SMAD1,0,0.0073617334553387,0.0781366872316555,0,0,0,0,0,0
RUNX3,0,0.0113421665553495,0.0385591683879775,0,0,0,0,0,0
SMAD3,0,0.0055110490478576,0.0305166617291553,0,0,0,0,1,1
TFDP1,0,0.0014780609296485,0.0462024753077433,0,0,0,0,0,0
E2F6,0,0.0069668825736865,0.0084713388456344,0,0,0,0,0,0
TFDP2,0,0.0236324779576046,0.0063906526673428,0,0,0,0,0,0
MGA,0.0035696615922314,0.0538526274944275,0.0666201390063598,0,0,0,0,0,0
MAX,0,0.003589085065396,0.0099845029187695,0,0,1,0,0,0
SUPT4H1,0,0.0013951714063671,0.0066508947121813,0.0888888888888888,0,0,0,0,0
SUPT5H,0,0.0702271367265285,0.0167758335899412,0,0,0,0,0,0
ELOB,0,0.0012772316145503,0,0,0,0,0,0,0
ELOC,0,0.0040624629966993,0,0,0,0,0,0,0
GTF2F1,0,0.0062233487113337,0.010200310431794,0.0777777777777777,0,0,0,0,0
GTF2F2,0,0.0065967308250082,0.0131700895654726,0,0,0,0,0,0
NCBP2,0,0.0045899817883899,0.003234495031033,0,0,0,0,0,0
NCBP1,0,0.043827791143005,0.0331032132919368,0.3111111111111111,0,0,0,0,0
TAP1,0,0.0060757383521093,0.0985611703420855,0,0,0,0,0,0
TAP2,0,0.0091722797686927,0.0186651953107047,0,0,0,0,0,0
AMN,0,0.07705910005365,0.2312287372311021,0,0,0,0,0,0
CUBN,0,0.005706786939146,0.0695746767256914,0,0,0,0,0,0
MMUT,0,0,0,0,0,0,0,0,0
MMAA,0,0.0071590242839004,0.0320829778463499,0,0,0,0,0,0
FASLG,0,0.0395481970478326,0.1039694566969692,0.3222222222222223,0,1,0,0,0
FAS,0,0.014459361116266,0.1242342417282253,0.1333333333333333,0,1,1,0,0
BAG4,0,0.0019359991923783,0.0022846926238154,0,0,0,0,0,0
TNFRSF1A,0.0036041676824012,0.0084983172294905,0.0964465047704679,0,0,1,0,0,0
TNF,0,0.0722379229737882,0.1201143515613677,0,0,1,0,0,0
TAX1BP1,0.0106407727868422,0.0196529396520451,8.95634043929189e-05,0.0111111111111111,0,0,0,0,0
TNFAIP3,0,0.0020071487892232,0.0885237832836571,0,0,0,0,0,0
TNFRSF10A,0,0.0153674203477507,0.0975172013946142,0,0,0,1,0,0
TNFRSF10D,0,0.0493599313490517,0.0064010933873714,0,0,0,0,0,0
TNFRSF10B,0,0.0082716869306252,0.1154534828911816,0,0,0,1,0,0
NGF,0.0036041403701207,0.0339279952302783,0.0060647056176648,0,0,1,0,0,0
NGFR,0,0.1162448794156002,0.1421487230149762,0.0888888888888888,0,1,0,0,0
IRAK1,0,0.0447086164801848,0.0553425990595648,0.0444444444444444,0,1,0,0,0
MYD88,0,0.0164860754199084,0.06135165513537,0,0,1,0,0,0
NFKB1,0,0.0008619025677034,0.0160541146651987,0,0,1,0,0,0
RELA,0,0.0036045180077359,0.0234448930538329,0,0,1,0,0,0
UBE2B,0,0.0049332610813262,0.0044289420359326,0.2333333333333333,0,0,0,0,0
RAD18,0,0.0101627436460499,0.0123391862392347,0,0,0,0,0,0
WDR48,0,0.0058411225200448,0.0249439523812907,0,0,0,0,0,0
USP1,0.007113344047647,0.0026327191458232,0.0353213329807484,0,0,0,0,0,0
REV3L,0.0130514055932772,0.0109772832531445,0.0399619807845183,0,0,0,0,0,0
MAD2L2,0,0.0261307328297208,0.1411471434788734,0,0,0,0,0,0
RCHY1,0.003525903729453,0.0018937568959368,0.0653741730384255,0,0,0,1,0,0
POLH,0,0.0003366184703468,0.0001198416728199,0,0,0,0,0,0
TRIM25,0,0.0018012502641569,0.0420455765378072,0.0888888888888888,0,0,0,0,0
UBE2L6,0,0.0050909717287571,0.0470085596807736,0,0,0,0,0,0
UBA7,0.0036036139670582,0.0394974235798522,0.0189553140042511,0,0,0,0,0,0
ISG15,0,0.0137184176419972,0.1019687941972206,0,0,0,0,0,0
SUMO3,0,0.1206879645305072,0.0180522532819779,0,0,0,0,0,0
FAAP24,0,0,0,0,0,0,0,0,0
FANCM,0.0035865217605987,0.0034706596090685,0.0224284274265481,0,0,0,0,0,0
CENPX,0,0,0,0,0,0,0,0,0
CENPS,0,0.005240436537102,0,0,0,0,0,0,0
FANCI,0.0036010502546089,0.0311891503609344,0.1146078569253667,0,0,0,0,0,0
FANCD2,0.0141640722800118,0.0032630207411745,0.0924215195945727,0,0,0,0,0,0
PCCA,0,0.0068048635668503,0.0418100722261356,0,0,0,0,0,0
PCCB,0,0.041232858484045,0.0036123304292553,0,0,0,0,0,0
MCCC2,0,0.0071512452156395,0.0608052008241397,0,0,0,0,0,0
MCCC1,0,0.0376472720860888,0.0215907597202713,0,0,0,0,0,0
CLCF1,0,0.0845070435831971,0.0813789954352403,0,0,0,0,0,0
CRLF1,0,0.0047843068664177,0.3062403036508678,0.0888888888888888,0,0,0,0,0
PRKCSH,0.0036017368858044,0.0271649736572768,0.0156787187005149,0.0777777777777777,0,0,0,0,0
GANAB,0,0.0254845336353862,0.0146340910554566,0,0,0,0,0,0
CALR,0.003603792102585,0.0061954036680777,0.0931367268819112,0.0999999999999999,0,0,0,0,0
CANX,0,0.0142431938261498,0.0796916093233021,0,0,0,0,0,0
RAD51B,0,0.0142731412261435,0.0100598671231466,0,0,0,0,0,0
NME2,0,0.0673809070833646,0.0138871870811152,0.0888888888888888,0,0,0,0,0
NME1,0,0.0085334095266135,0.0402887547684573,0.0888888888888888,0,0,0,0,0
APPL1,0.0035691321740799,0.0060663039782587,0.0567142563153572,0,0,0,0,0,0
DCC,0.0107887093708365,0.0292802931971299,0,0,0,0,0,0,0
MAGED1,0.0036018426362048,0.0587043390452433,0.0438239669702755,0.0444444444444444,0,0,0,0,0
UNC5A,0.0036040236473009,0.0070113436326073,0.2204590631568991,0,0,0,0,0,0
PPP3R1,0,0.0182653221775524,0.0003610506166873,0,0,1,0,1,0
PPP3CC,0.0035740460476859,0.005654566519913,0.0183928858746551,0,0,1,0,1,0
BCL2,0,0.001279653395963,0.2208594058124445,0.0555555555555555,0,0,1,0,0
BAD,0.0072077764753286,0.0036588552300266,0.0135422939807569,0,0,0,0,0,0
BAK1,0,0.0224558245276788,0.0059831310091334,0,0,0,0,0,0
CYCS,0,0.0055127799447594,0.0820508395768081,0.0111111111111111,0,0,1,0,0
XIAP,0,0.072878445673245,0.0041406217207173,0.0444444444444444,0,0,0,0,0
CASP3,0,0.0017728500706746,0.0420409495704452,0.0555555555555555,0,1,1,0,0
CASP7,0,0.0078099044170195,0.0140180709485638,0,0,0,0,0,0
CASP9,0,0.0041961644855328,0.0317814129544346,0,0,0,1,0,0
DIABLO,0,0.0290333466980299,0.0122360662765392,0,0,0,0,0,0
DFFB,0,0.0074710588290858,0.0275500046124846,0,0,0,0,0,0
DFFA,0,0.0018653806879805,0.0094824699697174,0,0,0,0,0,0
KPNA1,0.0107249595620599,0.0607798064040557,0.0109105442350131,0,0,0,0,0,0
KPNB1,0.0070355865951723,0.0041213336776888,0.0032807721165166,0.0888888888888888,0,0,0,0,0
PAK2,0,0.0082243035457131,0.010852716756925,0,0,1,0,0,0
ARHGAP10,0,0.0041958812441549,0.0410919521396916,0,0,0,0,0,0
RIPK1,0,0.0054780710666989,0.0307763298009031,0,0,0,0,0,0
RIPK3,0,0.0534385788531095,0.0040531567378593,0,0,0,0,0,0
GCH1,0.0035955202514996,0.0125720504633243,0.0169322268298308,0,0,0,0,0,0
GCHFR,0,0.0081731997107833,0.065973794117293,0,0,0,0,0,0
UBE2V1,0,0.003558743509712,0.0079406237372581,0,0,0,0,0,0
TRAF6,0.003601465232076,0.0243630185134603,0.0992614941828996,0,0,1,0,0,0
IRAK2,0,0.0440400475876548,0.1110499164335752,0,0,0,0,0,0
HBEGF,0,0.1462916948433894,0.0051953210155161,0.2333333333333333,0,0,0,0,0
CAPZA2,0,0.0079587976082209,0.01017417308745,0.0222222222222222,0,0,0,0,0
CAPZB,0,0.0062559879406445,0.0123810696800672,0,0,0,0,0,0
CAPZA3,0.003604226318497,0.0105556731106325,0,0,0,0,0,0,0
CAPZA1,0,0.0017613336029504,0.0335368881518187,0,0,0,0,0,0
GORASP1,0,0,0.0360712104107232,0,0,0,0,0,0
GOLGA2,0,0.0042801715614148,0.0247906047916261,0.3111111111111111,0,0,0,0,0
TGFBR1,0,0.0170473974590391,0.1567622073475137,0.3111111111111111,0,1,0,0,1
FKBP1A,0,0.0174616632824614,0.0426675490361954,0,0,0,0,0,0
RASGRF2,0.007203338972699,0.0646854779518338,0.0428908507209351,0,0,1,0,0,0
RASGRF1,0,0.0113630084151142,0.4632562232151669,0,0,1,0,0,0
GRIA2,0.007202537007804,0.0241214192812101,0.1315017724972753,0,0,0,0,0,0
GRIA1,0.0036003509066993,0.0268602764090209,0,0,0,0,0,0,0
TYK2,0.007194154232307,0.0015935959954265,0.0133697730243454,0.0777777777777777,0,0,0,0,0
IFNAR1,0,0.0020477481015286,0.0103831783774952,0,0,0,0,0,0
TFB2M,0,0.0222580594500235,0.0410655408528479,0,0,0,0,0,0
POLRMT,0,0.0056756603115393,0.0402584084892912,0.0777777777777777,0,0,0,0,0
DGCR8,0.0072046517188275,0.0073115432521284,0.0239924380474712,0.0777777777777777,0,0,0,0,0
DROSHA,0.0072006065848444,0.0058097341508272,0.0035627591259941,0,0,0,0,0,0
TSNAX,0,0.0002136898742537,0.0261253788786225,0,0,0,0,0,0
TSN,0,0.0025704898012442,0.0099007750973945,0,0,0,0,0,0
BAZ2A,0,0.0123484887308539,0.0125504615247096,0,0,0,0,0,0
DNMT3A,0.0108052299002898,0.0012540379867048,0.0137854173276001,0,0,0,0,0,0
DNMT3L,0,0.1681978532461591,0,0,0,0,0,0,0
DNMT3B,0,0.0002234723131343,0.0863229692229102,0,0,0,0,0,0
CUL1,0.0036030016250854,0.0923014039214768,0.002468132491145,0.0111111111111111,0,0,0,1,0
CAND1,0.0179851496682565,0.0090677341491069,0.0211560075737624,0,0,0,0,0,0
TFRC,0,0.0019210158151828,0.0959770936442763,0,0,0,0,0,0
HFE,0,0.0097154719443683,0.0301687939893931,0,0,0,0,0,0
TF,0.0036018407058706,0.0677913330905076,0.1528965215080238,0,0,0,0,0,0
HSD17B8,0,0.05364580283727,0.0461753680105418,0,0,0,0,0,0
CBR4,0,0.0559222067836101,0.0330141720576774,0.0555555555555555,0,0,0,0,0
CCNB2,0,0.0143490353972264,0.1256672445997537,0,0,0,1,0,0
SBF1,0.003600155988674,0.0763746135025096,0.0618309874130714,1,0,0,0,0,0
MTMR2,0,0.004576511993325,0.014144716509862,0,0,0,0,0,0
MTMR7,0,0.023854793554349,0.0670244785321107,0,0,0,0,0,0
MTMR9,0,0.0028419736820901,0.0380610268922802,0,0,0,0,0,0
PIK3CB,0.003600733810651,0.0175985884852092,0.0372723209301249,0,0,0,0,0,0
PIK3R2,0,0.005940934778703,0.0344164030927175,0.0888888888888888,0,0,0,0,0
PIK3CD,0.003599449673297,0.013938639838278,0.0126489081359486,0,0,0,0,0,0
PIK3R3,0.0034503386953827,0.0001782572960123,0.0151835793056345,0,0,0,0,0,0
PIK3R5,0.0108019613582731,0.0545751642246753,0.0412261164819915,0.0888888888888888,0,0,0,0,0
PIK3CG,0.0212516407578696,0.0609585709158173,0.0091733408481342,0.0111111111111111,0,0,0,0,0
PLEKHA2,0,0.059866945958773,0.105043806373047,0,0,0,0,0,0
PTPN13,0.0071694846209406,0.0128448352268114,0.0667198737608403,0,0,0,0,0,0
PLEKHA1,0,0.0124963669642827,0.0711542516562329,0,0,0,0,0,0
MTMR6,0.0071560684270787,0.014968351590325,0.0300057312238736,0.1777777777777777,0,0,0,0,0
SBF2,0.007151847698473,0.035583954963171,0.0198804262839078,0,0,0,0,0,0
MTM1,0,0.0945900138034642,0.0262756009412238,0.0444444444444444,0,0,0,0,0
MTMR12,0.0108022087065586,0.0140904061089772,0.0207624892293139,0,0,0,0,0,0
GAB2,0.0034971209332681,0.0208027096624859,0.0934557448837307,0,0,0,0,0,0
ITPR1,0,0.0067095475906639,0.2678386891146784,0,0,0,0,0,0
MRVI1,0,0.0977357940284202,0.0232877745261821,0,0,0,0,0,0
PTPN6,0,0.0247168744225797,0.0379820660672733,0,0,0,0,0,1
PECAM1,0,0,0,0,0,0,0,0,0
PTPN11,0,0.0015248930653604,0.0204560711947946,0,0,0,0,0,0
IL6R,0,0.0416021801009403,0.0369711754634374,0,0,0,0,0,0
IL6,0,0.0752654346905444,0.1425910928977123,0.0111111111111111,0,0,0,0,0
STAT1,0,0.0034885683392769,0.0975019815135764,0,0,0,0,0,0
