gene,MF: STAD,METH: STAD,GE: STAD,CNA: STAD,hsa04010,hsa04110,hsa04115,hsa04151,hsa04310,hsa04350,hsa04520,hsa05120
CLPS,0.0129667372375758,0.095763492340542,0.2773621305069598,0.0,0,0,0,0,0,0,0,0
PNLIP,0.0260826186645486,0.0479290900135674,0.0,0.0,0,0,0,0,0,0,0,0
GNB1,0.0126963257164409,0.0052743224709952,0.0073028819354365,0.0,0,0,0,1,0,0,0,0
GNGT1,0.0130385783676824,0.0,0.0441223903397065,0.0,0,0,0,1,0,0,0,0
CNGA1,0.0130219509793088,0.0636733962367951,0.1343322810128356,0.0,0,0,0,0,0,0,0,0
CNGB1,0.0253157653818464,0.1521298619015718,0.1453348165228249,0.0,0,0,0,0,0,0,0,0
FNTB,0.0,0.0065857100298803,0.0052738914995998,0.0,0,0,0,0,0,0,0,0
FNTA,0.0129082231608124,0.0099904580951689,0.0091992297707913,0.0,0,0,0,0,0,0,0,0
RAD50,0.0383303025058245,0.0108897252343795,0.0360908518243908,0.5113268608414239,0,0,0,0,0,0,0,0
MRE11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
KPNA2,0.0,0.0083536088941447,0.1163160275965909,0.0,0,0,0,0,0,0,0,0
NBN,0.0255232974644206,0.0383599389731694,0.0652613218766977,0.0,0,0,0,0,0,0,0,0
KAT5,0.0250291436602843,0.0143799924077921,0.0280199522364627,0.0,0,0,0,0,0,0,0,0
ATM,0.0747428673137187,0.0012869046932646,0.0335308535815235,0.3203883495145631,0,1,1,0,0,0,0,0
BAZ1B,0.0129507493261563,0.0023934204017947,0.0515679937516923,0.0,0,0,0,0,0,0,0,0
SMARCA5,0.0,0.0151078182764435,0.0507136821035408,0.0,0,0,0,0,0,0,0,0
UBE2I,0.0,0.0032012203595173,0.0169220333674029,0.0,0,0,0,0,0,0,0,0
SUMO1,0.0,0.0324595344978161,0.0108565659208156,0.0,0,0,0,0,0,0,0,0
UBE2V2,0.0,0.0536603125468775,0.0002757088337791,0.0,0,0,0,0,0,0,0,0
UBE2N,0.012655038719217,0.0164221138871077,0.0084241564160311,0.0,0,0,0,0,0,0,0,0
BARD1,0.0227313337166923,0.0080671895579367,0.0682368653144222,0.0,0,0,0,0,0,0,0,0
BRCA1,0.0239289735729786,0.0004074587471957,0.1008257598350921,0.0,0,0,0,1,0,0,0,0
SUMO2,0.0,0.0021557564453045,0.0048708877793146,0.0,0,0,0,0,0,0,0,0
MDC1,0.1144645880602202,0.0053619449409474,0.0619709646525996,0.0,0,0,0,0,0,0,0,0
HERC2,0.0484419221790223,0.1649771333086505,0.0046833229595742,0.3883495145631068,0,0,0,0,0,0,0,0
ATRIP,0.0,0.009142240101726,0.0177477089034067,0.0,0,0,0,0,0,0,0,0
ATR,0.0125190915235067,0.0061420975312298,0.106481041692704,0.0,0,1,1,0,0,0,0,0
TIMELESS,0.0505363489033355,0.0045159336418631,0.1168988965890655,0.0,0,0,0,0,0,0,0,0
TIPIN,0.0,0.0960056892385481,0.070910494228484,0.0,0,0,0,0,0,0,0,0
PPP4R2,0.0128116427668151,0.0936672776731565,0.0401798075201068,0.0,0,0,0,0,0,0,0,0
PPP4C,0.025957126375035,0.0017247490476397,0.0004543683634279,0.0,0,0,0,0,0,0,0,0
RAD51C,0.0,0.0090497410860437,0.0053677278484683,0.0,0,0,0,0,0,0,0,0
XRCC3,0.0,0.0168124410940361,0.0788812291050251,0.4304207119741101,0,0,0,0,0,0,0,0
EME2,0.0,0.0024536465475706,0.0291381736313578,0.0,0,0,0,0,0,0,0,0
MUS81,0.0127908175330333,0.0019476941232252,0.0074213821431609,0.0,0,0,0,0,0,0,0,0
EME1,0.0,0.0058687307057036,0.142788662041853,0.0,0,0,0,0,0,0,0,0
BRCA2,0.0637546940037493,0.0014920000195157,0.1457927965641094,0.5501618122977346,0,0,0,0,0,0,0,0
RAD51,0.0,0.0006443415224394,0.1166117209713651,0.0,0,0,0,0,0,0,0,0
ERCC4,0.0,0.0076035686645538,0.0227973024874192,0.0,0,0,0,0,0,0,0,0
ERCC1,0.0,0.0,0.019091447881271,0.0,0,0,0,0,0,0,0,0
XRCC1,0.0127556464925063,0.0007037562936709,0.0018446399254257,0.0,0,0,0,0,0,0,0,0
LIG3,0.0247464629833965,0.0351546141156035,0.0384518688727248,0.0,0,0,0,0,0,0,0,0
XRCC6,0.0,0.0036806849402837,0.0004339006800707,0.0,0,0,0,0,0,0,0,0
XRCC5,0.0126067739045335,0.0777115336688372,0.0225885994385407,0.0,0,0,0,0,0,0,0,0
XRCC4,0.0,0.0040316815568117,0.0445693343040867,0.5113268608414239,0,0,0,0,0,0,0,0
LIG4,0.038162297044826,0.0112125012124588,0.0149671988115758,0.0,0,0,0,0,0,0,0,0
HEXB,0.012875583479078,0.0424275420819574,0.0524939487493976,0.0,0,0,0,0,0,0,0,0
HEXA,0.0124835150327339,0.0254987216227794,0.0282234539646598,0.0,0,0,0,0,0,0,0,0
EXT2,0.0128653183248119,0.0057649103248569,0.0143851140675552,0.0,0,0,0,0,0,0,0,0
EXT1,0.0377324043924671,0.0680866177518155,0.0524140820465211,0.0,0,0,0,0,0,0,0,0
SOS1,0.0,0.0061350510475274,0.0026803191177225,0.0,1,0,0,1,0,0,0,0
CDK1,0.0129898600743035,0.0007882684343529,0.1610648023531779,0.0,0,1,1,0,0,0,0,0
CCNB1,0.0,0.0002812841682688,0.1271644351690953,0.0,0,1,1,0,0,0,0,0
PCF11,0.0513407884212621,0.0211802056630523,0.025346055534973,0.0,0,0,0,0,0,0,0,0
CLP1,0.0,0.078082467847494,0.0099795862199058,0.0,0,0,0,0,0,0,0,0
TEAD1,0.0363947890969642,0.2762467321924486,0.014154033663558,0.0,0,0,0,0,0,0,0,0
YAP1,0.0257133825894609,0.2851217576048561,0.0209054690987442,0.0,0,0,0,0,0,0,0,0
TEAD2,0.0250224047379025,0.115823703174774,0.0269509207711301,0.0,0,0,0,0,0,0,0,0
TEAD3,0.0126308180312792,0.1455124282529721,0.0369734559058037,0.0,0,0,0,0,0,0,0,0
TEAD4,0.0260581832601755,0.3943375312372086,0.118180874693176,0.0,0,0,0,0,0,0,0,0
CDK8,0.0130418569049169,0.0071744787188753,0.0457316699843222,0.0,0,0,0,0,0,0,0,0
CCNC,0.0,0.0040399599921602,0.0051191525565925,0.2880258899676375,0,0,0,0,0,0,0,0
SMAD7,0.0,0.0018905103353486,0.0263283400029603,0.0,0,0,0,0,0,1,0,0
RNF111,0.0862877770587875,0.0112910111322167,0.0319405669712669,0.0,0,0,0,0,0,0,0,0
PTEN,0.1661144074549836,0.0039708539305829,0.0148036999212134,0.3754045307443365,0,0,1,1,0,0,0,0
TP53,0.8206155227871544,0.0065354416092795,0.0503971437232327,0.0,1,1,1,1,1,0,0,0
TSC1,0.0092408792673146,0.0,0.0327422873973675,0.0,0,0,0,1,0,0,0,0
TSC2,0.0198793347239436,0.0205570111835759,0.0003100297225465,0.0,0,0,1,1,0,0,0,0
SCO2,0.0130440632707182,0.0014580078366807,0.0131287816787326,0.5210355987055016,0,0,0,0,0,0,0,0
RRM2B,0.0254035557142432,0.0024962370552496,0.0512882264443075,0.0,0,0,1,0,0,0,0,0
GLS2,0.0128332739129582,0.1552034797255419,0.054511917436859,0.0,0,0,0,0,0,0,0,0
IGFBP3,0.0126876301592983,0.0091668325322595,0.0896642488737336,0.0,0,0,1,0,0,0,0,0
PMAIP1,0.0,0.0085789563116459,0.0799004743519109,0.0,0,0,1,0,0,0,0,0
BID,0.0,0.0313641883414751,0.0879627689590705,0.0,0,0,1,0,0,0,0,0
TP53AIP1,0.0,0.0835907625696688,0.0719104967533073,0.3203883495145631,0,0,1,0,0,0,0,0
ZNF420,0.0516440429749354,0.2382661334599859,0.0237690150559248,0.0,0,0,0,0,0,0,0,0
STEAP3,0.0126021840799416,0.0029310249762078,0.005067441728741,0.0,0,0,1,0,0,0,0,0
BNIP3L,0.0382739436970296,0.1679447224730129,0.0187095438102465,0.0,0,0,0,0,0,0,0,0
TRIAP1,0.012999161827656,0.0064149982790839,0.0434514175610157,0.0,0,0,0,0,0,0,0,0
AIFM2,0.0129976300985583,0.0547661557181471,0.0222175386329503,0.0,0,0,1,0,0,0,0,0
TP53INP1,0.0,0.0446812896664924,0.0231146721249836,0.0,0,0,0,0,0,0,0,0
APAF1,0.0234418281189826,0.0087971527293478,0.0616949831388777,0.0,0,0,1,0,0,0,0,0
PIDD1,0.0260339347722852,0.046857948182086,0.0,0.0,0,0,1,0,0,0,0,0
CRADD,0.0130419055878131,0.0107491987343396,0.0676495368367245,0.0,0,0,0,0,0,0,0,0
NLRC4,0.0259270434952677,0.2664898353170263,0.0452619670431754,0.0,0,0,0,0,0,0,0,0
CASP6,0.0,0.0203806124849704,0.030528745445203,0.0,0,0,0,0,0,0,0,0
CASP10,0.0129488281275458,0.0775340586605872,0.0036165792499362,0.0,0,0,0,0,0,0,0,0
NDRG1,0.0248939788878969,0.0113434566828175,0.0747785767797844,0.0,0,0,0,0,0,0,0,0
BCL2L14,0.0,0.0,0.0637645606453092,0.2491909385113268,0,0,0,0,0,0,0,0
BIRC5,0.0,0.0040493880106644,0.0724043072599806,0.0,0,0,0,0,0,0,0,0
BCL6,0.0383243050229141,0.0011473165849067,0.0648219982009348,0.0,0,0,0,0,0,0,0,0
ZNF385A,0.0,0.1877868198346463,0.0045704490969094,0.0,0,0,1,0,0,0,0,0
ARID3A,0.0,0.003970979606526,0.0326245030476478,0.0,0,0,0,0,0,0,0,0
E2F7,0.0513776097884512,0.0103165428825799,0.1608976741196615,0.0,0,0,0,0,0,0,0,0
E2F8,0.025992699246821,0.0080964499233389,0.0620202299644436,0.0,0,0,0,0,0,0,0,0
GADD45A,0.0,0.0094410189232057,0.0413839680669534,0.0,1,1,1,0,0,0,0,0
AURKA,0.0,0.0015168311544856,0.1642423104137674,0.0,0,0,0,0,0,0,0,0
PCNA,0.0,0.0032944465922557,0.0933034198302873,0.0,0,1,0,0,0,0,0,0
BAX,0.0130347786535579,0.0064095110051316,0.0024826392689337,0.0,0,0,1,0,0,0,0,0
SFN,0.0,0.0518104405049857,0.0469427622119078,0.0,0,1,1,0,0,0,0,0
PLK2,0.0258029930966354,0.1224577298434743,0.0296740058490728,0.0,0,0,0,0,0,0,0,0
PLK3,0.0259583732440578,0.0227633067261203,0.0017377847230179,0.0,0,0,0,0,0,0,0,0
RGCC,0.0,0.1624942232613509,0.0134999893668513,0.0,0,0,0,0,0,0,0,0
PLAGL1,0.0,0.077674538487167,0.0291799331755178,0.0,0,0,0,0,0,0,0,0
ATF2,0.0,1.0158288327437214e-05,0.0264562784176951,0.0,1,0,0,1,0,0,0,0
JUN,0.0130513954425827,0.0112481921977438,0.0634918520093095,0.0,1,0,0,0,1,0,0,1
FOS,0.0,0.003740253710861,0.1034708610989981,0.0,1,0,0,0,0,0,0,0
PMS2,0.0369548873400425,0.0242737931550259,0.0356271780048047,0.7411003236245954,0,0,0,0,0,0,0,0
MLH1,0.0367991028973018,0.1643838578480504,0.0160909485616859,0.0,0,0,0,0,0,0,0,0
FANCC,0.0253590811875977,0.0253504637197164,0.0594669463027459,0.0,0,0,0,0,0,0,0,0
DDB2,0.0128261640650404,0.0223919066533054,0.0072150297762044,0.0,0,0,1,0,0,0,0,0
PRDM1,0.0130470556277638,0.0481929940745052,0.074429986271117,0.2880258899676375,0,0,0,0,0,0,0,0
MDM2,0.0130132169736428,0.0152873047928913,0.0726310987587758,0.0,0,1,1,1,0,0,0,0
MDM4,0.0,0.0075971499228588,0.0724105504880899,0.0,0,0,1,0,0,0,0,0
CCNG1,0.0,0.0199428323791817,0.0311856216447569,0.0,0,0,1,0,0,0,0,0
HIPK2,0.0129376536360172,0.0061557663427353,0.026622144497672,0.0,0,0,0,0,0,0,0,0
PIN1,0.0,0.0150385687244799,0.0534332898223145,0.0,0,0,0,0,0,0,0,0
HIPK1,0.0243145493405475,0.0035734435648416,0.0098846361162683,0.3009708737864078,0,0,0,0,0,0,0,0
SSRP1,0.013054228295933,0.0129405708214533,0.0443897193232825,0.0,0,0,0,0,0,0,0,0
SUPT16H,0.0129534465285684,0.0265521461393189,0.0548573932077195,0.0,0,0,0,0,0,0,0,0
CSNK2A1,0.0103395221483197,0.0,0.0366858165941027,0.0,0,0,0,0,1,0,1,0
CSNK2A2,0.0,0.0071179822280574,0.0233102431615486,0.0,0,0,0,0,1,0,1,0
TPX2,0.0,0.0020094088256688,0.1679313509120682,0.0,0,0,0,0,0,0,0,0
NOC2L,0.0259951242380127,0.034234012943436,0.058096340921506,0.0,0,0,0,0,0,0,0,0
CDK5R1,0.0,0.0333399508570488,0.0087185841395531,0.0,0,0,0,0,0,0,0,0
CDK5,0.0,0.0055792475461231,0.0044724377660829,0.0,0,0,0,0,0,0,0,0
POU4F1,0.0128671482500376,0.565254436359949,0.1624596756947658,0.0,0,0,0,0,0,0,0,0
POU4F2,0.0648345863840012,0.3481452840012752,0.0,0.0,0,0,0,0,0,0,0,0
BANP,0.0,0.005496013289052,0.0096791653269483,0.0,0,0,0,0,0,0,0,0
PHF20,0.0130259668299656,0.0371711405387139,0.0402890234435114,0.0,0,0,0,0,0,0,0,0
L3MBTL1,0.0512514121687746,0.0300910957093601,0.0273718212187799,0.0,0,0,0,0,0,0,0,0
EHMT2,0.03846286322126,0.0301918181393354,0.0516225973948914,0.0,0,0,0,0,0,0,0,0
EHMT1,0.087190428157376,0.0223330498659876,0.0261279402489819,0.0,0,0,0,0,0,0,0,0
TFAP2A,0.0,0.0560910059955074,0.1771482663266525,0.0,0,0,0,0,0,0,0,0
DEK,0.0260516921078416,0.0058065333498532,0.0484298446107632,0.0,0,0,0,0,0,0,0,0
TFAP2C,0.0129415431139322,0.0219736714085503,0.070384878580051,0.0,0,0,0,0,0,0,0,0
WWOX,0.0129868284068711,0.0108965355182131,0.0086468275713,0.0,0,0,0,0,0,0,0,0
TFAP2B,0.0128152382507206,0.1602347693427627,0.0,0.0,0,0,0,0,0,0,0,0
YEATS4,0.0,0.0444612619739227,0.053875255470025,0.3527508090614887,0,0,0,0,0,0,0,0
ESR1,0.0363670752155196,0.3819625268409242,0.0892126856653189,0.0,0,0,0,0,0,0,0,0
ATAD2,0.0624868435578299,0.0031048633692526,0.1767100948087146,0.0,0,0,0,0,0,0,0,0
VEGFA,0.0,0.0151526030170829,0.0694502936080323,0.0,1,0,0,1,0,0,0,0
TGFA,0.0,0.0608595419175199,0.0169980402862514,0.0,1,0,0,1,0,0,0,0
CDKN1A,0.0,0.1523481272276608,0.0901867241977569,0.0,0,1,1,1,0,0,0,0
RUNX1,0.0232609045593244,0.026519098982269,0.1227075848495488,0.0,0,0,0,0,0,0,0,0
TP73,0.0461269015597459,0.0791633274350517,0.0495339155278702,0.0,0,0,1,0,0,0,0,0
ZFPM1,0.0250475959310711,0.0436661806554395,0.0107677856218772,0.0,0,0,0,0,0,0,0,0
GATA1,0.0,0.0391688957202859,0.1388698036227832,0.0,0,0,0,0,0,0,0,0
CTSK,0.0,0.0612445759003233,0.0366725973872447,0.5177993527508091,0,0,0,0,0,0,0,0
SERPINB13,0.0,0.0908831256168993,0.0,0.0,0,0,0,0,0,0,0,0
CCND1,0.0128626339539106,0.0044958519186057,0.0375105336523605,0.3721682847896439,0,1,1,1,1,0,0,0
CDK4,0.0130596617247572,0.0162886879788284,0.0569364118469164,0.0,0,1,1,1,0,0,0,0
ESRRA,0.0,0.046866100825936,0.0146754704712202,0.0,0,0,0,0,0,0,0,0
PPARGC1A,0.0510256622821813,0.0403728366069353,0.0066271825052749,0.0,0,0,0,0,0,0,0,0
TWIST1,0.0,0.4165709603088072,0.007472392184813,0.0,0,0,0,0,0,0,0,0
RUNX2,0.0242795653456479,0.4431506303189041,0.0658222699268121,0.0,0,0,0,0,0,0,0,0
NKX3-2,0.012889088366885,0.0445117573940918,0.0240551352012644,0.0,0,0,0,0,0,0,0,0
MSX2,0.0,0.2380554589898284,0.1162020925390065,0.0,0,0,0,0,0,0,0,0
SMAD4,0.2186587134254315,0.0203380076437293,0.0001452412147925,0.6601941747572817,0,1,0,0,1,1,1,0
SMAD1,0.0,0.0961618660561946,0.009397320915159,0.0,0,0,0,0,0,1,0,0
RUNX3,0.0,0.1885170586397112,0.0438679588384926,0.0,0,0,0,0,0,0,0,0
SMAD3,0.025971973514681,0.0101259119504888,0.0022570076677671,0.0,0,1,0,0,1,1,1,0
TFDP1,0.0128915851030946,0.0072272242170973,0.0459982139145967,0.0,0,1,0,0,0,1,0,0
E2F6,0.0125362901451792,0.0867584862836395,0.0456851013760058,0.0,0,0,0,0,0,0,0,0
TFDP2,0.0107365097137194,0.0254495724589881,0.0115784367152464,0.0,0,1,0,0,0,0,0,0
MGA,0.1122893654872292,0.1762481435079061,0.0376409260012137,0.0,0,0,0,0,0,0,0,0
MAX,0.0128780704041509,0.0048005124411415,0.0405231763899883,0.0,1,0,0,0,0,0,0,0
SUPT4H1,0.0128061718389788,0.0121536580286388,0.001557644554925,0.0,0,0,0,0,0,0,0,0
SUPT5H,0.0366279367579628,0.3290353096112438,0.018533284196507,0.0,0,0,0,0,0,0,0,0
ELOB,0.0,0.0037077929186218,0.0,0.0,0,0,0,0,0,0,0,0
ELOC,0.0,0.0047516743682905,0.0,0.0,0,0,0,0,0,0,0,0
GTF2F1,0.0129211913446014,0.0394051841498435,0.017889510398871,0.0,0,0,0,0,0,0,0,0
GTF2F2,0.0,0.0160515132105392,0.0385863317452213,0.0,0,0,0,0,0,0,0,0
NCBP2,0.0245495753388015,0.0039021946372924,0.0689884455155024,0.0,0,0,0,0,0,0,0,0
NCBP1,0.0130313264551134,0.0026548145782751,0.0466175454889224,0.0,0,0,0,0,0,0,0,0
TAP1,0.0128792398937712,0.0001824672988716,0.0540907088913677,0.0,0,0,0,0,0,0,0,0
TAP2,0.0,0.0372536257479478,0.0644942882241231,0.0,0,0,0,0,0,0,0,0
AMN,0.012982618717743,0.0448175956969817,0.0098906012610014,0.4304207119741101,0,0,0,0,0,0,0,0
CUBN,0.165918895651799,0.2593068579788215,0.0118397182469401,0.2491909385113268,0,0,0,0,0,0,0,0
MMUT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
MMAA,0.0,0.0096662702376596,0.0221492559168598,0.0,0,0,0,0,0,0,0,0
FASLG,0.0,0.0960466728403919,0.0050239374338954,0.0,1,0,0,1,0,0,0,0
FAS,0.0260183534138202,0.0014144796499804,0.0164824931279813,0.0,1,0,1,0,0,0,0,0
BAG4,0.012682871797352,0.0101684262662116,0.0342199662887312,0.0,0,0,0,0,0,0,0,0
TNFRSF1A,0.0257884940598104,0.1053189250781248,0.0315677754672352,0.0,1,0,0,0,0,0,0,0
TNF,0.0,0.0396747260628463,0.0111466329373312,0.0,1,0,0,0,0,1,0,0
TAX1BP1,0.0369037600885956,0.0189292519261473,0.0177130364687509,0.0,0,0,0,0,0,0,0,0
TNFAIP3,0.0357817630461914,0.0042384848812323,0.0236912319813198,0.0,0,0,0,0,0,0,0,0
TNFRSF10A,0.0,0.0089575983585317,0.0745668168904906,0.0,0,0,1,0,0,0,0,0
TNFRSF10D,0.0128542645551043,0.0080820412774075,0.0366657795958054,0.0,0,0,0,0,0,0,0,0
TNFRSF10B,0.0,0.0369518342544646,0.1097993848599285,0.0,0,0,1,0,0,0,0,0
NGF,0.0522076224422236,0.1194419630989107,0.0849910202684073,0.3009708737864078,1,0,0,1,0,0,0,0
NGFR,0.0,0.3011966796550069,0.1689843302356567,0.0,1,0,0,1,0,0,0,0
IRAK1,0.012388247598797,0.8220735766562933,0.0431751529192341,0.2686084142394822,1,0,0,0,0,0,0,0
MYD88,0.0,0.0076291887312915,0.0211314125984814,0.0,1,0,0,0,0,0,0,0
NFKB1,0.0251333587784311,0.0099510131453928,0.015965988670903,0.0,1,0,0,1,0,0,0,1
RELA,0.0489366587413289,0.02228961501508,0.010575716888248,0.0,1,0,0,1,0,0,0,1
UBE2B,0.0,0.0002891737899984,0.0105769757886052,0.5113268608414239,0,0,0,0,0,0,0,0
RAD18,0.0,0.0105965638258501,0.0629991899311403,0.0,0,0,0,0,0,0,0,0
WDR48,0.0130373775459284,0.0407133973982434,0.0029513313534989,0.0,0,0,0,0,0,0,0,0
USP1,0.0126008366416703,0.0057321335430792,0.052697418295458,0.0,0,0,0,0,0,0,0,0
REV3L,0.0817068284770689,0.0154149631324606,0.0168988561048529,0.2880258899676375,0,0,0,0,0,0,0,0
MAD2L2,0.0,0.0486110910891677,0.0358250459372722,0.0,0,1,0,0,0,0,0,0
RCHY1,0.0,0.0106222296395441,0.0166730355059901,0.0,0,0,1,0,0,0,0,0
POLH,0.051415893508394,0.0031644599116941,0.0373558905187126,0.0,0,0,0,0,0,0,0,0
TRIM25,0.0,0.0022880294768814,0.0329732471661276,0.0,0,0,0,0,0,0,0,0
UBE2L6,0.0,0.015921001773739,0.0290271997218947,0.0,0,0,0,0,0,0,0,0
UBA7,0.0130243620669119,0.0201169196613342,0.0041677231041956,0.0,0,0,0,0,0,0,0,0
ISG15,0.0,0.1310616696218567,0.0827784120783649,0.0,0,0,0,0,0,0,0,0
SUMO3,0.0,0.1866219040328548,0.0057275097744474,0.0,0,0,0,0,0,0,0,0
FAAP24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
FANCM,0.0512280351009838,0.0062264376231615,0.0606912934353556,0.0,0,0,0,0,0,0,0,0
CENPX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CENPS,0.0,0.0032150695125128,0.0,0.0,0,0,0,0,0,0,0,0
FANCI,0.025638144761609,0.048931745881041,0.1504700159042328,0.0,0,0,0,0,0,0,0,0
FANCD2,0.0382640519894151,0.0118087658949978,0.1441993001817079,0.0,0,0,0,0,0,0,0,0
PCCA,0.0129458094717409,0.0021324029562114,0.0435460420151649,0.0,0,0,0,0,0,0,0,0
PCCB,0.0,0.0384599008403334,0.0139235448846354,0.0,0,0,0,0,0,0,0,0
MCCC2,0.0,0.0056984812175683,0.0439339993446837,0.0,0,0,0,0,0,0,0,0
MCCC1,0.0255016481594853,0.1504068450590698,0.0151201642519714,0.0,0,0,0,0,0,0,0,0
CLCF1,0.0130205597052879,0.0478458112353821,0.0319149796312599,0.0,0,0,0,0,0,0,0,0
CRLF1,0.0,0.0315784356573459,0.0504665694068971,0.0,0,0,0,0,0,0,0,0
PRKCSH,0.0127434816362113,0.0004873279349803,0.0185666266772457,0.0,0,0,0,0,0,0,0,0
GANAB,0.0372227874136693,0.0160072512075296,0.0387648587282531,0.0,0,0,0,0,0,0,0,0
CALR,0.0128710700006332,0.01479530655973,0.0218107612029805,0.0,0,0,0,0,0,0,0,0
CANX,0.0,0.016556879713373,0.0420048214297342,0.0,0,0,0,0,0,0,0,0
RAD51B,0.0,0.0223691650885291,0.0057642196165241,0.0,0,0,0,0,0,0,0,0
NME2,0.0,0.0817713107639382,0.0427635012904728,0.0,0,0,0,0,0,0,0,0
NME1,0.0,0.0110151468223309,0.0807723624028946,0.0,0,0,0,0,0,0,0,0
APPL1,0.0127508843936514,0.0029651526729334,0.018704383795452,0.0,0,0,0,0,0,0,0,0
DCC,0.1238750813951848,0.0450407988933583,0.1265545004872764,0.0,0,0,0,0,0,0,0,0
MAGED1,0.0384286327890069,0.2522549763791568,0.0073333298164833,0.0,0,0,0,0,0,0,0,0
UNC5A,0.0259840653436367,0.1053757430557745,0.0370479916611988,0.0,0,0,0,0,0,0,0,0
PPP3R1,0.0,0.0312694926108198,0.0232649834309325,0.0,1,0,0,0,1,0,0,0
PPP3CC,0.0,0.0770187178452064,0.0336059652181875,0.0,1,0,0,0,1,0,0,0
BCL2,0.0,0.0547386483371042,0.1122596290444195,0.0,0,0,1,1,0,0,0,0
BAD,0.0129339639835507,0.0111942703417527,0.0623134840477602,0.0,0,0,0,1,0,0,0,0
BAK1,0.0127294441985797,0.1018004219742638,0.0138917872506219,0.0,0,0,0,0,0,0,0,0
CYCS,0.0,0.0003422339774726,0.0241963091828686,0.0,0,0,1,0,0,0,0,0
XIAP,0.0120438515424984,0.5374425438319718,0.0215524700194779,0.0,0,0,0,0,0,0,0,0
CASP3,0.0126678046663225,0.0046390755026239,0.0002111931980244,0.6601941747572817,1,0,1,0,0,0,0,1
CASP7,0.0,0.0198846306142025,0.0183420191499321,0.0,0,0,0,0,0,0,0,0
CASP9,0.0,0.0187173718661815,0.0304234742220222,0.0,0,0,1,1,0,0,0,0
DIABLO,0.0,0.0132682185706865,0.0168825681555845,0.0,0,0,0,0,0,0,0,0
DFFB,0.0,0.0064116543236573,0.0554896156181671,0.0,0,0,0,0,0,0,0,0
DFFA,0.0,0.0221474190420762,0.0131098130906381,0.0,0,0,0,0,0,0,0,0
KPNA1,0.0,0.0608712282136936,0.0248581306248248,0.0,0,0,0,0,0,0,0,0
KPNB1,0.0892171193451248,0.0037448188064479,0.0468326630277823,0.0,0,0,0,0,0,0,0,0
PAK2,0.0253682888447872,0.0190725749799732,0.04186391808148,0.0,1,0,0,0,0,0,0,0
ARHGAP10,0.0,0.0969300935984389,0.0931280271958178,0.0,0,0,0,0,0,0,0,0
